"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:53:02:467 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1779"

"""default"""
"x","y","color","pen down?"
"0","57","0","true"
"1","64","0","true"
"2","70","0","true"
"3","71","0","true"
"4","76","0","true"
"5","79","0","true"
"6","82","0","true"
"7","85","0","true"
"8","85","0","true"
"9","87","0","true"
"10","91","0","true"
"11","96","0","true"
"12","100","0","true"
"13","117","0","true"
"14","121","0","true"
"15","124","0","true"
"16","132","0","true"
"17","150","0","true"
"18","151","0","true"
"19","93","0","true"
"20","80","0","true"
"21","77","0","true"
"22","163","0","true"
"23","84","0","true"
"24","115","0","true"
"25","96","0","true"
"26","132","0","true"
"27","112","0","true"
"28","80","0","true"
"29","138","0","true"
"30","54","0","true"
"31","113","0","true"
"32","145","0","true"
"33","83","0","true"
"34","116","0","true"
"35","88","0","true"
"36","174","0","true"
"37","89","0","true"
"38","96","0","true"
"39","91","0","true"
"40","147","0","true"
"41","122","0","true"
"42","167","0","true"
"43","192","0","true"
"44","126","0","true"
"45","90","0","true"
"46","105","0","true"
"47","89","0","true"
"48","164","0","true"
"49","106","0","true"
"50","110","0","true"
"51","63","0","true"
"52","66","0","true"
"53","121","0","true"
"54","99","0","true"
"55","93","0","true"
"56","150","0","true"
"57","68","0","true"
"58","74","0","true"
"59","98","0","true"
"60","130","0","true"
"61","90","0","true"
"62","118","0","true"
"63","86","0","true"
"64","121","0","true"
"65","79","0","true"
"66","122","0","true"
"67","90","0","true"
"68","104","0","true"
"69","94","0","true"
"70","95","0","true"
"71","118","0","true"
"72","79","0","true"
"73","92","0","true"
"74","105","0","true"
"75","77","0","true"
"76","129","0","true"
"77","141","0","true"
"78","86","0","true"
"79","106","0","true"
"80","105","0","true"
"81","93","0","true"
"82","118","0","true"
"83","81","0","true"
"84","78","0","true"
"85","104","0","true"
"86","106","0","true"
"87","79","0","true"
"88","125","0","true"
"89","121","0","true"
"90","130","0","true"
"91","97","0","true"
"92","112","0","true"
"93","114","0","true"
"94","102","0","true"
