"export-plot data (NetLogo 6.1.0-RC2)"
"+traffic-radius.nlogo"
"12/24/2020 16:29:59:887 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","order-due-date","qty-lb-ub","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","type-of-item","traffic-radius","num-arrival","service-time-alpha","layout-file","service-time-beta"
"30","20","20","1","3","5","""AGV set 1.csv""","80","2","10","2","800","2","30","12","""layout set 3.csv""","1.5"

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","503","0","408","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","416"

"""default"""
"x","y","color","pen down?"
"0","57","0","true"
"1","61","0","true"
"2","67","0","true"
"3","73","0","true"
"4","76","0","true"
"5","77","0","true"
"6","83","0","true"
"7","83","0","true"
"8","87","0","true"
"9","90","0","true"
"10","91","0","true"
"11","94","0","true"
"12","98","0","true"
"13","99","0","true"
"14","102","0","true"
"15","103","0","true"
"16","103","0","true"
"17","105","0","true"
"18","111","0","true"
"19","137","0","true"
"20","66","0","true"
"21","82","0","true"
"22","95","0","true"
"23","80","0","true"
"24","90","0","true"
"25","99","0","true"
"26","76","0","true"
"27","97","0","true"
"28","115","0","true"
"29","101","0","true"
"30","103","0","true"
"31","96","0","true"
"32","95","0","true"
"33","123","0","true"
"34","104","0","true"
"35","103","0","true"
"36","123","0","true"
"37","79","0","true"
"38","129","0","true"
"39","124","0","true"
"40","105","0","true"
"41","95","0","true"
"42","112","0","true"
"43","90","0","true"
"44","73","0","true"
"45","108","0","true"
"46","85","0","true"
"47","84","0","true"
"48","128","0","true"
"49","88","0","true"
"50","134","0","true"
"51","120","0","true"
"52","98","0","true"
"53","118","0","true"
"54","123","0","true"
"55","100","0","true"
"56","92","0","true"
"57","136","0","true"
"58","117","0","true"
"59","104","0","true"
"60","99","0","true"
"61","131","0","true"
"62","131","0","true"
"63","119","0","true"
"64","111","0","true"
"65","97","0","true"
"66","126","0","true"
"67","113","0","true"
"68","104","0","true"
"69","144","0","true"
"70","96","0","true"
"71","99","0","true"
"72","120","0","true"
"73","129","0","true"
"74","94","0","true"
"75","135","0","true"
"76","156","0","true"
"77","121","0","true"
"78","109","0","true"
"79","121","0","true"
"80","101","0","true"
"81","94","0","true"
"82","102","0","true"
"83","85","0","true"
"84","140","0","true"
"85","87","0","true"
"86","119","0","true"
"87","108","0","true"
"88","126","0","true"
"89","98","0","true"
"90","115","0","true"
"91","100","0","true"
"92","146","0","true"
"93","143","0","true"
"94","189","0","true"
"95","124","0","true"
"96","151","0","true"
"97","98","0","true"
"98","147","0","true"
"99","114","0","true"
"100","117","0","true"
"101","166","0","true"
"102","196","0","true"
"103","134","0","true"
"104","162","0","true"
"105","121","0","true"
"106","177","0","true"
"107","85","0","true"
"108","133","0","true"
"109","83","0","true"
"110","121","0","true"
"111","111","0","true"
"112","80","0","true"
"113","119","0","true"
"114","125","0","true"
"115","170","0","true"
"116","114","0","true"
"117","77","0","true"
"118","135","0","true"
"119","165","0","true"
"120","116","0","true"
"121","130","0","true"
"122","193","0","true"
"123","95","0","true"
"124","112","0","true"
"125","158","0","true"
"126","123","0","true"
"127","152","0","true"
"128","151","0","true"
"129","109","0","true"
"130","122","0","true"
"131","119","0","true"
"132","106","0","true"
"133","116","0","true"
"134","179","0","true"
"135","144","0","true"
"136","202","0","true"
"137","165","0","true"
"138","144","0","true"
"139","160","0","true"
"140","131","0","true"
"141","148","0","true"
"142","96","0","true"
"143","153","0","true"
"144","135","0","true"
"145","146","0","true"
"146","148","0","true"
"147","154","0","true"
"148","169","0","true"
"149","129","0","true"
"150","106","0","true"
"151","142","0","true"
"152","143","0","true"
"153","167","0","true"
"154","74","0","true"
