x,pic,q5,q4,qq,q2,q1,x,pic,q5,q4,qq,q2,q1,x,pic,q5,q4,qq,q2,q1,x,pic,q5,q4,qq,q2,q1,x,pic,q5,q4,qq,q2,q1,x
x,x,q,q,x,q,q,x,x,q,q,x,q,q,x,x,q,q,x,q,q,x,x,q,q,x,q,q,x,x,q,q,x,q,q,x
x,x,qo,qi2,qq,q3,qi,x,x,qo,qi2,qq,q3,qi,x,x,qo,qi2,qq,q3,qi,x,x,qo,qi2,qq,q3,qi,x,x,qo,qi2,qq,q3,qi,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,x
x,U,pod,empty,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,pod,U,pod,empty,D,x
x,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,empty,empty,D,pod,pod,U,empty,pod,D,x
x,U,pod,empty,D,empty,pod,U,empty,empty,D,empty,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,empty,U,pod,empty,D,x
x,U,empty,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,empty,U,pod,pod,D,x
x,U,pod,pod,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,x
x,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,x
x,U,pod,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,x
x,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,empty,U,pod,pod,D,empty,pod,U,pod,empty,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,x
x,U,empty,pod,D,pod,empty,U,pod,pod,D,empty,pod,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,empty,D,x
x,U,empty,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,empty,U,pod,pod,D,x
x,U,pod,pod,D,pod,empty,U,pod,pod,D,pod,empty,U,pod,empty,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,x
x,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,x
x,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,empty,U,pod,pod,D,pod,pod,U,empty,pod,D,x
x,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,empty,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,empty,D,empty,empty,U,pod,pod,D,x
x,U,pod,empty,D,pod,empty,U,pod,pod,D,empty,empty,U,pod,pod,D,pod,empty,U,empty,pod,D,empty,pod,U,pod,empty,D,empty,pod,U,empty,pod,D,x
x,U,pod,pod,D,empty,empty,U,empty,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,pod,empty,U,pod,pod,D,pod,empty,U,pod,pod,D,x
x,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,x
x,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,x
x,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,x
x,U,empty,pod,D,pod,empty,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,x
x,U,empty,pod,D,empty,pod,U,pod,pod,D,empty,pod,U,empty,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,empty,D,pod,pod,U,empty,pod,D,x
x,U,pod,pod,D,pod,pod,U,empty,pod,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,empty,U,empty,pod,D,pod,pod,U,pod,pod,D,x
x,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,pod,empty,U,empty,pod,D,x
x,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,R,R,UR,R,R,DR,x
x,U,empty,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,pod,D,pod,empty,U,empty,pod,D,x
x,U,pod,pod,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,empty,D,pod,empty,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,x
x,U,pod,empty,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,pod,D,pod,pod,U,empty,pod,D,empty,pod,U,pod,pod,D,x
x,U,empty,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,empty,pod,D,pod,pod,U,pod,empty,D,pod,pod,U,pod,empty,D,x
x,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,pod,pod,U,pod,pod,D,empty,pod,U,pod,pod,D,empty,pod,U,pod,empty,D,x
x,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,L,L,UL,L,L,DL,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,qo2,qi3,qq,q9,qi,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,q,q,x,q,q,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,rep,q6,q11,qq,q10,q7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
