"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:22:37:259 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1709"

"""default"""
"x","y","color","pen down?"
"0","60","0","true"
"1","66","0","true"
"2","71","0","true"
"3","74","0","true"
"4","80","0","true"
"5","83","0","true"
"6","84","0","true"
"7","91","0","true"
"8","91","0","true"
"9","93","0","true"
"10","108","0","true"
"11","108","0","true"
"12","109","0","true"
"13","114","0","true"
"14","117","0","true"
"15","132","0","true"
"16","142","0","true"
"17","146","0","true"
"18","158","0","true"
"19","161","0","true"
"20","99","0","true"
"21","112","0","true"
"22","112","0","true"
"23","89","0","true"
"24","111","0","true"
"25","123","0","true"
"26","123","0","true"
"27","106","0","true"
"28","112","0","true"
"29","136","0","true"
"30","112","0","true"
"31","150","0","true"
"32","74","0","true"
"33","94","0","true"
"34","120","0","true"
"35","166","0","true"
"36","158","0","true"
"37","135","0","true"
"38","174","0","true"
"39","105","0","true"
"40","115","0","true"
"41","69","0","true"
"42","117","0","true"
"43","156","0","true"
"44","104","0","true"
"45","118","0","true"
"46","90","0","true"
"47","163","0","true"
"48","78","0","true"
"49","93","0","true"
"50","149","0","true"
"51","129","0","true"
"52","100","0","true"
"53","127","0","true"
"54","125","0","true"
"55","91","0","true"
"56","93","0","true"
"57","122","0","true"
"58","99","0","true"
"59","113","0","true"
"60","107","0","true"
"61","124","0","true"
"62","145","0","true"
"63","113","0","true"
"64","136","0","true"
"65","84","0","true"
"66","112","0","true"
"67","123","0","true"
"68","102","0","true"
"69","110","0","true"
"70","96","0","true"
"71","102","0","true"
"72","100","0","true"
"73","139","0","true"
"74","134","0","true"
"75","92","0","true"
"76","110","0","true"
"77","84","0","true"
"78","67","0","true"
"79","103","0","true"
"80","126","0","true"
"81","99","0","true"
"82","82","0","true"
"83","79","0","true"
"84","94","0","true"
"85","138","0","true"
"86","80","0","true"
"87","106","0","true"
"88","104","0","true"
"89","101","0","true"
"90","97","0","true"
"91","76","0","true"
"92","139","0","true"
"93","115","0","true"
"94","134","0","true"
"95","83","0","true"
"96","179","0","true"
"97","102","0","true"
"98","114","0","true"
"99","157","0","true"
"100","138","0","true"
"101","87","0","true"
"102","82","0","true"
"103","151","0","true"
"104","81","0","true"
"105","98","0","true"
"106","99","0","true"
"107","152","0","true"
"108","99","0","true"
"109","169","0","true"
"110","101","0","true"
"111","178","0","true"
"112","131","0","true"
"113","115","0","true"
"114","115","0","true"
"115","88","0","true"
"116","88","0","true"
"117","140","0","true"
"118","124","0","true"
"119","92","0","true"
"120","114","0","true"
"121","125","0","true"
"122","84","0","true"
"123","87","0","true"
"124","74","0","true"
"125","146","0","true"
"126","120","0","true"
"127","65","0","true"
"128","161","0","true"
"129","134","0","true"
"130","147","0","true"
"131","117","0","true"
"132","110","0","true"
"133","79","0","true"
"134","142","0","true"
"135","150","0","true"
"136","103","0","true"
"137","133","0","true"
"138","115","0","true"
"139","138","0","true"
"140","94","0","true"
"141","142","0","true"
"142","96","0","true"
"143","82","0","true"
"144","103","0","true"
"145","81","0","true"
"146","88","0","true"
"147","132","0","true"
"148","78","0","true"
"149","119","0","true"
"150","170","0","true"
"151","84","0","true"
"152","176","0","true"
"153","186","0","true"
"154","95","0","true"
"155","207","0","true"
"156","85","0","true"
"157","112","0","true"
"158","112","0","true"
"159","128","0","true"
"160","93","0","true"
"161","84","0","true"
"162","102","0","true"
"163","132","0","true"
"164","85","0","true"
"165","82","0","true"
"166","100","0","true"
"167","93","0","true"
"168","132","0","true"
"169","125","0","true"
"170","100","0","true"
"171","107","0","true"
"172","91","0","true"
"173","80","0","true"
"174","105","0","true"
"175","85","0","true"
"176","91","0","true"
"177","116","0","true"
"178","95","0","true"
"179","83","0","true"
"180","112","0","true"
"181","77","0","true"
"182","90","0","true"
"183","104","0","true"
"184","143","0","true"
"185","118","0","true"
"186","139","0","true"
"187","164","0","true"
"188","96","0","true"
"189","87","0","true"
"190","104","0","true"
"191","95","0","true"
"192","134","0","true"
"193","133","0","true"
"194","131","0","true"
"195","103","0","true"
"196","114","0","true"
"197","134","0","true"
"198","173","0","true"
"199","106","0","true"
"200","137","0","true"
"201","73","0","true"
"202","128","0","true"
"203","90","0","true"
"204","160","0","true"
"205","161","0","true"
"206","81","0","true"
"207","73","0","true"
"208","140","0","true"
"209","172","0","true"
"210","89","0","true"
"211","151","0","true"
"212","121","0","true"
"213","132","0","true"
"214","158","0","true"
"215","86","0","true"
"216","100","0","true"
"217","93","0","true"
"218","175","0","true"
"219","112","0","true"
"220","89","0","true"
"221","144","0","true"
"222","88","0","true"
"223","135","0","true"
"224","143","0","true"
"225","119","0","true"
"226","119","0","true"
"227","139","0","true"
"228","134","0","true"
"229","141","0","true"
"230","149","0","true"
"231","109","0","true"
"232","113","0","true"
"233","177","0","true"
"234","163","0","true"
"235","92","0","true"
"236","85","0","true"
"237","160","0","true"
"238","134","0","true"
"239","102","0","true"
"240","80","0","true"
"241","140","0","true"
"242","178","0","true"
"243","196","0","true"
"244","95","0","true"
"245","199","0","true"
"246","188","0","true"
"247","105","0","true"
"248","97","0","true"
"249","162","0","true"
"250","206","0","true"
"251","153","0","true"
"252","127","0","true"
"253","112","0","true"
"254","209","0","true"
"255","110","0","true"
"256","130","0","true"
"257","168","0","true"
"258","123","0","true"
"259","194","0","true"
"260","168","0","true"
"261","177","0","true"
"262","147","0","true"
"263","78","0","true"
"264","165","0","true"
"265","154","0","true"
"266","252","0","true"
"267","90","0","true"
"268","108","0","true"
"269","131","0","true"
"270","81","0","true"
"271","191","0","true"
"272","110","0","true"
"273","69","0","true"
"274","207","0","true"
"275","132","0","true"
"276","187","0","true"
"277","198","0","true"
"278","212","0","true"
"279","80","0","true"
"280","193","0","true"
"281","71","0","true"
"282","113","0","true"
"283","170","0","true"
"284","173","0","true"
"285","116","0","true"
"286","89","0","true"
"287","116","0","true"
"288","216","0","true"
"289","196","0","true"
"290","71","0","true"
"291","87","0","true"
"292","108","0","true"
"293","203","0","true"
"294","118","0","true"
"295","91","0","true"
"296","236","0","true"
"297","199","0","true"
"298","233","0","true"
"299","230","0","true"
"300","100","0","true"
"301","202","0","true"
"302","169","0","true"
"303","227","0","true"
"304","196","0","true"
"305","216","0","true"
"306","217","0","true"
"307","198","0","true"
"308","246","0","true"
"309","123","0","true"
"310","238","0","true"
"311","211","0","true"
"312","239","0","true"
"313","231","0","true"
"314","90","0","true"
"315","112","0","true"
"316","253","0","true"
"317","264","0","true"
"318","260","0","true"
"319","286","0","true"
"320","228","0","true"
"321","114","0","true"
"322","266","0","true"
"323","103","0","true"
"324","258","0","true"
"325","116","0","true"
"326","125","0","true"
"327","71","0","true"
"328","281","0","true"
"329","87","0","true"
"330","277","0","true"
"331","392","0","true"
"332","139","0","true"
"333","244","0","true"
"334","284","0","true"
"335","257","0","true"
"336","220","0","true"
"337","95","0","true"
"338","153","0","true"
"339","102","0","true"
"340","136","0","true"
"341","117","0","true"
"342","177","0","true"
"343","121","0","true"
"344","161","0","true"
"345","142","0","true"
"346","183","0","true"
"347","202","0","true"
"348","188","0","true"
"349","120","0","true"
"350","103","0","true"
"351","108","0","true"
"352","125","0","true"
"353","159","0","true"
"354","201","0","true"
"355","90","0","true"
"356","208","0","true"
"357","102","0","true"
"358","183","0","true"
"359","138","0","true"
"360","104","0","true"
"361","189","0","true"
"362","92","0","true"
"363","193","0","true"
"364","104","0","true"
"365","175","0","true"
"366","236","0","true"
"367","131","0","true"
"368","193","0","true"
"369","194","0","true"
"370","115","0","true"
"371","132","0","true"
"372","194","0","true"
"373","97","0","true"
"374","89","0","true"
"375","217","0","true"
"376","119","0","true"
"377","92","0","true"
"378","188","0","true"
"379","124","0","true"
"380","109","0","true"
"381","94","0","true"
"382","207","0","true"
"383","200","0","true"
"384","127","0","true"
"385","178","0","true"
"386","113","0","true"
"387","78","0","true"
"388","209","0","true"
"389","203","0","true"
"390","169","0","true"
"391","114","0","true"
"392","104","0","true"
"393","122","0","true"
"394","119","0","true"
"395","93","0","true"
"396","171","0","true"
"397","97","0","true"
"398","111","0","true"
"399","112","0","true"
"400","201","0","true"
"401","135","0","true"
"402","127","0","true"
"403","82","0","true"
"404","121","0","true"
"405","123","0","true"
"406","126","0","true"
"407","94","0","true"
"408","111","0","true"
