"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"09/07/2020 09:55:43:948 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"35","2","""pod set 1.csv""","800","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","988","0","4580","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","926"

"""default"""
"x","y","color","pen down?"
"0","49","0","true"
"1","52","0","true"
"2","54","0","true"
"3","58","0","true"
"4","58","0","true"
"5","60","0","true"
"6","60","0","true"
"7","64","0","true"
"8","65","0","true"
"9","67","0","true"
"10","69","0","true"
"11","71","0","true"
"12","72","0","true"
"13","73","0","true"
"14","73","0","true"
"15","78","0","true"
"16","80","0","true"
"17","83","0","true"
"18","83","0","true"
"19","85","0","true"
"20","86","0","true"
"21","91","0","true"
"22","91","0","true"
"23","95","0","true"
"24","97","0","true"
"25","97","0","true"
"26","103","0","true"
"27","103","0","true"
"28","105","0","true"
"29","108","0","true"
"30","109","0","true"
"31","114","0","true"
"32","129","0","true"
"33","79","0","true"
"34","54","0","true"
"35","137","0","true"
"36","140","0","true"
"37","97","0","true"
"38","92","0","true"
"39","105","0","true"
"40","69","0","true"
"41","79","0","true"
"42","108","0","true"
"43","103","0","true"
"44","105","0","true"
"45","113","0","true"
"46","128","0","true"
"47","113","0","true"
"48","143","0","true"
"49","86","0","true"
"50","139","0","true"
"51","102","0","true"
"52","108","0","true"
"53","142","0","true"
"54","107","0","true"
"55","105","0","true"
"56","139","0","true"
"57","144","0","true"
"58","138","0","true"
"59","110","0","true"
"60","150","0","true"
"61","172","0","true"
"62","157","0","true"
"63","74","0","true"
"64","70","0","true"
"65","110","0","true"
"66","155","0","true"
"67","85","0","true"
"68","120","0","true"
"69","76","0","true"
"70","65","0","true"
"71","78","0","true"
"72","193","0","true"
"73","129","0","true"
"74","175","0","true"
"75","156","0","true"
"76","78","0","true"
"77","127","0","true"
"78","164","0","true"
"79","86","0","true"
"80","160","0","true"
"81","65","0","true"
"82","61","0","true"
"83","133","0","true"
"84","104","0","true"
"85","224","0","true"
"86","77","0","true"
"87","145","0","true"
"88","102","0","true"
"89","105","0","true"
"90","144","0","true"
"91","190","0","true"
"92","121","0","true"
"93","102","0","true"
"94","80","0","true"
"95","158","0","true"
"96","146","0","true"
"97","176","0","true"
"98","197","0","true"
"99","84","0","true"
"100","165","0","true"
"101","107","0","true"
"102","178","0","true"
"103","87","0","true"
"104","115","0","true"
"105","100","0","true"
"106","216","0","true"
"107","130","0","true"
"108","128","0","true"
"109","162","0","true"
"110","125","0","true"
"111","153","0","true"
"112","90","0","true"
"113","176","0","true"
"114","160","0","true"
"115","119","0","true"
"116","117","0","true"
"117","92","0","true"
"118","144","0","true"
"119","108","0","true"
"120","101","0","true"
"121","111","0","true"
"122","99","0","true"
"123","71","0","true"
"124","173","0","true"
"125","85","0","true"
"126","121","0","true"
"127","121","0","true"
"128","164","0","true"
"129","100","0","true"
"130","192","0","true"
"131","104","0","true"
"132","128","0","true"
"133","159","0","true"
"134","167","0","true"
"135","136","0","true"
"136","113","0","true"
"137","173","0","true"
"138","84","0","true"
"139","115","0","true"
"140","63","0","true"
"141","186","0","true"
"142","128","0","true"
"143","123","0","true"
"144","142","0","true"
"145","123","0","true"
"146","127","0","true"
"147","141","0","true"
"148","102","0","true"
"149","76","0","true"
"150","89","0","true"
"151","158","0","true"
"152","130","0","true"
"153","164","0","true"
"154","141","0","true"
"155","173","0","true"
"156","127","0","true"
"157","189","0","true"
"158","141","0","true"
"159","84","0","true"
"160","98","0","true"
"161","110","0","true"
"162","82","0","true"
"163","188","0","true"
"164","208","0","true"
"165","107","0","true"
"166","119","0","true"
"167","185","0","true"
"168","84","0","true"
"169","183","0","true"
"170","167","0","true"
"171","95","0","true"
"172","150","0","true"
"173","106","0","true"
"174","178","0","true"
"175","162","0","true"
"176","94","0","true"
"177","132","0","true"
"178","174","0","true"
"179","77","0","true"
"180","115","0","true"
"181","128","0","true"
"182","189","0","true"
"183","136","0","true"
"184","137","0","true"
"185","101","0","true"
"186","185","0","true"
"187","116","0","true"
"188","191","0","true"
"189","182","0","true"
"190","86","0","true"
"191","194","0","true"
"192","78","0","true"
"193","163","0","true"
"194","97","0","true"
"195","157","0","true"
"196","115","0","true"
"197","136","0","true"
"198","113","0","true"
"199","130","0","true"
"200","141","0","true"
"201","128","0","true"
"202","93","0","true"
"203","181","0","true"
"204","117","0","true"
"205","191","0","true"
"206","162","0","true"
"207","77","0","true"
"208","103","0","true"
"209","149","0","true"
"210","109","0","true"
"211","195","0","true"
"212","120","0","true"
"213","202","0","true"
"214","179","0","true"
"215","111","0","true"
"216","109","0","true"
"217","185","0","true"
"218","141","0","true"
"219","139","0","true"
"220","175","0","true"
"221","83","0","true"
"222","165","0","true"
"223","205","0","true"
"224","137","0","true"
"225","95","0","true"
"226","169","0","true"
"227","171","0","true"
"228","102","0","true"
"229","111","0","true"
"230","199","0","true"
"231","253","0","true"
"232","112","0","true"
"233","122","0","true"
"234","179","0","true"
"235","87","0","true"
"236","161","0","true"
"237","207","0","true"
"238","201","0","true"
"239","229","0","true"
"240","182","0","true"
"241","133","0","true"
"242","130","0","true"
"243","149","0","true"
"244","243","0","true"
"245","112","0","true"
"246","172","0","true"
"247","176","0","true"
"248","176","0","true"
"249","142","0","true"
"250","184","0","true"
"251","218","0","true"
"252","177","0","true"
"253","104","0","true"
"254","219","0","true"
"255","211","0","true"
"256","96","0","true"
"257","88","0","true"
"258","219","0","true"
"259","117","0","true"
"260","183","0","true"
"261","152","0","true"
"262","161","0","true"
"263","176","0","true"
"264","163","0","true"
"265","157","0","true"
"266","101","0","true"
"267","108","0","true"
"268","242","0","true"
"269","143","0","true"
"270","114","0","true"
"271","131","0","true"
"272","109","0","true"
"273","110","0","true"
"274","112","0","true"
"275","102","0","true"
"276","92","0","true"
"277","140","0","true"
"278","261","0","true"
"279","134","0","true"
"280","220","0","true"
"281","132","0","true"
"282","140","0","true"
"283","253","0","true"
"284","115","0","true"
"285","129","0","true"
"286","152","0","true"
"287","265","0","true"
"288","126","0","true"
"289","152","0","true"
