"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 14:55:24:605 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","289","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1736"

"""default"""
"x","y","color","pen down?"
"0","57","0","true"
"1","66","0","true"
"2","73","0","true"
"3","74","0","true"
"4","79","0","true"
"5","85","0","true"
"6","87","0","true"
"7","88","0","true"
"8","92","0","true"
"9","97","0","true"
"10","105","0","true"
"11","110","0","true"
"12","113","0","true"
"13","114","0","true"
"14","129","0","true"
"15","129","0","true"
"16","130","0","true"
"17","135","0","true"
"18","74","0","true"
"19","153","0","true"
"20","155","0","true"
"21","76","0","true"
"22","84","0","true"
"23","76","0","true"
"24","106","0","true"
"25","85","0","true"
"26","75","0","true"
"27","141","0","true"
"28","114","0","true"
"29","74","0","true"
"30","105","0","true"
"31","135","0","true"
"32","101","0","true"
"33","143","0","true"
"34","84","0","true"
"35","96","0","true"
"36","83","0","true"
"37","114","0","true"
"38","140","0","true"
"39","146","0","true"
"40","103","0","true"
"41","142","0","true"
"42","104","0","true"
"43","92","0","true"
"44","79","0","true"
"45","139","0","true"
"46","95","0","true"
"47","86","0","true"
"48","106","0","true"
"49","163","0","true"
"50","148","0","true"
"51","91","0","true"
"52","103","0","true"
"53","151","0","true"
"54","102","0","true"
"55","121","0","true"
"56","112","0","true"
"57","97","0","true"
"58","124","0","true"
"59","135","0","true"
"60","107","0","true"
"61","86","0","true"
"62","103","0","true"
"63","112","0","true"
"64","103","0","true"
"65","140","0","true"
"66","81","0","true"
"67","74","0","true"
"68","106","0","true"
"69","207","0","true"
"70","133","0","true"
"71","76","0","true"
"72","192","0","true"
"73","90","0","true"
"74","105","0","true"
"75","64","0","true"
"76","151","0","true"
"77","104","0","true"
"78","75","0","true"
"79","103","0","true"
"80","122","0","true"
"81","93","0","true"
"82","105","0","true"
"83","130","0","true"
"84","80","0","true"
"85","105","0","true"
"86","70","0","true"
"87","95","0","true"
"88","114","0","true"
"89","88","0","true"
"90","111","0","true"
"91","104","0","true"
"92","74","0","true"
"93","108","0","true"
"94","119","0","true"
"95","114","0","true"
"96","107","0","true"
"97","113","0","true"
"98","83","0","true"
"99","123","0","true"
"100","107","0","true"
"101","112","0","true"
"102","106","0","true"
"103","95","0","true"
"104","106","0","true"
"105","134","0","true"
"106","82","0","true"
"107","147","0","true"
"108","96","0","true"
"109","95","0","true"
"110","88","0","true"
"111","86","0","true"
"112","75","0","true"
"113","116","0","true"
"114","164","0","true"
"115","68","0","true"
"116","127","0","true"
"117","106","0","true"
"118","130","0","true"
"119","88","0","true"
"120","105","0","true"
"121","128","0","true"
"122","118","0","true"
"123","134","0","true"
"124","106","0","true"
"125","88","0","true"
"126","123","0","true"
"127","120","0","true"
"128","99","0","true"
"129","102","0","true"
"130","116","0","true"
"131","116","0","true"
"132","96","0","true"
"133","92","0","true"
"134","88","0","true"
"135","90","0","true"
"136","73","0","true"
"137","123","0","true"
"138","97","0","true"
"139","187","0","true"
"140","131","0","true"
"141","90","0","true"
"142","166","0","true"
"143","120","0","true"
"144","75","0","true"
"145","145","0","true"
"146","85","0","true"
"147","84","0","true"
"148","114","0","true"
"149","121","0","true"
"150","106","0","true"
"151","114","0","true"
"152","97","0","true"
"153","144","0","true"
"154","82","0","true"
"155","106","0","true"
"156","89","0","true"
"157","99","0","true"
"158","75","0","true"
"159","103","0","true"
"160","88","0","true"
"161","127","0","true"
"162","98","0","true"
"163","144","0","true"
"164","137","0","true"
"165","121","0","true"
"166","130","0","true"
"167","141","0","true"
"168","120","0","true"
"169","117","0","true"
"170","85","0","true"
"171","99","0","true"
"172","126","0","true"
"173","93","0","true"
"174","97","0","true"
"175","86","0","true"
"176","133","0","true"
"177","121","0","true"
"178","216","0","true"
"179","67","0","true"
"180","76","0","true"
"181","143","0","true"
"182","152","0","true"
"183","101","0","true"
"184","100","0","true"
"185","70","0","true"
"186","72","0","true"
"187","77","0","true"
"188","181","0","true"
"189","84","0","true"
"190","107","0","true"
"191","76","0","true"
"192","93","0","true"
"193","73","0","true"
"194","76","0","true"
"195","89","0","true"
"196","94","0","true"
"197","103","0","true"
"198","96","0","true"
"199","98","0","true"
"200","87","0","true"
"201","113","0","true"
"202","104","0","true"
"203","116","0","true"
"204","118","0","true"
"205","103","0","true"
"206","116","0","true"
"207","131","0","true"
"208","80","0","true"
"209","114","0","true"
"210","112","0","true"
"211","125","0","true"
"212","119","0","true"
"213","160","0","true"
"214","119","0","true"
"215","106","0","true"
"216","73","0","true"
"217","102","0","true"
"218","152","0","true"
"219","92","0","true"
"220","127","0","true"
"221","96","0","true"
"222","91","0","true"
"223","99","0","true"
"224","101","0","true"
"225","88","0","true"
"226","105","0","true"
"227","84","0","true"
"228","82","0","true"
"229","105","0","true"
"230","119","0","true"
"231","106","0","true"
"232","69","0","true"
"233","80","0","true"
"234","103","0","true"
"235","101","0","true"
"236","102","0","true"
"237","128","0","true"
"238","97","0","true"
"239","135","0","true"
"240","88","0","true"
"241","113","0","true"
"242","126","0","true"
"243","93","0","true"
"244","121","0","true"
"245","125","0","true"
"246","143","0","true"
"247","99","0","true"
"248","152","0","true"
"249","102","0","true"
"250","104","0","true"
"251","136","0","true"
"252","114","0","true"
"253","83","0","true"
"254","105","0","true"
"255","123","0","true"
"256","119","0","true"
"257","91","0","true"
"258","92","0","true"
"259","125","0","true"
"260","90","0","true"
"261","107","0","true"
"262","97","0","true"
"263","127","0","true"
"264","92","0","true"
"265","91","0","true"
"266","90","0","true"
"267","122","0","true"
"268","114","0","true"
"269","91","0","true"
"270","130","0","true"
"271","87","0","true"
"272","93","0","true"
"273","132","0","true"
"274","130","0","true"
"275","102","0","true"
"276","119","0","true"
"277","142","0","true"
"278","125","0","true"
"279","99","0","true"
"280","73","0","true"
"281","104","0","true"
"282","102","0","true"
"283","81","0","true"
"284","103","0","true"
"285","128","0","true"
"286","97","0","true"
"287","110","0","true"
"288","167","0","true"
"289","124","0","true"
"290","117","0","true"
"291","84","0","true"
"292","101","0","true"
"293","114","0","true"
"294","96","0","true"
"295","108","0","true"
"296","98","0","true"
"297","83","0","true"
"298","106","0","true"
"299","117","0","true"
"300","104","0","true"
"301","105","0","true"
"302","145","0","true"
"303","93","0","true"
"304","130","0","true"
"305","126","0","true"
"306","80","0","true"
"307","118","0","true"
"308","82","0","true"
"309","101","0","true"
"310","96","0","true"
"311","125","0","true"
"312","98","0","true"
"313","109","0","true"
"314","92","0","true"
"315","89","0","true"
"316","115","0","true"
"317","128","0","true"
"318","91","0","true"
"319","90","0","true"
"320","117","0","true"
"321","110","0","true"
"322","121","0","true"
"323","112","0","true"
"324","81","0","true"
"325","139","0","true"
"326","149","0","true"
"327","88","0","true"
"328","111","0","true"
"329","140","0","true"
"330","122","0","true"
"331","131","0","true"
"332","138","0","true"
"333","107","0","true"
"334","104","0","true"
"335","115","0","true"
"336","110","0","true"
"337","98","0","true"
"338","100","0","true"
"339","163","0","true"
"340","89","0","true"
"341","151","0","true"
"342","98","0","true"
"343","156","0","true"
"344","133","0","true"
"345","170","0","true"
"346","102","0","true"
"347","84","0","true"
"348","139","0","true"
"349","131","0","true"
"350","147","0","true"
"351","166","0","true"
"352","180","0","true"
"353","100","0","true"
"354","110","0","true"
"355","128","0","true"
"356","113","0","true"
"357","143","0","true"
"358","94","0","true"
"359","112","0","true"
"360","86","0","true"
"361","149","0","true"
"362","156","0","true"
"363","111","0","true"
"364","90","0","true"
"365","116","0","true"
"366","112","0","true"
"367","93","0","true"
"368","112","0","true"
"369","122","0","true"
"370","145","0","true"
"371","127","0","true"
"372","93","0","true"
"373","160","0","true"
"374","124","0","true"
"375","90","0","true"
"376","125","0","true"
"377","150","0","true"
"378","147","0","true"
"379","91","0","true"
"380","111","0","true"
"381","183","0","true"
"382","76","0","true"
"383","176","0","true"
"384","127","0","true"
"385","171","0","true"
"386","104","0","true"
"387","172","0","true"
"388","140","0","true"
"389","119","0","true"
"390","104","0","true"
"391","93","0","true"
"392","182","0","true"
"393","114","0","true"
"394","189","0","true"
"395","127","0","true"
"396","117","0","true"
"397","140","0","true"
"398","100","0","true"
"399","71","0","true"
"400","263","0","true"
"401","157","0","true"
"402","95","0","true"
"403","172","0","true"
"404","152","0","true"
"405","118","0","true"
"406","81","0","true"
"407","137","0","true"
"408","158","0","true"
"409","113","0","true"
"410","108","0","true"
"411","143","0","true"
"412","148","0","true"
"413","98","0","true"
"414","125","0","true"
"415","118","0","true"
"416","131","0","true"
"417","121","0","true"
"418","154","0","true"
"419","127","0","true"
"420","151","0","true"
"421","100","0","true"
"422","139","0","true"
"423","107","0","true"
"424","106","0","true"
"425","129","0","true"
"426","128","0","true"
"427","96","0","true"
"428","110","0","true"
"429","77","0","true"
"430","115","0","true"
"431","84","0","true"
"432","130","0","true"
"433","100","0","true"
"434","87","0","true"
"435","131","0","true"
"436","115","0","true"
"437","125","0","true"
"438","97","0","true"
"439","140","0","true"
"440","120","0","true"
"441","126","0","true"
"442","95","0","true"
"443","109","0","true"
"444","75","0","true"
"445","123","0","true"
"446","95","0","true"
"447","137","0","true"
"448","139","0","true"
"449","142","0","true"
"450","161","0","true"
"451","88","0","true"
"452","131","0","true"
"453","90","0","true"
"454","168","0","true"
"455","132","0","true"
"456","149","0","true"
"457","85","0","true"
"458","97","0","true"
"459","104","0","true"
"460","75","0","true"
"461","103","0","true"
"462","116","0","true"
"463","145","0","true"
"464","179","0","true"
