"export-plot data (NetLogo 6.1.0-RC2)"
"+rep.nlogo"
"09/26/2020 16:14:40:484 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","qty-lb-ub","order-due-date","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","type-of-item","service-time-alpha","num-arrival","layout-file","service-time-beta"
"30","35","20","12","5","3","""AGV set 1.csv""","80","2","10","2","800","12","15","""layout set 4.csv""","1.5"

"""Robot Traveling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","630","0","222","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","612"

"""default"""
"x","y","color","pen down?"
"0","42","0","true"
"1","43","0","true"
"2","40","0","true"
"3","43","0","true"
"4","43","0","true"
"5","51","0","true"
"6","50","0","true"
"7","52","0","true"
"8","35","0","true"
"9","54","0","true"
"10","65","0","true"
"11","62","0","true"
"12","64","0","true"
"13","50","0","true"
"14","57","0","true"
"15","43","0","true"
"16","58","0","true"
"17","72","0","true"
"18","50","0","true"
"19","50","0","true"
"20","61","0","true"
"21","85","0","true"
"22","71","0","true"
"23","63","0","true"
"24","61","0","true"
"25","84","0","true"
"26","77","0","true"
"27","56","0","true"
"28","73","0","true"
"29","71","0","true"
"30","85","0","true"
"31","82","0","true"
"32","97","0","true"
"33","94","0","true"
"34","60","0","true"
"35","46","0","true"
"36","71","0","true"
"37","61","0","true"
"38","62","0","true"
"39","96","0","true"
"40","68","0","true"
"41","82","0","true"
"42","90","0","true"
"43","89","0","true"
"44","103","0","true"
"45","120","0","true"
"46","76","0","true"
"47","105","0","true"
"48","106","0","true"
"49","70","0","true"
"50","122","0","true"
"51","78","0","true"
"52","104","0","true"
"53","98","0","true"
"54","89","0","true"
"55","86","0","true"
"56","92","0","true"
"57","73","0","true"
"58","90","0","true"
"59","87","0","true"
"60","119","0","true"
"61","94","0","true"
"62","86","0","true"
"63","80","0","true"
"64","72","0","true"
"65","108","0","true"
"66","43","0","true"
"67","79","0","true"
"68","84","0","true"
"69","80","0","true"
"70","114","0","true"
"71","95","0","true"
"72","75","0","true"
"73","52","0","true"
"74","54","0","true"
"75","63","0","true"
"76","93","0","true"
"77","104","0","true"
"78","124","0","true"
"79","88","0","true"
"80","74","0","true"
"81","77","0","true"
