"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:28:20:653 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1619"

"""default"""
"x","y","color","pen down?"
"0","54","0","true"
"1","56","0","true"
"2","58","0","true"
"3","66","0","true"
"4","72","0","true"
"5","72","0","true"
"6","76","0","true"
"7","79","0","true"
"8","84","0","true"
"9","85","0","true"
"10","96","0","true"
"11","96","0","true"
"12","99","0","true"
"13","100","0","true"
"14","103","0","true"
"15","103","0","true"
"16","124","0","true"
"17","124","0","true"
"18","128","0","true"
"19","60","0","true"
"20","134","0","true"
"21","80","0","true"
"22","78","0","true"
"23","96","0","true"
"24","117","0","true"
"25","122","0","true"
"26","115","0","true"
"27","109","0","true"
"28","96","0","true"
"29","71","0","true"
"30","75","0","true"
"31","114","0","true"
"32","150","0","true"
"33","119","0","true"
"34","83","0","true"
"35","131","0","true"
"36","120","0","true"
"37","148","0","true"
"38","76","0","true"
"39","128","0","true"
"40","177","0","true"
"41","168","0","true"
"42","108","0","true"
"43","89","0","true"
"44","121","0","true"
"45","165","0","true"
"46","136","0","true"
"47","111","0","true"
"48","99","0","true"
"49","96","0","true"
"50","130","0","true"
"51","104","0","true"
"52","116","0","true"
"53","84","0","true"
"54","133","0","true"
"55","91","0","true"
"56","113","0","true"
"57","161","0","true"
"58","117","0","true"
"59","156","0","true"
"60","96","0","true"
"61","88","0","true"
"62","134","0","true"
"63","140","0","true"
"64","93","0","true"
"65","133","0","true"
"66","137","0","true"
"67","74","0","true"
"68","132","0","true"
"69","113","0","true"
"70","123","0","true"
"71","133","0","true"
"72","130","0","true"
"73","116","0","true"
"74","123","0","true"
"75","79","0","true"
"76","101","0","true"
"77","104","0","true"
"78","70","0","true"
"79","164","0","true"
"80","107","0","true"
"81","143","0","true"
"82","150","0","true"
"83","166","0","true"
"84","129","0","true"
"85","109","0","true"
"86","96","0","true"
"87","85","0","true"
"88","168","0","true"
"89","114","0","true"
"90","110","0","true"
"91","111","0","true"
"92","116","0","true"
"93","109","0","true"
"94","121","0","true"
"95","108","0","true"
"96","111","0","true"
"97","81","0","true"
"98","98","0","true"
"99","126","0","true"
"100","139","0","true"
"101","104","0","true"
"102","87","0","true"
"103","106","0","true"
"104","145","0","true"
"105","121","0","true"
"106","101","0","true"
"107","115","0","true"
"108","115","0","true"
"109","94","0","true"
"110","99","0","true"
"111","88","0","true"
"112","141","0","true"
"113","111","0","true"
"114","98","0","true"
"115","115","0","true"
"116","122","0","true"
"117","98","0","true"
"118","98","0","true"
"119","92","0","true"
"120","90","0","true"
"121","116","0","true"
"122","93","0","true"
"123","77","0","true"
"124","96","0","true"
"125","114","0","true"
"126","134","0","true"
"127","102","0","true"
"128","99","0","true"
"129","92","0","true"
"130","73","0","true"
"131","150","0","true"
"132","86","0","true"
"133","127","0","true"
"134","126","0","true"
"135","77","0","true"
"136","91","0","true"
"137","62","0","true"
"138","93","0","true"
"139","87","0","true"
"140","60","0","true"
"141","109","0","true"
"142","76","0","true"
"143","84","0","true"
"144","96","0","true"
"145","102","0","true"
"146","88","0","true"
"147","118","0","true"
"148","103","0","true"
"149","105","0","true"
"150","85","0","true"
"151","106","0","true"
"152","106","0","true"
"153","122","0","true"
"154","105","0","true"
"155","116","0","true"
"156","130","0","true"
"157","70","0","true"
"158","88","0","true"
"159","103","0","true"
"160","72","0","true"
"161","146","0","true"
"162","121","0","true"
"163","168","0","true"
"164","138","0","true"
"165","134","0","true"
"166","128","0","true"
"167","115","0","true"
"168","145","0","true"
"169","72","0","true"
"170","102","0","true"
"171","184","0","true"
"172","115","0","true"
"173","98","0","true"
"174","153","0","true"
"175","126","0","true"
"176","106","0","true"
"177","117","0","true"
"178","81","0","true"
"179","109","0","true"
"180","120","0","true"
"181","90","0","true"
"182","184","0","true"
"183","71","0","true"
"184","147","0","true"
"185","77","0","true"
"186","102","0","true"
"187","131","0","true"
"188","90","0","true"
"189","119","0","true"
"190","118","0","true"
"191","124","0","true"
"192","93","0","true"
"193","105","0","true"
"194","127","0","true"
"195","146","0","true"
"196","129","0","true"
"197","125","0","true"
"198","143","0","true"
"199","111","0","true"
"200","96","0","true"
"201","136","0","true"
"202","169","0","true"
"203","161","0","true"
"204","111","0","true"
"205","107","0","true"
"206","167","0","true"
"207","161","0","true"
"208","169","0","true"
"209","183","0","true"
"210","133","0","true"
"211","143","0","true"
"212","118","0","true"
"213","109","0","true"
"214","96","0","true"
"215","183","0","true"
"216","179","0","true"
"217","99","0","true"
"218","105","0","true"
"219","141","0","true"
"220","181","0","true"
"221","114","0","true"
"222","176","0","true"
"223","96","0","true"
"224","170","0","true"
"225","118","0","true"
"226","79","0","true"
"227","83","0","true"
"228","174","0","true"
"229","137","0","true"
"230","98","0","true"
"231","140","0","true"
"232","86","0","true"
"233","171","0","true"
"234","93","0","true"
"235","105","0","true"
"236","132","0","true"
"237","98","0","true"
"238","142","0","true"
"239","95","0","true"
"240","62","0","true"
"241","173","0","true"
"242","124","0","true"
"243","91","0","true"
"244","128","0","true"
"245","106","0","true"
"246","168","0","true"
"247","102","0","true"
"248","74","0","true"
"249","193","0","true"
"250","160","0","true"
"251","105","0","true"
"252","78","0","true"
"253","149","0","true"
"254","172","0","true"
"255","77","0","true"
"256","85","0","true"
"257","102","0","true"
"258","89","0","true"
"259","79","0","true"
"260","150","0","true"
"261","73","0","true"
"262","89","0","true"
"263","149","0","true"
"264","144","0","true"
"265","92","0","true"
"266","125","0","true"
"267","97","0","true"
"268","80","0","true"
"269","103","0","true"
"270","83","0","true"
"271","115","0","true"
"272","134","0","true"
"273","149","0","true"
"274","128","0","true"
"275","95","0","true"
"276","139","0","true"
"277","96","0","true"
"278","116","0","true"
"279","169","0","true"
"280","115","0","true"
"281","133","0","true"
"282","123","0","true"
"283","88","0","true"
"284","131","0","true"
"285","104","0","true"
"286","98","0","true"
"287","175","0","true"
"288","107","0","true"
"289","107","0","true"
"290","134","0","true"
"291","140","0","true"
"292","130","0","true"
"293","102","0","true"
"294","106","0","true"
"295","113","0","true"
"296","110","0","true"
"297","113","0","true"
"298","118","0","true"
"299","105","0","true"
"300","118","0","true"
"301","117","0","true"
"302","115","0","true"
"303","102","0","true"
"304","108","0","true"
"305","90","0","true"
"306","116","0","true"
"307","97","0","true"
"308","115","0","true"
"309","116","0","true"
"310","124","0","true"
"311","155","0","true"
"312","114","0","true"
"313","125","0","true"
"314","113","0","true"
"315","124","0","true"
"316","101","0","true"
"317","108","0","true"
"318","123","0","true"
"319","108","0","true"
"320","89","0","true"
"321","106","0","true"
"322","117","0","true"
"323","99","0","true"
"324","155","0","true"
"325","121","0","true"
"326","116","0","true"
"327","112","0","true"
"328","149","0","true"
"329","75","0","true"
"330","105","0","true"
"331","101","0","true"
"332","144","0","true"
"333","105","0","true"
"334","117","0","true"
"335","74","0","true"
"336","96","0","true"
"337","108","0","true"
"338","121","0","true"
"339","102","0","true"
"340","88","0","true"
"341","125","0","true"
"342","127","0","true"
"343","102","0","true"
"344","98","0","true"
"345","143","0","true"
"346","84","0","true"
"347","125","0","true"
"348","128","0","true"
"349","109","0","true"
"350","146","0","true"
"351","133","0","true"
"352","118","0","true"
"353","136","0","true"
"354","111","0","true"
"355","133","0","true"
"356","113","0","true"
"357","143","0","true"
"358","149","0","true"
"359","71","0","true"
"360","109","0","true"
"361","167","0","true"
"362","81","0","true"
"363","90","0","true"
"364","136","0","true"
"365","73","0","true"
"366","115","0","true"
"367","164","0","true"
"368","105","0","true"
"369","84","0","true"
"370","98","0","true"
"371","135","0","true"
"372","116","0","true"
"373","90","0","true"
"374","125","0","true"
"375","132","0","true"
"376","92","0","true"
"377","102","0","true"
"378","90","0","true"
"379","121","0","true"
"380","146","0","true"
"381","131","0","true"
"382","123","0","true"
"383","72","0","true"
"384","108","0","true"
"385","81","0","true"
"386","120","0","true"
"387","136","0","true"
"388","86","0","true"
"389","172","0","true"
"390","152","0","true"
"391","112","0","true"
"392","177","0","true"
"393","73","0","true"
"394","78","0","true"
"395","150","0","true"
"396","146","0","true"
"397","146","0","true"
"398","114","0","true"
"399","158","0","true"
"400","131","0","true"
"401","150","0","true"
"402","112","0","true"
"403","93","0","true"
"404","85","0","true"
"405","144","0","true"
"406","71","0","true"
"407","125","0","true"
"408","115","0","true"
"409","61","0","true"
"410","116","0","true"
"411","123","0","true"
"412","95","0","true"
"413","84","0","true"
"414","95","0","true"
"415","121","0","true"
"416","93","0","true"
"417","97","0","true"
"418","104","0","true"
"419","124","0","true"
"420","127","0","true"
"421","71","0","true"
"422","85","0","true"
"423","118","0","true"
"424","97","0","true"
"425","106","0","true"
"426","129","0","true"
"427","115","0","true"
"428","95","0","true"
"429","86","0","true"
"430","145","0","true"
"431","104","0","true"
"432","107","0","true"
"433","84","0","true"
"434","117","0","true"
"435","137","0","true"
"436","122","0","true"
"437","101","0","true"
"438","103","0","true"
"439","89","0","true"
"440","110","0","true"
"441","128","0","true"
"442","73","0","true"
"443","104","0","true"
"444","152","0","true"
"445","93","0","true"
"446","128","0","true"
"447","114","0","true"
"448","132","0","true"
"449","140","0","true"
"450","129","0","true"
"451","144","0","true"
"452","90","0","true"
"453","129","0","true"
"454","159","0","true"
"455","127","0","true"
"456","235","0","true"
"457","123","0","true"
"458","183","0","true"
"459","155","0","true"
"460","94","0","true"
"461","154","0","true"
"462","135","0","true"
"463","96","0","true"
"464","110","0","true"
"465","108","0","true"
"466","89","0","true"
"467","157","0","true"
"468","122","0","true"
"469","119","0","true"
"470","90","0","true"
"471","156","0","true"
"472","135","0","true"
"473","70","0","true"
"474","111","0","true"
"475","111","0","true"
"476","156","0","true"
"477","106","0","true"
"478","131","0","true"
"479","163","0","true"
"480","165","0","true"
"481","142","0","true"
"482","93","0","true"
"483","130","0","true"
"484","129","0","true"
"485","143","0","true"
"486","98","0","true"
"487","111","0","true"
"488","116","0","true"
"489","112","0","true"
"490","141","0","true"
"491","116","0","true"
"492","78","0","true"
"493","79","0","true"
"494","77","0","true"
"495","123","0","true"
"496","88","0","true"
"497","126","0","true"
"498","126","0","true"
"499","100","0","true"
"500","101","0","true"
"501","94","0","true"
"502","96","0","true"
"503","94","0","true"
"504","83","0","true"
"505","99","0","true"
"506","105","0","true"
"507","122","0","true"
"508","141","0","true"
"509","91","0","true"
"510","127","0","true"
"511","126","0","true"
"512","113","0","true"
"513","87","0","true"
"514","105","0","true"
"515","104","0","true"
"516","155","0","true"
"517","103","0","true"
"518","86","0","true"
"519","203","0","true"
"520","144","0","true"
"521","104","0","true"
"522","134","0","true"
"523","114","0","true"
"524","134","0","true"
"525","93","0","true"
"526","120","0","true"
"527","118","0","true"
"528","101","0","true"
"529","92","0","true"
"530","116","0","true"
"531","119","0","true"
"532","92","0","true"
"533","149","0","true"
"534","131","0","true"
"535","100","0","true"
"536","134","0","true"
"537","125","0","true"
"538","120","0","true"
"539","129","0","true"
"540","136","0","true"
"541","122","0","true"
"542","105","0","true"
"543","124","0","true"
"544","87","0","true"
"545","104","0","true"
"546","119","0","true"
"547","160","0","true"
"548","109","0","true"
"549","101","0","true"
"550","140","0","true"
"551","157","0","true"
"552","163","0","true"
"553","143","0","true"
"554","114","0","true"
"555","101","0","true"
"556","127","0","true"
"557","167","0","true"
"558","105","0","true"
"559","83","0","true"
"560","119","0","true"
"561","84","0","true"
"562","112","0","true"
"563","142","0","true"
"564","133","0","true"
