"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 14:43:20:790 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","415","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1676"

"""default"""
"x","y","color","pen down?"
"0","62","0","true"
"1","66","0","true"
"2","75","0","true"
"3","85","0","true"
"4","89","0","true"
"5","89","0","true"
"6","92","0","true"
"7","97","0","true"
"8","101","0","true"
"9","104","0","true"
"10","115","0","true"
"11","118","0","true"
"12","119","0","true"
"13","120","0","true"
"14","135","0","true"
"15","147","0","true"
"16","150","0","true"
"17","152","0","true"
"18","155","0","true"
"19","160","0","true"
"20","89","0","true"
"21","80","0","true"
"22","109","0","true"
"23","123","0","true"
"24","92","0","true"
"25","78","0","true"
"26","112","0","true"
"27","94","0","true"
"28","123","0","true"
"29","121","0","true"
"30","102","0","true"
"31","122","0","true"
"32","142","0","true"
"33","83","0","true"
"34","113","0","true"
"35","97","0","true"
"36","143","0","true"
"37","118","0","true"
"38","87","0","true"
"39","82","0","true"
"40","197","0","true"
"41","131","0","true"
"42","139","0","true"
"43","124","0","true"
"44","98","0","true"
"45","108","0","true"
"46","94","0","true"
"47","73","0","true"
"48","63","0","true"
"49","119","0","true"
"50","101","0","true"
"51","62","0","true"
"52","166","0","true"
"53","102","0","true"
"54","137","0","true"
"55","90","0","true"
"56","115","0","true"
"57","92","0","true"
"58","85","0","true"
"59","108","0","true"
"60","93","0","true"
"61","128","0","true"
"62","101","0","true"
"63","109","0","true"
"64","91","0","true"
"65","129","0","true"
"66","83","0","true"
"67","86","0","true"
"68","122","0","true"
"69","96","0","true"
"70","121","0","true"
"71","112","0","true"
"72","120","0","true"
"73","118","0","true"
"74","117","0","true"
"75","103","0","true"
"76","127","0","true"
"77","154","0","true"
"78","122","0","true"
"79","82","0","true"
"80","202","0","true"
"81","135","0","true"
"82","128","0","true"
"83","89","0","true"
"84","125","0","true"
"85","136","0","true"
"86","138","0","true"
"87","115","0","true"
"88","122","0","true"
"89","124","0","true"
"90","125","0","true"
"91","102","0","true"
"92","131","0","true"
"93","139","0","true"
"94","95","0","true"
"95","115","0","true"
"96","88","0","true"
"97","89","0","true"
"98","149","0","true"
"99","115","0","true"
"100","132","0","true"
"101","105","0","true"
"102","133","0","true"
"103","149","0","true"
"104","105","0","true"
"105","110","0","true"
"106","150","0","true"
"107","124","0","true"
"108","91","0","true"
"109","99","0","true"
"110","130","0","true"
"111","173","0","true"
"112","106","0","true"
"113","104","0","true"
"114","97","0","true"
"115","113","0","true"
"116","118","0","true"
"117","99","0","true"
"118","115","0","true"
"119","103","0","true"
"120","96","0","true"
"121","82","0","true"
"122","124","0","true"
"123","97","0","true"
"124","91","0","true"
"125","126","0","true"
"126","96","0","true"
"127","117","0","true"
"128","109","0","true"
"129","146","0","true"
"130","139","0","true"
"131","113","0","true"
"132","96","0","true"
"133","114","0","true"
"134","141","0","true"
"135","131","0","true"
"136","193","0","true"
"137","111","0","true"
"138","128","0","true"
"139","154","0","true"
"140","138","0","true"
"141","92","0","true"
"142","164","0","true"
"143","145","0","true"
"144","132","0","true"
"145","138","0","true"
"146","71","0","true"
"147","107","0","true"
"148","107","0","true"
"149","95","0","true"
"150","151","0","true"
"151","133","0","true"
"152","85","0","true"
"153","130","0","true"
"154","137","0","true"
"155","128","0","true"
"156","114","0","true"
"157","90","0","true"
"158","100","0","true"
"159","140","0","true"
"160","106","0","true"
"161","84","0","true"
"162","100","0","true"
"163","142","0","true"
"164","82","0","true"
"165","84","0","true"
"166","117","0","true"
"167","101","0","true"
"168","114","0","true"
"169","125","0","true"
"170","117","0","true"
"171","93","0","true"
"172","127","0","true"
"173","158","0","true"
"174","100","0","true"
"175","123","0","true"
"176","88","0","true"
"177","94","0","true"
"178","102","0","true"
"179","113","0","true"
"180","93","0","true"
"181","89","0","true"
"182","74","0","true"
"183","91","0","true"
"184","139","0","true"
"185","121","0","true"
"186","89","0","true"
"187","107","0","true"
"188","118","0","true"
"189","93","0","true"
"190","89","0","true"
"191","106","0","true"
"192","74","0","true"
"193","102","0","true"
"194","170","0","true"
"195","91","0","true"
"196","190","0","true"
"197","97","0","true"
"198","155","0","true"
"199","98","0","true"
"200","109","0","true"
"201","160","0","true"
"202","89","0","true"
"203","91","0","true"
"204","96","0","true"
"205","103","0","true"
"206","193","0","true"
"207","218","0","true"
"208","90","0","true"
"209","169","0","true"
"210","173","0","true"
"211","83","0","true"
"212","92","0","true"
"213","224","0","true"
"214","86","0","true"
"215","92","0","true"
"216","228","0","true"
"217","183","0","true"
"218","91","0","true"
"219","183","0","true"
"220","182","0","true"
"221","176","0","true"
"222","88","0","true"
"223","230","0","true"
"224","233","0","true"
"225","160","0","true"
"226","207","0","true"
"227","165","0","true"
"228","180","0","true"
"229","173","0","true"
"230","199","0","true"
"231","236","0","true"
"232","233","0","true"
"233","266","0","true"
"234","286","0","true"
"235","309","0","true"
"236","289","0","true"
"237","308","0","true"
"238","318","0","true"
"239","290","0","true"
"240","290","0","true"
"241","102","0","true"
"242","285","0","true"
"243","342","0","true"
"244","84","0","true"
"245","309","0","true"
"246","353","0","true"
"247","332","0","true"
"248","304","0","true"
"249","359","0","true"
"250","112","0","true"
"251","342","0","true"
"252","377","0","true"
"253","407","0","true"
"254","293","0","true"
"255","100","0","true"
"256","270","0","true"
"257","268","0","true"
"258","322","0","true"
"259","283","0","true"
"260","140","0","true"
"261","292","0","true"
"262","106","0","true"
"263","273","0","true"
"264","122","0","true"
"265","133","0","true"
"266","311","0","true"
"267","96","0","true"
"268","309","0","true"
"269","122","0","true"
"270","332","0","true"
"271","293","0","true"
"272","86","0","true"
"273","104","0","true"
"274","278","0","true"
"275","310","0","true"
"276","271","0","true"
"277","223","0","true"
"278","206","0","true"
"279","140","0","true"
"280","123","0","true"
"281","252","0","true"
"282","238","0","true"
"283","189","0","true"
"284","95","0","true"
"285","106","0","true"
"286","105","0","true"
"287","200","0","true"
"288","195","0","true"
"289","203","0","true"
"290","74","0","true"
"291","194","0","true"
"292","124","0","true"
"293","96","0","true"
"294","199","0","true"
"295","98","0","true"
"296","212","0","true"
"297","140","0","true"
"298","105","0","true"
"299","253","0","true"
"300","231","0","true"
"301","133","0","true"
"302","231","0","true"
"303","260","0","true"
"304","213","0","true"
"305","114","0","true"
"306","76","0","true"
"307","101","0","true"
"308","232","0","true"
"309","263","0","true"
"310","88","0","true"
"311","197","0","true"
"312","136","0","true"
"313","238","0","true"
"314","74","0","true"
"315","89","0","true"
"316","202","0","true"
"317","127","0","true"
"318","122","0","true"
"319","114","0","true"
"320","210","0","true"
"321","239","0","true"
"322","81","0","true"
"323","109","0","true"
"324","222","0","true"
"325","163","0","true"
"326","201","0","true"
"327","102","0","true"
"328","184","0","true"
"329","91","0","true"
"330","99","0","true"
"331","201","0","true"
"332","176","0","true"
"333","112","0","true"
"334","128","0","true"
"335","180","0","true"
"336","146","0","true"
"337","133","0","true"
"338","74","0","true"
"339","182","0","true"
"340","166","0","true"
"341","111","0","true"
"342","91","0","true"
"343","162","0","true"
"344","158","0","true"
"345","178","0","true"
"346","90","0","true"
"347","187","0","true"
"348","104","0","true"
"349","189","0","true"
"350","110","0","true"
"351","79","0","true"
"352","183","0","true"
"353","90","0","true"
"354","83","0","true"
"355","204","0","true"
"356","82","0","true"
"357","214","0","true"
"358","204","0","true"
"359","190","0","true"
"360","213","0","true"
"361","208","0","true"
"362","96","0","true"
"363","116","0","true"
"364","198","0","true"
"365","219","0","true"
"366","85","0","true"
"367","222","0","true"
"368","239","0","true"
"369","216","0","true"
"370","197","0","true"
"371","78","0","true"
"372","97","0","true"
"373","214","0","true"
"374","85","0","true"
"375","101","0","true"
"376","248","0","true"
"377","216","0","true"
"378","192","0","true"
"379","227","0","true"
"380","73","0","true"
"381","65","0","true"
"382","88","0","true"
"383","209","0","true"
"384","94","0","true"
"385","239","0","true"
"386","231","0","true"
"387","240","0","true"
"388","223","0","true"
"389","176","0","true"
"390","70","0","true"
"391","79","0","true"
"392","106","0","true"
"393","71","0","true"
"394","172","0","true"
"395","95","0","true"
"396","165","0","true"
"397","231","0","true"
"398","114","0","true"
"399","194","0","true"
"400","97","0","true"
"401","87","0","true"
"402","238","0","true"
"403","184","0","true"
"404","112","0","true"
"405","183","0","true"
"406","226","0","true"
"407","105","0","true"
"408","88","0","true"
"409","169","0","true"
"410","105","0","true"
"411","184","0","true"
"412","71","0","true"
"413","143","0","true"
"414","156","0","true"
"415","91","0","true"
"416","165","0","true"
"417","78","0","true"
"418","145","0","true"
"419","123","0","true"
"420","177","0","true"
"421","129","0","true"
"422","78","0","true"
"423","90","0","true"
"424","212","0","true"
"425","96","0","true"
"426","169","0","true"
"427","76","0","true"
"428","144","0","true"
"429","83","0","true"
"430","109","0","true"
"431","174","0","true"
"432","85","0","true"
"433","83","0","true"
"434","147","0","true"
"435","105","0","true"
"436","94","0","true"
"437","158","0","true"
"438","143","0","true"
"439","126","0","true"
"440","78","0","true"
"441","118","0","true"
"442","106","0","true"
"443","107","0","true"
"444","109","0","true"
"445","171","0","true"
"446","115","0","true"
"447","146","0","true"
"448","98","0","true"
"449","174","0","true"
"450","85","0","true"
"451","127","0","true"
"452","123","0","true"
"453","109","0","true"
"454","103","0","true"
"455","94","0","true"
"456","183","0","true"
"457","189","0","true"
"458","119","0","true"
"459","89","0","true"
"460","96","0","true"
"461","174","0","true"
"462","110","0","true"
"463","138","0","true"
"464","132","0","true"
"465","115","0","true"
"466","118","0","true"
"467","109","0","true"
"468","118","0","true"
"469","118","0","true"
"470","132","0","true"
"471","103","0","true"
"472","104","0","true"
"473","100","0","true"
"474","118","0","true"
"475","82","0","true"
"476","106","0","true"
"477","103","0","true"
"478","152","0","true"
"479","137","0","true"
"480","159","0","true"
"481","107","0","true"
"482","133","0","true"
"483","87","0","true"
"484","89","0","true"
"485","82","0","true"
"486","89","0","true"
"487","81","0","true"
"488","160","0","true"
"489","85","0","true"
"490","144","0","true"
"491","83","0","true"
"492","95","0","true"
"493","135","0","true"
"494","160","0","true"
"495","107","0","true"
"496","129","0","true"
"497","125","0","true"
"498","83","0","true"
"499","88","0","true"
"500","84","0","true"
"501","119","0","true"
"502","112","0","true"
"503","105","0","true"
"504","109","0","true"
"505","98","0","true"
"506","139","0","true"
"507","144","0","true"
"508","123","0","true"
"509","105","0","true"
"510","91","0","true"
"511","118","0","true"
"512","81","0","true"
"513","89","0","true"
"514","110","0","true"
"515","105","0","true"
"516","116","0","true"
"517","134","0","true"
"518","92","0","true"
"519","106","0","true"
"520","84","0","true"
"521","114","0","true"
"522","106","0","true"
