"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"06/09/2020 19:26:20:208 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1761"

"""default"""
"x","y","color","pen down?"
"0","68","0","true"
"1","69","0","true"
"2","72","0","true"
"3","73","0","true"
"4","78","0","true"
"5","83","0","true"
"6","86","0","true"
"7","89","0","true"
"8","89","0","true"
"9","93","0","true"
"10","105","0","true"
"11","108","0","true"
"12","124","0","true"
"13","134","0","true"
"14","135","0","true"
"15","73","0","true"
"16","156","0","true"
"17","162","0","true"
"18","165","0","true"
"19","98","0","true"
"20","171","0","true"
"21","97","0","true"
"22","88","0","true"
"23","117","0","true"
"24","187","0","true"
"25","123","0","true"
"26","115","0","true"
"27","112","0","true"
"28","125","0","true"
"29","108","0","true"
"30","137","0","true"
"31","89","0","true"
"32","104","0","true"
"33","73","0","true"
"34","105","0","true"
"35","139","0","true"
"36","95","0","true"
"37","112","0","true"
"38","90","0","true"
"39","72","0","true"
"40","98","0","true"
"41","100","0","true"
"42","128","0","true"
"43","101","0","true"
"44","100","0","true"
"45","128","0","true"
"46","133","0","true"
"47","87","0","true"
"48","95","0","true"
"49","105","0","true"
"50","123","0","true"
"51","93","0","true"
"52","160","0","true"
"53","93","0","true"
"54","122","0","true"
"55","108","0","true"
"56","103","0","true"
"57","103","0","true"
"58","92","0","true"
"59","123","0","true"
"60","95","0","true"
"61","84","0","true"
"62","76","0","true"
"63","67","0","true"
"64","101","0","true"
"65","117","0","true"
"66","83","0","true"
"67","119","0","true"
"68","93","0","true"
"69","139","0","true"
"70","85","0","true"
"71","90","0","true"
"72","122","0","true"
"73","119","0","true"
"74","142","0","true"
"75","86","0","true"
"76","160","0","true"
"77","140","0","true"
"78","85","0","true"
"79","76","0","true"
"80","100","0","true"
"81","127","0","true"
"82","115","0","true"
"83","85","0","true"
"84","107","0","true"
"85","146","0","true"
"86","96","0","true"
"87","92","0","true"
"88","143","0","true"
"89","111","0","true"
"90","79","0","true"
"91","96","0","true"
"92","137","0","true"
"93","103","0","true"
"94","88","0","true"
"95","148","0","true"
"96","142","0","true"
"97","110","0","true"
"98","132","0","true"
"99","102","0","true"
"100","120","0","true"
"101","106","0","true"
"102","92","0","true"
"103","117","0","true"
"104","102","0","true"
"105","108","0","true"
"106","195","0","true"
"107","111","0","true"
"108","170","0","true"
"109","106","0","true"
"110","98","0","true"
"111","106","0","true"
"112","157","0","true"
"113","89","0","true"
"114","134","0","true"
"115","131","0","true"
"116","120","0","true"
"117","98","0","true"
"118","190","0","true"
"119","135","0","true"
"120","128","0","true"
"121","157","0","true"
"122","119","0","true"
"123","142","0","true"
"124","165","0","true"
"125","95","0","true"
"126","113","0","true"
"127","90","0","true"
"128","138","0","true"
"129","95","0","true"
"130","93","0","true"
"131","96","0","true"
"132","99","0","true"
"133","158","0","true"
"134","158","0","true"
"135","107","0","true"
"136","98","0","true"
"137","119","0","true"
"138","109","0","true"
"139","113","0","true"
"140","113","0","true"
"141","79","0","true"
"142","107","0","true"
"143","101","0","true"
"144","79","0","true"
"145","60","0","true"
"146","89","0","true"
"147","125","0","true"
"148","149","0","true"
"149","103","0","true"
"150","89","0","true"
"151","96","0","true"
"152","108","0","true"
"153","100","0","true"
"154","78","0","true"
"155","87","0","true"
"156","101","0","true"
"157","133","0","true"
"158","114","0","true"
"159","61","0","true"
"160","112","0","true"
"161","95","0","true"
"162","126","0","true"
"163","84","0","true"
"164","100","0","true"
"165","104","0","true"
"166","108","0","true"
"167","126","0","true"
"168","146","0","true"
"169","99","0","true"
"170","80","0","true"
"171","132","0","true"
"172","122","0","true"
"173","98","0","true"
"174","73","0","true"
"175","100","0","true"
"176","76","0","true"
"177","83","0","true"
"178","100","0","true"
"179","76","0","true"
"180","109","0","true"
"181","100","0","true"
"182","85","0","true"
"183","125","0","true"
"184","128","0","true"
"185","84","0","true"
"186","166","0","true"
"187","122","0","true"
"188","109","0","true"
"189","100","0","true"
"190","118","0","true"
"191","116","0","true"
"192","148","0","true"
"193","122","0","true"
"194","120","0","true"
"195","140","0","true"
"196","100","0","true"
"197","121","0","true"
