"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"07/09/2020 19:10:41:929 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","417","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1804"

"""default"""
"x","y","color","pen down?"
"0","62","0","true"
"1","65","0","true"
"2","68","0","true"
"3","69","0","true"
"4","71","0","true"
"5","76","0","true"
"6","84","0","true"
"7","93","0","true"
"8","95","0","true"
"9","97","0","true"
"10","98","0","true"
"11","100","0","true"
"12","108","0","true"
"13","109","0","true"
"14","116","0","true"
"15","125","0","true"
"16","67","0","true"
"17","69","0","true"
"18","147","0","true"
"19","68","0","true"
"20","78","0","true"
"21","162","0","true"
"22","57","0","true"
"23","173","0","true"
"24","177","0","true"
"25","133","0","true"
"26","55","0","true"
"27","130","0","true"
"28","159","0","true"
"29","82","0","true"
"30","134","0","true"
"31","144","0","true"
"32","57","0","true"
"33","109","0","true"
"34","172","0","true"
"35","104","0","true"
"36","176","0","true"
"37","173","0","true"
"38","77","0","true"
"39","79","0","true"
"40","195","0","true"
"41","177","0","true"
"42","82","0","true"
"43","117","0","true"
"44","126","0","true"
"45","115","0","true"
"46","211","0","true"
"47","100","0","true"
"48","112","0","true"
"49","281","0","true"
"50","266","0","true"
"51","102","0","true"
"52","96","0","true"
"53","332","0","true"
"54","281","0","true"
"55","111","0","true"
"56","95","0","true"
"57","265","0","true"
"58","85","0","true"
"59","74","0","true"
"60","176","0","true"
"61","235","0","true"
"62","116","0","true"
"63","167","0","true"
"64","114","0","true"
"65","152","0","true"
"66","105","0","true"
"67","103","0","true"
"68","155","0","true"
"69","168","0","true"
"70","130","0","true"
"71","98","0","true"
"72","140","0","true"
"73","66","0","true"
"74","125","0","true"
"75","178","0","true"
"76","156","0","true"
"77","115","0","true"
"78","107","0","true"
"79","121","0","true"
"80","132","0","true"
"81","90","0","true"
"82","85","0","true"
"83","108","0","true"
"84","116","0","true"
"85","147","0","true"
"86","77","0","true"
"87","88","0","true"
"88","110","0","true"
"89","119","0","true"
"90","176","0","true"
"91","84","0","true"
"92","111","0","true"
"93","127","0","true"
"94","110","0","true"
"95","141","0","true"
"96","89","0","true"
"97","69","0","true"
"98","61","0","true"
"99","109","0","true"
"100","101","0","true"
"101","109","0","true"
"102","118","0","true"
"103","87","0","true"
"104","126","0","true"
"105","124","0","true"
"106","69","0","true"
"107","126","0","true"
"108","126","0","true"
"109","91","0","true"
"110","90","0","true"
"111","114","0","true"
"112","94","0","true"
"113","104","0","true"
"114","134","0","true"
"115","100","0","true"
"116","96","0","true"
"117","132","0","true"
"118","90","0","true"
"119","129","0","true"
"120","115","0","true"
"121","123","0","true"
"122","89","0","true"
"123","129","0","true"
"124","91","0","true"
"125","111","0","true"
"126","99","0","true"
"127","104","0","true"
"128","133","0","true"
"129","77","0","true"
"130","108","0","true"
"131","141","0","true"
"132","136","0","true"
"133","96","0","true"
"134","96","0","true"
"135","128","0","true"
"136","102","0","true"
"137","114","0","true"
"138","91","0","true"
"139","83","0","true"
"140","133","0","true"
"141","108","0","true"
"142","93","0","true"
"143","118","0","true"
"144","126","0","true"
"145","93","0","true"
"146","120","0","true"
"147","108","0","true"
"148","184","0","true"
"149","103","0","true"
"150","81","0","true"
"151","129","0","true"
"152","100","0","true"
"153","115","0","true"
"154","106","0","true"
"155","130","0","true"
"156","131","0","true"
"157","122","0","true"
"158","82","0","true"
"159","145","0","true"
"160","100","0","true"
"161","108","0","true"
"162","85","0","true"
"163","97","0","true"
"164","104","0","true"
"165","167","0","true"
"166","110","0","true"
"167","165","0","true"
"168","166","0","true"
"169","146","0","true"
"170","133","0","true"
"171","115","0","true"
"172","150","0","true"
"173","110","0","true"
"174","97","0","true"
"175","178","0","true"
"176","92","0","true"
"177","109","0","true"
"178","99","0","true"
"179","90","0","true"
"180","96","0","true"
"181","158","0","true"
"182","90","0","true"
"183","208","0","true"
"184","98","0","true"
"185","81","0","true"
"186","114","0","true"
"187","93","0","true"
"188","104","0","true"
"189","150","0","true"
"190","126","0","true"
"191","118","0","true"
"192","86","0","true"
"193","102","0","true"
"194","89","0","true"
"195","127","0","true"
"196","82","0","true"
"197","95","0","true"
"198","133","0","true"
"199","75","0","true"
"200","80","0","true"
"201","134","0","true"
"202","148","0","true"
"203","95","0","true"
"204","95","0","true"
"205","92","0","true"
"206","171","0","true"
"207","147","0","true"
"208","154","0","true"
"209","139","0","true"
"210","159","0","true"
"211","91","0","true"
"212","167","0","true"
"213","176","0","true"
"214","172","0","true"
"215","89","0","true"
"216","98","0","true"
"217","112","0","true"
"218","173","0","true"
"219","208","0","true"
"220","87","0","true"
"221","206","0","true"
"222","126","0","true"
"223","205","0","true"
"224","214","0","true"
"225","165","0","true"
"226","216","0","true"
"227","58","0","true"
"228","125","0","true"
"229","234","0","true"
"230","239","0","true"
"231","87","0","true"
"232","171","0","true"
"233","110","0","true"
"234","198","0","true"
"235","57","0","true"
"236","250","0","true"
"237","93","0","true"
"238","95","0","true"
"239","293","0","true"
"240","86","0","true"
"241","84","0","true"
"242","217","0","true"
"243","241","0","true"
"244","120","0","true"
"245","106","0","true"
"246","217","0","true"
"247","235","0","true"
"248","379","0","true"
"249","85","0","true"
"250","88","0","true"
"251","120","0","true"
"252","214","0","true"
"253","262","0","true"
"254","128","0","true"
"255","84","0","true"
"256","86","0","true"
"257","259","0","true"
"258","115","0","true"
"259","104","0","true"
"260","103","0","true"
"261","206","0","true"
"262","270","0","true"
"263","94","0","true"
"264","95","0","true"
"265","81","0","true"
"266","158","0","true"
"267","95","0","true"
"268","132","0","true"
"269","204","0","true"
"270","74","0","true"
"271","93","0","true"
"272","94","0","true"
"273","149","0","true"
"274","105","0","true"
"275","88","0","true"
"276","115","0","true"
"277","107","0","true"
"278","126","0","true"
"279","104","0","true"
"280","107","0","true"
"281","110","0","true"
"282","113","0","true"
"283","139","0","true"
"284","169","0","true"
"285","123","0","true"
"286","122","0","true"
"287","120","0","true"
"288","132","0","true"
"289","131","0","true"
"290","99","0","true"
"291","94","0","true"
"292","124","0","true"
"293","117","0","true"
"294","90","0","true"
"295","108","0","true"
"296","104","0","true"
"297","74","0","true"
"298","135","0","true"
"299","156","0","true"
"300","163","0","true"
"301","147","0","true"
"302","122","0","true"
"303","107","0","true"
"304","169","0","true"
"305","112","0","true"
"306","184","0","true"
"307","142","0","true"
"308","175","0","true"
"309","150","0","true"
"310","109","0","true"
"311","106","0","true"
"312","161","0","true"
"313","108","0","true"
"314","127","0","true"
"315","103","0","true"
"316","94","0","true"
"317","99","0","true"
"318","117","0","true"
"319","151","0","true"
"320","86","0","true"
"321","143","0","true"
"322","133","0","true"
"323","95","0","true"
"324","94","0","true"
"325","103","0","true"
"326","95","0","true"
"327","108","0","true"
"328","81","0","true"
"329","79","0","true"
"330","109","0","true"
"331","92","0","true"
"332","105","0","true"
"333","115","0","true"
"334","117","0","true"
"335","88","0","true"
"336","134","0","true"
"337","93","0","true"
"338","131","0","true"
"339","133","0","true"
"340","126","0","true"
"341","124","0","true"
"342","94","0","true"
"343","132","0","true"
"344","74","0","true"
"345","142","0","true"
"346","130","0","true"
"347","113","0","true"
"348","84","0","true"
"349","130","0","true"
"350","118","0","true"
"351","102","0","true"
"352","149","0","true"
"353","97","0","true"
"354","86","0","true"
"355","120","0","true"
"356","115","0","true"
"357","95","0","true"
"358","95","0","true"
"359","103","0","true"
"360","142","0","true"
"361","107","0","true"
"362","145","0","true"
"363","123","0","true"
"364","79","0","true"
"365","73","0","true"
"366","121","0","true"
"367","116","0","true"
"368","88","0","true"
"369","86","0","true"
"370","140","0","true"
"371","184","0","true"
"372","132","0","true"
"373","116","0","true"
"374","117","0","true"
"375","102","0","true"
"376","122","0","true"
"377","156","0","true"
"378","102","0","true"
"379","74","0","true"
"380","178","0","true"
"381","101","0","true"
"382","110","0","true"
"383","126","0","true"
"384","83","0","true"
"385","123","0","true"
"386","94","0","true"
"387","86","0","true"
"388","141","0","true"
"389","142","0","true"
"390","87","0","true"
"391","84","0","true"
"392","80","0","true"
"393","107","0","true"
"394","156","0","true"
"395","86","0","true"
"396","102","0","true"
"397","113","0","true"
"398","106","0","true"
"399","121","0","true"
"400","122","0","true"
"401","91","0","true"
"402","135","0","true"
"403","110","0","true"
"404","119","0","true"
"405","119","0","true"
"406","90","0","true"
"407","117","0","true"
"408","87","0","true"
"409","83","0","true"
"410","105","0","true"
"411","129","0","true"
"412","151","0","true"
"413","134","0","true"
"414","142","0","true"
"415","138","0","true"
"416","99","0","true"
"417","88","0","true"
"418","148","0","true"
"419","135","0","true"
"420","104","0","true"
