"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"07/09/2020 18:03:59:406 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","179","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1756"

"""default"""
"x","y","color","pen down?"
"0","39","0","true"
"1","37","0","true"
"2","40","0","true"
"3","52","0","true"
"4","47","0","true"
"5","55","0","true"
"6","52","0","true"
"7","69","0","true"
"8","52","0","true"
"9","66","0","true"
"10","87","0","true"
"11","74","0","true"
"12","69","0","true"
"13","88","0","true"
"14","65","0","true"
"15","74","0","true"
"16","69","0","true"
"17","69","0","true"
"18","95","0","true"
"19","94","0","true"
"20","28","0","true"
"21","43","0","true"
"22","86","0","true"
"23","74","0","true"
"24","73","0","true"
"25","75","0","true"
"26","83","0","true"
"27","54","0","true"
"28","97","0","true"
"29","82","0","true"
"30","97","0","true"
"31","65","0","true"
"32","90","0","true"
"33","75","0","true"
"34","83","0","true"
"35","58","0","true"
"36","92","0","true"
"37","72","0","true"
"38","64","0","true"
"39","45","0","true"
"40","91","0","true"
"41","80","0","true"
"42","88","0","true"
"43","103","0","true"
"44","97","0","true"
"45","144","0","true"
"46","69","0","true"
"47","65","0","true"
"48","88","0","true"
"49","78","0","true"
"50","76","0","true"
"51","41","0","true"
"52","81","0","true"
"53","104","0","true"
"54","100","0","true"
"55","52","0","true"
"56","40","0","true"
"57","85","0","true"
"58","88","0","true"
"59","66","0","true"
"60","51","0","true"
"61","86","0","true"
"62","105","0","true"
"63","46","0","true"
"64","65","0","true"
"65","62","0","true"
"66","64","0","true"
"67","74","0","true"
"68","56","0","true"
"69","41","0","true"
"70","40","0","true"
"71","95","0","true"
"72","59","0","true"
"73","85","0","true"
"74","78","0","true"
"75","85","0","true"
"76","101","0","true"
"77","79","0","true"
"78","132","0","true"
"79","48","0","true"
"80","68","0","true"
"81","89","0","true"
"82","68","0","true"
"83","81","0","true"
"84","65","0","true"
"85","114","0","true"
"86","54","0","true"
"87","86","0","true"
"88","76","0","true"
"89","62","0","true"
"90","117","0","true"
"91","85","0","true"
"92","81","0","true"
"93","100","0","true"
"94","72","0","true"
"95","82","0","true"
"96","95","0","true"
"97","95","0","true"
"98","94","0","true"
"99","121","0","true"
"100","60","0","true"
"101","86","0","true"
"102","67","0","true"
"103","89","0","true"
"104","69","0","true"
"105","114","0","true"
"106","63","0","true"
"107","77","0","true"
"108","122","0","true"
"109","66","0","true"
"110","69","0","true"
"111","40","0","true"
"112","112","0","true"
"113","67","0","true"
"114","53","0","true"
"115","91","0","true"
"116","66","0","true"
"117","79","0","true"
"118","81","0","true"
"119","135","0","true"
"120","119","0","true"
"121","68","0","true"
"122","78","0","true"
"123","105","0","true"
"124","69","0","true"
"125","86","0","true"
"126","29","0","true"
"127","75","0","true"
"128","70","0","true"
"129","76","0","true"
"130","103","0","true"
"131","83","0","true"
"132","73","0","true"
"133","73","0","true"
"134","76","0","true"
"135","60","0","true"
"136","78","0","true"
"137","83","0","true"
"138","82","0","true"
"139","89","0","true"
"140","74","0","true"
"141","97","0","true"
"142","94","0","true"
"143","93","0","true"
"144","80","0","true"
"145","47","0","true"
"146","163","0","true"
"147","99","0","true"
"148","65","0","true"
"149","75","0","true"
"150","114","0","true"
"151","70","0","true"
"152","78","0","true"
"153","109","0","true"
"154","68","0","true"
"155","56","0","true"
"156","103","0","true"
"157","83","0","true"
"158","50","0","true"
"159","58","0","true"
"160","112","0","true"
"161","86","0","true"
"162","73","0","true"
"163","67","0","true"
"164","104","0","true"
"165","67","0","true"
"166","121","0","true"
"167","94","0","true"
"168","71","0","true"
"169","80","0","true"
"170","52","0","true"
"171","68","0","true"
"172","95","0","true"
"173","88","0","true"
"174","87","0","true"
"175","84","0","true"
"176","57","0","true"
"177","68","0","true"
"178","88","0","true"
"179","68","0","true"
"180","70","0","true"
"181","87","0","true"
"182","67","0","true"
"183","91","0","true"
"184","103","0","true"
"185","158","0","true"
"186","56","0","true"
"187","62","0","true"
"188","87","0","true"
"189","83","0","true"
"190","53","0","true"
"191","76","0","true"
"192","77","0","true"
"193","83","0","true"
"194","91","0","true"
"195","107","0","true"
"196","72","0","true"
"197","59","0","true"
"198","67","0","true"
"199","103","0","true"
"200","82","0","true"
"201","72","0","true"
"202","96","0","true"
"203","91","0","true"
"204","61","0","true"
"205","77","0","true"
"206","110","0","true"
"207","98","0","true"
"208","83","0","true"
"209","58","0","true"
"210","85","0","true"
"211","87","0","true"
"212","104","0","true"
"213","50","0","true"
"214","81","0","true"
"215","102","0","true"
"216","93","0","true"
"217","74","0","true"
"218","112","0","true"
"219","86","0","true"
"220","118","0","true"
"221","68","0","true"
"222","60","0","true"
"223","73","0","true"
"224","82","0","true"
"225","67","0","true"
"226","78","0","true"
"227","129","0","true"
"228","67","0","true"
"229","99","0","true"
