"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 15:01:41:357 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","319","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1798"

"""default"""
"x","y","color","pen down?"
"0","56","0","true"
"1","62","0","true"
"2","65","0","true"
"3","67","0","true"
"4","74","0","true"
"5","79","0","true"
"6","81","0","true"
"7","84","0","true"
"8","86","0","true"
"9","86","0","true"
"10","94","0","true"
"11","97","0","true"
"12","99","0","true"
"13","100","0","true"
"14","102","0","true"
"15","105","0","true"
"16","115","0","true"
"17","120","0","true"
"18","122","0","true"
"19","122","0","true"
"20","83","0","true"
"21","90","0","true"
"22","66","0","true"
"23","77","0","true"
"24","112","0","true"
"25","127","0","true"
"26","76","0","true"
"27","123","0","true"
"28","114","0","true"
"29","107","0","true"
"30","108","0","true"
"31","112","0","true"
"32","114","0","true"
"33","100","0","true"
"34","142","0","true"
"35","151","0","true"
"36","162","0","true"
"37","130","0","true"
"38","148","0","true"
"39","133","0","true"
"40","114","0","true"
"41","117","0","true"
"42","100","0","true"
"43","93","0","true"
"44","116","0","true"
"45","80","0","true"
"46","150","0","true"
"47","134","0","true"
"48","112","0","true"
"49","121","0","true"
"50","107","0","true"
"51","96","0","true"
"52","103","0","true"
"53","121","0","true"
"54","93","0","true"
"55","149","0","true"
"56","99","0","true"
"57","134","0","true"
"58","75","0","true"
"59","129","0","true"
"60","107","0","true"
"61","135","0","true"
"62","87","0","true"
"63","108","0","true"
"64","120","0","true"
"65","89","0","true"
"66","115","0","true"
"67","146","0","true"
"68","172","0","true"
"69","122","0","true"
"70","93","0","true"
"71","131","0","true"
"72","104","0","true"
"73","74","0","true"
"74","128","0","true"
"75","141","0","true"
"76","110","0","true"
"77","106","0","true"
"78","180","0","true"
"79","99","0","true"
"80","97","0","true"
"81","108","0","true"
"82","173","0","true"
"83","141","0","true"
"84","130","0","true"
"85","92","0","true"
"86","93","0","true"
"87","174","0","true"
"88","118","0","true"
"89","97","0","true"
"90","116","0","true"
"91","151","0","true"
"92","92","0","true"
"93","129","0","true"
"94","125","0","true"
"95","108","0","true"
"96","122","0","true"
"97","89","0","true"
"98","128","0","true"
"99","111","0","true"
"100","103","0","true"
"101","110","0","true"
