"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 16:14:11:257 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","246","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1752"

"""default"""
"x","y","color","pen down?"
"0","52","0","true"
"1","45","0","true"
"2","45","0","true"
"3","51","0","true"
"4","43","0","true"
"5","54","0","true"
"6","49","0","true"
"7","66","0","true"
"8","62","0","true"
"9","54","0","true"
"10","54","0","true"
"11","57","0","true"
"12","85","0","true"
"13","61","0","true"
"14","62","0","true"
"15","65","0","true"
"16","86","0","true"
"17","98","0","true"
"18","88","0","true"
"19","65","0","true"
"20","67","0","true"
"21","89","0","true"
"22","73","0","true"
"23","79","0","true"
"24","73","0","true"
"25","64","0","true"
"26","63","0","true"
"27","76","0","true"
"28","90","0","true"
"29","79","0","true"
"30","79","0","true"
"31","108","0","true"
"32","92","0","true"
"33","119","0","true"
"34","77","0","true"
"35","85","0","true"
"36","69","0","true"
"37","88","0","true"
"38","100","0","true"
"39","97","0","true"
"40","79","0","true"
"41","90","0","true"
"42","74","0","true"
"43","81","0","true"
"44","105","0","true"
"45","89","0","true"
"46","57","0","true"
"47","104","0","true"
"48","87","0","true"
"49","67","0","true"
"50","80","0","true"
"51","75","0","true"
"52","51","0","true"
"53","47","0","true"
"54","71","0","true"
"55","70","0","true"
"56","62","0","true"
"57","148","0","true"
"58","97","0","true"
"59","140","0","true"
"60","65","0","true"
"61","66","0","true"
"62","60","0","true"
"63","85","0","true"
"64","67","0","true"
"65","65","0","true"
"66","88","0","true"
"67","52","0","true"
"68","66","0","true"
"69","77","0","true"
"70","80","0","true"
"71","90","0","true"
"72","48","0","true"
"73","102","0","true"
"74","102","0","true"
"75","96","0","true"
"76","53","0","true"
"77","91","0","true"
"78","75","0","true"
"79","59","0","true"
"80","72","0","true"
"81","61","0","true"
"82","107","0","true"
"83","76","0","true"
"84","114","0","true"
"85","56","0","true"
"86","60","0","true"
"87","106","0","true"
"88","71","0","true"
"89","40","0","true"
"90","71","0","true"
"91","117","0","true"
"92","55","0","true"
"93","83","0","true"
"94","81","0","true"
"95","86","0","true"
"96","37","0","true"
"97","85","0","true"
"98","85","0","true"
"99","65","0","true"
"100","49","0","true"
"101","66","0","true"
"102","78","0","true"
"103","91","0","true"
"104","67","0","true"
"105","170","0","true"
"106","70","0","true"
"107","52","0","true"
"108","74","0","true"
"109","65","0","true"
"110","78","0","true"
"111","78","0","true"
"112","51","0","true"
"113","72","0","true"
"114","118","0","true"
"115","76","0","true"
"116","72","0","true"
"117","74","0","true"
"118","70","0","true"
"119","105","0","true"
"120","103","0","true"
"121","77","0","true"
"122","76","0","true"
"123","93","0","true"
"124","96","0","true"
"125","53","0","true"
"126","78","0","true"
"127","69","0","true"
"128","65","0","true"
"129","68","0","true"
"130","71","0","true"
"131","118","0","true"
"132","118","0","true"
"133","72","0","true"
"134","84","0","true"
"135","81","0","true"
"136","66","0","true"
"137","89","0","true"
"138","83","0","true"
"139","73","0","true"
"140","38","0","true"
"141","51","0","true"
"142","76","0","true"
"143","51","0","true"
"144","78","0","true"
"145","49","0","true"
"146","74","0","true"
"147","79","0","true"
"148","54","0","true"
"149","77","0","true"
"150","69","0","true"
"151","66","0","true"
"152","80","0","true"
"153","62","0","true"
"154","67","0","true"
"155","59","0","true"
"156","46","0","true"
"157","67","0","true"
"158","84","0","true"
"159","88","0","true"
"160","76","0","true"
"161","94","0","true"
"162","42","0","true"
"163","75","0","true"
"164","64","0","true"
"165","123","0","true"
"166","72","0","true"
"167","83","0","true"
"168","70","0","true"
"169","82","0","true"
"170","64","0","true"
"171","94","0","true"
"172","57","0","true"
"173","54","0","true"
"174","83","0","true"
"175","52","0","true"
"176","82","0","true"
"177","77","0","true"
"178","120","0","true"
"179","77","0","true"
"180","98","0","true"
"181","75","0","true"
"182","86","0","true"
"183","95","0","true"
"184","79","0","true"
"185","85","0","true"
"186","68","0","true"
"187","117","0","true"
"188","97","0","true"
"189","81","0","true"
"190","117","0","true"
"191","72","0","true"
"192","157","0","true"
"193","81","0","true"
"194","46","0","true"
"195","108","0","true"
"196","96","0","true"
"197","91","0","true"
"198","70","0","true"
"199","70","0","true"
"200","89","0","true"
"201","56","0","true"
"202","62","0","true"
"203","72","0","true"
"204","95","0","true"
"205","44","0","true"
"206","62","0","true"
"207","74","0","true"
"208","78","0","true"
"209","61","0","true"
"210","76","0","true"
"211","74","0","true"
"212","76","0","true"
"213","133","0","true"
"214","70","0","true"
"215","80","0","true"
"216","87","0","true"
"217","70","0","true"
"218","79","0","true"
"219","84","0","true"
"220","118","0","true"
"221","52","0","true"
"222","74","0","true"
"223","79","0","true"
"224","127","0","true"
"225","61","0","true"
"226","88","0","true"
"227","98","0","true"
"228","50","0","true"
"229","80","0","true"
"230","61","0","true"
"231","56","0","true"
"232","68","0","true"
"233","74","0","true"
"234","78","0","true"
"235","54","0","true"
"236","71","0","true"
"237","111","0","true"
"238","82","0","true"
"239","74","0","true"
"240","124","0","true"
"241","76","0","true"
"242","97","0","true"
"243","81","0","true"
"244","93","0","true"
"245","75","0","true"
"246","83","0","true"
"247","112","0","true"
"248","82","0","true"
"249","73","0","true"
"250","49","0","true"
"251","84","0","true"
"252","104","0","true"
"253","64","0","true"
"254","101","0","true"
"255","80","0","true"
"256","84","0","true"
"257","90","0","true"
"258","83","0","true"
"259","59","0","true"
"260","66","0","true"
"261","50","0","true"
"262","57","0","true"
"263","66","0","true"
"264","89","0","true"
"265","108","0","true"
"266","91","0","true"
"267","72","0","true"
"268","77","0","true"
"269","87","0","true"
"270","38","0","true"
"271","79","0","true"
"272","36","0","true"
"273","72","0","true"
"274","72","0","true"
"275","72","0","true"
"276","59","0","true"
"277","98","0","true"
"278","107","0","true"
"279","104","0","true"
"280","118","0","true"
"281","72","0","true"
"282","72","0","true"
"283","73","0","true"
"284","55","0","true"
"285","58","0","true"
"286","61","0","true"
"287","51","0","true"
"288","93","0","true"
"289","53","0","true"
"290","98","0","true"
"291","73","0","true"
"292","72","0","true"
"293","77","0","true"
"294","57","0","true"
"295","74","0","true"
"296","72","0","true"
"297","81","0","true"
"298","82","0","true"
"299","93","0","true"
"300","82","0","true"
"301","57","0","true"
"302","61","0","true"
"303","117","0","true"
"304","105","0","true"
"305","97","0","true"
"306","89","0","true"
"307","48","0","true"
"308","59","0","true"
"309","77","0","true"
"310","83","0","true"
"311","58","0","true"
