"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"06/09/2020 21:49:46:276 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","401","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","361"

"""default"""
"x","y","color","pen down?"
"0","63","0","true"
"1","68","0","true"
"2","70","0","true"
"3","70","0","true"
"4","76","0","true"
"5","79","0","true"
"6","85","0","true"
"7","86","0","true"
"8","91","0","true"
"9","98","0","true"
"10","101","0","true"
"11","101","0","true"
"12","107","0","true"
"13","109","0","true"
"14","112","0","true"
"15","113","0","true"
"16","115","0","true"
"17","129","0","true"
"18","77","0","true"
"19","149","0","true"
"20","153","0","true"
"21","68","0","true"
"22","97","0","true"
"23","72","0","true"
"24","90","0","true"
"25","88","0","true"
"26","80","0","true"
"27","118","0","true"
"28","60","0","true"
"29","119","0","true"
"30","91","0","true"
"31","108","0","true"
"32","101","0","true"
"33","96","0","true"
"34","105","0","true"
"35","142","0","true"
"36","127","0","true"
"37","118","0","true"
"38","91","0","true"
"39","84","0","true"
"40","74","0","true"
"41","107","0","true"
"42","119","0","true"
"43","102","0","true"
"44","128","0","true"
"45","131","0","true"
"46","122","0","true"
"47","103","0","true"
"48","97","0","true"
"49","125","0","true"
"50","116","0","true"
"51","132","0","true"
"52","93","0","true"
"53","116","0","true"
"54","139","0","true"
"55","194","0","true"
"56","132","0","true"
"57","158","0","true"
"58","82","0","true"
"59","145","0","true"
"60","169","0","true"
"61","120","0","true"
"62","141","0","true"
"63","79","0","true"
"64","144","0","true"
"65","62","0","true"
"66","135","0","true"
"67","115","0","true"
"68","150","0","true"
"69","135","0","true"
"70","158","0","true"
"71","104","0","true"
"72","85","0","true"
"73","129","0","true"
"74","107","0","true"
"75","94","0","true"
"76","147","0","true"
"77","115","0","true"
"78","88","0","true"
"79","71","0","true"
"80","205","0","true"
"81","110","0","true"
"82","90","0","true"
"83","152","0","true"
"84","120","0","true"
"85","164","0","true"
"86","169","0","true"
"87","100","0","true"
"88","130","0","true"
"89","86","0","true"
"90","103","0","true"
"91","176","0","true"
"92","95","0","true"
"93","88","0","true"
"94","105","0","true"
"95","104","0","true"
"96","180","0","true"
"97","174","0","true"
"98","91","0","true"
"99","100","0","true"
"100","126","0","true"
"101","193","0","true"
"102","105","0","true"
"103","76","0","true"
"104","120","0","true"
"105","104","0","true"
"106","129","0","true"
"107","166","0","true"
"108","125","0","true"
"109","166","0","true"
"110","142","0","true"
"111","131","0","true"
"112","125","0","true"
"113","141","0","true"
"114","151","0","true"
"115","124","0","true"
"116","95","0","true"
"117","110","0","true"
"118","158","0","true"
"119","120","0","true"
"120","162","0","true"
"121","127","0","true"
"122","75","0","true"
"123","159","0","true"
"124","109","0","true"
"125","139","0","true"
"126","179","0","true"
"127","126","0","true"
"128","97","0","true"
"129","116","0","true"
"130","125","0","true"
"131","78","0","true"
"132","116","0","true"
"133","76","0","true"
"134","90","0","true"
"135","87","0","true"
"136","101","0","true"
"137","151","0","true"
"138","130","0","true"
"139","148","0","true"
"140","76","0","true"
"141","110","0","true"
"142","121","0","true"
"143","117","0","true"
"144","98","0","true"
"145","118","0","true"
"146","111","0","true"
"147","96","0","true"
"148","113","0","true"
"149","99","0","true"
"150","124","0","true"
"151","89","0","true"
"152","60","0","true"
"153","101","0","true"
"154","83","0","true"
"155","105","0","true"
"156","109","0","true"
"157","110","0","true"
"158","110","0","true"
"159","86","0","true"
"160","76","0","true"
"161","80","0","true"
"162","107","0","true"
"163","93","0","true"
"164","107","0","true"
"165","89","0","true"
"166","68","0","true"
"167","126","0","true"
"168","123","0","true"
"169","109","0","true"
"170","80","0","true"
"171","90","0","true"
"172","158","0","true"
"173","138","0","true"
"174","103","0","true"
"175","86","0","true"
"176","152","0","true"
"177","104","0","true"
"178","102","0","true"
"179","81","0","true"
"180","66","0","true"
"181","92","0","true"
"182","104","0","true"
"183","97","0","true"
"184","145","0","true"
"185","125","0","true"
"186","129","0","true"
"187","178","0","true"
"188","129","0","true"
"189","158","0","true"
"190","103","0","true"
"191","131","0","true"
"192","149","0","true"
"193","108","0","true"
"194","120","0","true"
"195","89","0","true"
"196","127","0","true"
"197","104","0","true"
"198","137","0","true"
"199","112","0","true"
"200","109","0","true"
"201","101","0","true"
"202","109","0","true"
"203","130","0","true"
"204","121","0","true"
"205","121","0","true"
"206","131","0","true"
"207","112","0","true"
"208","118","0","true"
"209","105","0","true"
"210","69","0","true"
"211","105","0","true"
"212","117","0","true"
"213","103","0","true"
"214","146","0","true"
"215","128","0","true"
"216","159","0","true"
"217","108","0","true"
"218","113","0","true"
"219","109","0","true"
"220","169","0","true"
"221","131","0","true"
"222","132","0","true"
"223","114","0","true"
"224","151","0","true"
"225","150","0","true"
"226","109","0","true"
"227","114","0","true"
"228","90","0","true"
"229","127","0","true"
"230","100","0","true"
"231","113","0","true"
"232","140","0","true"
"233","76","0","true"
"234","98","0","true"
"235","119","0","true"
"236","116","0","true"
"237","72","0","true"
"238","124","0","true"
