"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"07/09/2020 18:10:07:814 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","332","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1791"

"""default"""
"x","y","color","pen down?"
"0","58","0","true"
"1","63","0","true"
"2","69","0","true"
"3","70","0","true"
"4","84","0","true"
"5","88","0","true"
"6","88","0","true"
"7","89","0","true"
"8","93","0","true"
"9","99","0","true"
"10","102","0","true"
"11","108","0","true"
"12","111","0","true"
"13","113","0","true"
"14","120","0","true"
"15","121","0","true"
"16","125","0","true"
"17","137","0","true"
"18","80","0","true"
"19","139","0","true"
"20","151","0","true"
"21","94","0","true"
"22","95","0","true"
"23","125","0","true"
"24","126","0","true"
"25","104","0","true"
"26","127","0","true"
"27","115","0","true"
"28","112","0","true"
"29","101","0","true"
"30","147","0","true"
"31","123","0","true"
"32","69","0","true"
"33","175","0","true"
"34","187","0","true"
"35","132","0","true"
"36","93","0","true"
"37","82","0","true"
"38","180","0","true"
"39","169","0","true"
"40","99","0","true"
"41","103","0","true"
"42","75","0","true"
"43","93","0","true"
"44","221","0","true"
"45","141","0","true"
"46","97","0","true"
"47","102","0","true"
"48","242","0","true"
"49","95","0","true"
"50","89","0","true"
"51","248","0","true"
"52","64","0","true"
"53","228","0","true"
"54","256","0","true"
"55","124","0","true"
"56","88","0","true"
"57","113","0","true"
"58","223","0","true"
"59","126","0","true"
"60","113","0","true"
"61","94","0","true"
"62","92","0","true"
"63","118","0","true"
"64","148","0","true"
"65","100","0","true"
"66","103","0","true"
"67","104","0","true"
"68","128","0","true"
"69","110","0","true"
"70","120","0","true"
"71","91","0","true"
"72","97","0","true"
"73","139","0","true"
"74","97","0","true"
"75","93","0","true"
"76","141","0","true"
"77","116","0","true"
"78","119","0","true"
"79","116","0","true"
"80","133","0","true"
"81","91","0","true"
"82","99","0","true"
"83","131","0","true"
"84","131","0","true"
"85","111","0","true"
"86","82","0","true"
"87","107","0","true"
"88","113","0","true"
"89","139","0","true"
"90","103","0","true"
"91","102","0","true"
"92","128","0","true"
"93","82","0","true"
"94","127","0","true"
"95","133","0","true"
"96","112","0","true"
"97","149","0","true"
"98","122","0","true"
"99","95","0","true"
"100","124","0","true"
"101","130","0","true"
"102","91","0","true"
"103","143","0","true"
"104","110","0","true"
"105","117","0","true"
"106","125","0","true"
"107","111","0","true"
"108","106","0","true"
"109","128","0","true"
"110","137","0","true"
"111","180","0","true"
"112","103","0","true"
"113","102","0","true"
"114","112","0","true"
"115","117","0","true"
"116","108","0","true"
"117","85","0","true"
"118","84","0","true"
"119","103","0","true"
"120","137","0","true"
"121","163","0","true"
"122","90","0","true"
"123","142","0","true"
"124","109","0","true"
"125","115","0","true"
"126","119","0","true"
"127","117","0","true"
"128","69","0","true"
"129","154","0","true"
"130","129","0","true"
"131","94","0","true"
"132","64","0","true"
"133","102","0","true"
"134","172","0","true"
"135","67","0","true"
"136","93","0","true"
"137","88","0","true"
"138","174","0","true"
"139","85","0","true"
"140","227","0","true"
"141","160","0","true"
"142","95","0","true"
"143","182","0","true"
"144","83","0","true"
"145","186","0","true"
"146","99","0","true"
"147","99","0","true"
"148","124","0","true"
"149","175","0","true"
"150","108","0","true"
"151","164","0","true"
"152","179","0","true"
"153","91","0","true"
"154","114","0","true"
"155","107","0","true"
"156","227","0","true"
"157","70","0","true"
"158","95","0","true"
"159","87","0","true"
"160","183","0","true"
"161","170","0","true"
"162","97","0","true"
"163","91","0","true"
"164","153","0","true"
"165","111","0","true"
"166","105","0","true"
"167","83","0","true"
"168","168","0","true"
"169","86","0","true"
"170","103","0","true"
"171","123","0","true"
"172","215","0","true"
"173","115","0","true"
"174","202","0","true"
"175","153","0","true"
"176","180","0","true"
"177","97","0","true"
"178","89","0","true"
"179","131","0","true"
"180","164","0","true"
"181","150","0","true"
"182","155","0","true"
"183","108","0","true"
"184","161","0","true"
"185","107","0","true"
"186","105","0","true"
"187","116","0","true"
"188","143","0","true"
"189","129","0","true"
"190","189","0","true"
"191","118","0","true"
"192","246","0","true"
"193","68","0","true"
"194","170","0","true"
"195","125","0","true"
"196","224","0","true"
"197","114","0","true"
"198","205","0","true"
"199","97","0","true"
"200","132","0","true"
"201","124","0","true"
"202","154","0","true"
"203","100","0","true"
"204","104","0","true"
"205","252","0","true"
"206","165","0","true"
"207","204","0","true"
