"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"07/09/2020 17:28:37:673 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","208","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1696"

"""default"""
"x","y","color","pen down?"
"0","36","0","true"
"1","39","0","true"
"2","52","0","true"
"3","53","0","true"
"4","52","0","true"
"5","50","0","true"
"6","44","0","true"
"7","51","0","true"
"8","53","0","true"
"9","64","0","true"
"10","57","0","true"
"11","83","0","true"
"12","63","0","true"
"13","67","0","true"
"14","65","0","true"
"15","71","0","true"
"16","79","0","true"
"17","87","0","true"
"18","75","0","true"
"19","80","0","true"
"20","59","0","true"
"21","79","0","true"
"22","82","0","true"
"23","80","0","true"
"24","90","0","true"
"25","81","0","true"
"26","91","0","true"
"27","61","0","true"
"28","91","0","true"
"29","68","0","true"
"30","65","0","true"
"31","76","0","true"
"32","87","0","true"
"33","38","0","true"
"34","59","0","true"
"35","95","0","true"
"36","115","0","true"
"37","98","0","true"
"38","63","0","true"
"39","58","0","true"
"40","115","0","true"
"41","93","0","true"
"42","69","0","true"
"43","54","0","true"
"44","75","0","true"
"45","111","0","true"
"46","83","0","true"
"47","70","0","true"
"48","74","0","true"
"49","57","0","true"
"50","74","0","true"
"51","90","0","true"
"52","48","0","true"
"53","83","0","true"
"54","91","0","true"
"55","66","0","true"
"56","57","0","true"
"57","69","0","true"
"58","118","0","true"
"59","83","0","true"
"60","53","0","true"
"61","65","0","true"
"62","36","0","true"
"63","101","0","true"
"64","79","0","true"
"65","62","0","true"
"66","101","0","true"
"67","81","0","true"
"68","58","0","true"
"69","128","0","true"
"70","88","0","true"
"71","77","0","true"
"72","73","0","true"
"73","74","0","true"
"74","61","0","true"
"75","91","0","true"
"76","74","0","true"
"77","63","0","true"
"78","49","0","true"
"79","115","0","true"
"80","64","0","true"
"81","118","0","true"
"82","83","0","true"
"83","102","0","true"
"84","90","0","true"
"85","66","0","true"
"86","55","0","true"
"87","121","0","true"
"88","97","0","true"
"89","108","0","true"
"90","128","0","true"
"91","101","0","true"
"92","52","0","true"
"93","87","0","true"
"94","118","0","true"
"95","109","0","true"
"96","80","0","true"
"97","85","0","true"
"98","101","0","true"
"99","84","0","true"
"100","118","0","true"
"101","104","0","true"
"102","83","0","true"
"103","119","0","true"
"104","91","0","true"
"105","104","0","true"
"106","79","0","true"
"107","100","0","true"
"108","77","0","true"
"109","46","0","true"
"110","76","0","true"
"111","86","0","true"
"112","119","0","true"
"113","116","0","true"
"114","68","0","true"
"115","73","0","true"
"116","81","0","true"
"117","69","0","true"
"118","73","0","true"
"119","74","0","true"
"120","86","0","true"
"121","76","0","true"
"122","99","0","true"
"123","121","0","true"
"124","74","0","true"
"125","85","0","true"
"126","70","0","true"
"127","79","0","true"
"128","54","0","true"
"129","73","0","true"
"130","84","0","true"
"131","80","0","true"
"132","48","0","true"
"133","109","0","true"
"134","80","0","true"
