"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:40:50:075 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1744"

"""default"""
"x","y","color","pen down?"
"0","54","0","true"
"1","65","0","true"
"2","68","0","true"
"3","70","0","true"
"4","71","0","true"
"5","77","0","true"
"6","82","0","true"
"7","85","0","true"
"8","89","0","true"
"9","92","0","true"
"10","98","0","true"
"11","100","0","true"
"12","114","0","true"
"13","124","0","true"
"14","129","0","true"
"15","130","0","true"
"16","137","0","true"
"17","140","0","true"
"18","150","0","true"
"19","83","0","true"
"20","91","0","true"
"21","163","0","true"
"22","89","0","true"
"23","119","0","true"
"24","98","0","true"
"25","90","0","true"
"26","102","0","true"
"27","88","0","true"
"28","125","0","true"
"29","107","0","true"
"30","108","0","true"
"31","141","0","true"
"32","74","0","true"
"33","99","0","true"
"34","108","0","true"
"35","111","0","true"
"36","102","0","true"
"37","93","0","true"
"38","87","0","true"
"39","147","0","true"
"40","115","0","true"
"41","112","0","true"
"42","118","0","true"
"43","95","0","true"
"44","117","0","true"
"45","131","0","true"
"46","102","0","true"
"47","88","0","true"
"48","146","0","true"
"49","144","0","true"
"50","137","0","true"
"51","109","0","true"
"52","78","0","true"
"53","137","0","true"
"54","111","0","true"
"55","148","0","true"
"56","165","0","true"
"57","119","0","true"
"58","142","0","true"
"59","109","0","true"
"60","122","0","true"
"61","102","0","true"
"62","104","0","true"
"63","92","0","true"
"64","93","0","true"
"65","119","0","true"
"66","106","0","true"
"67","140","0","true"
"68","184","0","true"
"69","117","0","true"
"70","167","0","true"
"71","126","0","true"
"72","139","0","true"
"73","112","0","true"
"74","104","0","true"
"75","126","0","true"
"76","117","0","true"
"77","155","0","true"
"78","186","0","true"
"79","95","0","true"
"80","109","0","true"
"81","174","0","true"
"82","93","0","true"
"83","108","0","true"
"84","187","0","true"
"85","143","0","true"
"86","120","0","true"
"87","73","0","true"
"88","100","0","true"
"89","112","0","true"
"90","226","0","true"
"91","103","0","true"
"92","104","0","true"
"93","115","0","true"
"94","81","0","true"
"95","238","0","true"
"96","164","0","true"
"97","108","0","true"
"98","78","0","true"
"99","106","0","true"
"100","221","0","true"
"101","97","0","true"
"102","90","0","true"
"103","83","0","true"
"104","93","0","true"
"105","147","0","true"
"106","161","0","true"
"107","103","0","true"
"108","76","0","true"
"109","68","0","true"
"110","96","0","true"
"111","132","0","true"
"112","124","0","true"
"113","126","0","true"
"114","117","0","true"
"115","107","0","true"
"116","89","0","true"
"117","111","0","true"
"118","91","0","true"
"119","86","0","true"
"120","79","0","true"
"121","111","0","true"
"122","106","0","true"
"123","107","0","true"
"124","94","0","true"
"125","135","0","true"
"126","106","0","true"
"127","160","0","true"
"128","135","0","true"
"129","89","0","true"
"130","104","0","true"
"131","191","0","true"
"132","160","0","true"
"133","138","0","true"
"134","120","0","true"
"135","190","0","true"
"136","163","0","true"
"137","103","0","true"
"138","164","0","true"
"139","121","0","true"
"140","195","0","true"
"141","95","0","true"
"142","116","0","true"
"143","88","0","true"
"144","191","0","true"
"145","204","0","true"
"146","118","0","true"
"147","210","0","true"
"148","103","0","true"
"149","190","0","true"
"150","115","0","true"
"151","133","0","true"
"152","105","0","true"
"153","188","0","true"
"154","103","0","true"
"155","85","0","true"
"156","96","0","true"
"157","178","0","true"
"158","117","0","true"
"159","90","0","true"
"160","96","0","true"
"161","88","0","true"
"162","105","0","true"
"163","87","0","true"
"164","73","0","true"
"165","102","0","true"
"166","119","0","true"
"167","64","0","true"
"168","65","0","true"
"169","110","0","true"
"170","93","0","true"
"171","135","0","true"
"172","66","0","true"
"173","199","0","true"
"174","93","0","true"
"175","94","0","true"
"176","109","0","true"
"177","80","0","true"
"178","125","0","true"
"179","103","0","true"
"180","64","0","true"
"181","163","0","true"
"182","105","0","true"
"183","145","0","true"
"184","90","0","true"
"185","95","0","true"
"186","128","0","true"
"187","90","0","true"
"188","96","0","true"
"189","96","0","true"
"190","92","0","true"
"191","116","0","true"
"192","89","0","true"
"193","86","0","true"
"194","134","0","true"
"195","90","0","true"
"196","112","0","true"
"197","121","0","true"
"198","100","0","true"
"199","88","0","true"
"200","116","0","true"
"201","112","0","true"
"202","99","0","true"
"203","95","0","true"
"204","108","0","true"
"205","104","0","true"
"206","90","0","true"
"207","72","0","true"
"208","92","0","true"
"209","121","0","true"
"210","104","0","true"
"211","143","0","true"
"212","112","0","true"
"213","97","0","true"
"214","106","0","true"
"215","101","0","true"
"216","162","0","true"
"217","134","0","true"
"218","70","0","true"
"219","113","0","true"
"220","160","0","true"
"221","115","0","true"
"222","141","0","true"
"223","122","0","true"
"224","89","0","true"
"225","108","0","true"
"226","87","0","true"
"227","146","0","true"
"228","115","0","true"
"229","147","0","true"
"230","117","0","true"
"231","104","0","true"
"232","120","0","true"
"233","145","0","true"
"234","221","0","true"
"235","196","0","true"
"236","111","0","true"
"237","200","0","true"
"238","164","0","true"
"239","97","0","true"
"240","92","0","true"
"241","131","0","true"
"242","135","0","true"
"243","166","0","true"
"244","80","0","true"
"245","120","0","true"
"246","158","0","true"
"247","145","0","true"
"248","163","0","true"
"249","114","0","true"
"250","178","0","true"
"251","75","0","true"
"252","122","0","true"
"253","103","0","true"
"254","198","0","true"
"255","170","0","true"
"256","171","0","true"
"257","105","0","true"
"258","127","0","true"
"259","105","0","true"
"260","170","0","true"
"261","82","0","true"
"262","150","0","true"
"263","121","0","true"
"264","163","0","true"
"265","211","0","true"
"266","146","0","true"
"267","104","0","true"
"268","91","0","true"
"269","138","0","true"
"270","148","0","true"
"271","111","0","true"
"272","140","0","true"
"273","96","0","true"
"274","151","0","true"
"275","174","0","true"
"276","98","0","true"
"277","131","0","true"
"278","162","0","true"
"279","121","0","true"
"280","100","0","true"
"281","146","0","true"
"282","91","0","true"
"283","104","0","true"
"284","94","0","true"
"285","82","0","true"
"286","120","0","true"
"287","101","0","true"
"288","116","0","true"
"289","80","0","true"
"290","109","0","true"
"291","110","0","true"
"292","111","0","true"
"293","107","0","true"
"294","96","0","true"
"295","115","0","true"
"296","151","0","true"
"297","79","0","true"
"298","126","0","true"
"299","105","0","true"
"300","87","0","true"
"301","107","0","true"
"302","111","0","true"
"303","90","0","true"
"304","107","0","true"
"305","110","0","true"
"306","99","0","true"
"307","138","0","true"
"308","85","0","true"
"309","94","0","true"
"310","77","0","true"
"311","73","0","true"
"312","91","0","true"
