"export-plot data (NetLogo 6.1.0-RC2)"
"!compile fix.nlogo"
"09/14/2020 16:46:33:905 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","order-due-date","qty-lb-ub","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","type-of-item","qty-arrival","layout-file"
"30","25","20","12","3","5","""AGV set 1.csv""","80","2","10","2","800","30","""layout set 3.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3040","0","1120","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","2662"

"""default"""
"x","y","color","pen down?"
"0","50","0","true"
"1","53","0","true"
"2","55","0","true"
"3","56","0","true"
"4","61","0","true"
"5","65","0","true"
"6","66","0","true"
"7","68","0","true"
"8","73","0","true"
"9","75","0","true"
"10","76","0","true"
"11","77","0","true"
"12","82","0","true"
"13","82","0","true"
"14","82","0","true"
"15","83","0","true"
"16","86","0","true"
"17","87","0","true"
"18","91","0","true"
"19","93","0","true"
"20","98","0","true"
"21","98","0","true"
"22","102","0","true"
"23","103","0","true"
"24","110","0","true"
"25","55","0","true"
"26","94","0","true"
"27","70","0","true"
"28","111","0","true"
"29","92","0","true"
"30","89","0","true"
"31","123","0","true"
"32","108","0","true"
"33","105","0","true"
"34","124","0","true"
"35","87","0","true"
"36","122","0","true"
"37","144","0","true"
"38","100","0","true"
"39","134","0","true"
"40","116","0","true"
"41","152","0","true"
"42","98","0","true"
"43","113","0","true"
"44","131","0","true"
"45","127","0","true"
"46","144","0","true"
"47","126","0","true"
"48","182","0","true"
"49","104","0","true"
"50","172","0","true"
"51","69","0","true"
"52","90","0","true"
"53","75","0","true"
"54","82","0","true"
"55","106","0","true"
"56","131","0","true"
"57","109","0","true"
"58","89","0","true"
"59","137","0","true"
"60","104","0","true"
"61","133","0","true"
"62","104","0","true"
"63","112","0","true"
"64","104","0","true"
"65","89","0","true"
"66","100","0","true"
"67","104","0","true"
"68","101","0","true"
"69","106","0","true"
"70","107","0","true"
"71","124","0","true"
"72","74","0","true"
"73","101","0","true"
"74","115","0","true"
"75","93","0","true"
"76","119","0","true"
"77","99","0","true"
"78","65","0","true"
"79","87","0","true"
"80","115","0","true"
"81","94","0","true"
"82","93","0","true"
"83","96","0","true"
"84","91","0","true"
"85","135","0","true"
"86","109","0","true"
"87","120","0","true"
"88","103","0","true"
"89","119","0","true"
"90","93","0","true"
"91","131","0","true"
"92","98","0","true"
"93","132","0","true"
"94","95","0","true"
"95","146","0","true"
"96","133","0","true"
"97","152","0","true"
"98","143","0","true"
"99","142","0","true"
"100","121","0","true"
"101","91","0","true"
"102","120","0","true"
"103","100","0","true"
"104","84","0","true"
"105","105","0","true"
"106","136","0","true"
"107","98","0","true"
"108","105","0","true"
"109","121","0","true"
"110","102","0","true"
"111","115","0","true"
"112","118","0","true"
"113","173","0","true"
"114","108","0","true"
"115","77","0","true"
"116","73","0","true"
"117","138","0","true"
"118","163","0","true"
"119","104","0","true"
"120","136","0","true"
"121","116","0","true"
"122","125","0","true"
"123","154","0","true"
"124","143","0","true"
"125","140","0","true"
"126","117","0","true"
"127","134","0","true"
"128","127","0","true"
"129","87","0","true"
"130","133","0","true"
"131","162","0","true"
"132","139","0","true"
"133","138","0","true"
"134","115","0","true"
"135","86","0","true"
"136","144","0","true"
"137","116","0","true"
"138","123","0","true"
"139","121","0","true"
"140","116","0","true"
"141","108","0","true"
"142","162","0","true"
"143","83","0","true"
"144","108","0","true"
"145","130","0","true"
"146","111","0","true"
"147","109","0","true"
"148","81","0","true"
"149","137","0","true"
"150","185","0","true"
"151","168","0","true"
"152","138","0","true"
"153","110","0","true"
"154","121","0","true"
"155","141","0","true"
"156","162","0","true"
"157","116","0","true"
"158","100","0","true"
"159","115","0","true"
"160","90","0","true"
"161","126","0","true"
"162","111","0","true"
"163","142","0","true"
"164","175","0","true"
"165","197","0","true"
"166","115","0","true"
"167","132","0","true"
"168","90","0","true"
"169","136","0","true"
"170","143","0","true"
"171","122","0","true"
"172","101","0","true"
"173","104","0","true"
"174","167","0","true"
"175","122","0","true"
"176","126","0","true"
"177","125","0","true"
"178","201","0","true"
"179","118","0","true"
"180","147","0","true"
"181","115","0","true"
"182","163","0","true"
"183","152","0","true"
"184","93","0","true"
"185","90","0","true"
"186","97","0","true"
"187","103","0","true"
"188","162","0","true"
"189","108","0","true"
"190","91","0","true"
"191","162","0","true"
"192","189","0","true"
"193","81","0","true"
"194","80","0","true"
"195","148","0","true"
"196","83","0","true"
"197","157","0","true"
"198","138","0","true"
"199","114","0","true"
"200","91","0","true"
"201","136","0","true"
"202","143","0","true"
"203","116","0","true"
"204","103","0","true"
"205","146","0","true"
"206","113","0","true"
"207","179","0","true"
"208","144","0","true"
"209","184","0","true"
"210","175","0","true"
"211","126","0","true"
"212","102","0","true"
"213","128","0","true"
"214","153","0","true"
"215","178","0","true"
"216","169","0","true"
"217","183","0","true"
"218","156","0","true"
"219","165","0","true"
"220","156","0","true"
"221","124","0","true"
"222","163","0","true"
"223","122","0","true"
"224","99","0","true"
"225","142","0","true"
"226","130","0","true"
"227","202","0","true"
"228","174","0","true"
"229","144","0","true"
"230","190","0","true"
"231","187","0","true"
"232","136","0","true"
"233","141","0","true"
"234","153","0","true"
"235","143","0","true"
"236","95","0","true"
"237","176","0","true"
"238","134","0","true"
"239","174","0","true"
"240","118","0","true"
"241","162","0","true"
"242","124","0","true"
"243","160","0","true"
"244","167","0","true"
"245","141","0","true"
"246","190","0","true"
"247","204","0","true"
"248","152","0","true"
"249","126","0","true"
"250","192","0","true"
"251","255","0","true"
"252","168","0","true"
"253","148","0","true"
"254","184","0","true"
"255","144","0","true"
"256","206","0","true"
"257","157","0","true"
"258","140","0","true"
"259","220","0","true"
"260","170","0","true"
"261","111","0","true"
"262","180","0","true"
"263","172","0","true"
"264","130","0","true"
"265","168","0","true"
"266","138","0","true"
"267","170","0","true"
"268","123","0","true"
"269","146","0","true"
"270","141","0","true"
"271","162","0","true"
"272","126","0","true"
"273","155","0","true"
"274","140","0","true"
"275","151","0","true"
"276","179","0","true"
"277","121","0","true"
"278","147","0","true"
"279","124","0","true"
"280","111","0","true"
"281","145","0","true"
"282","140","0","true"
"283","227","0","true"
"284","174","0","true"
"285","130","0","true"
"286","153","0","true"
"287","141","0","true"
"288","134","0","true"
"289","99","0","true"
"290","163","0","true"
"291","123","0","true"
"292","204","0","true"
"293","175","0","true"
"294","147","0","true"
"295","149","0","true"
"296","144","0","true"
"297","182","0","true"
"298","145","0","true"
"299","120","0","true"
"300","133","0","true"
"301","162","0","true"
"302","177","0","true"
"303","126","0","true"
"304","153","0","true"
"305","175","0","true"
"306","143","0","true"
"307","189","0","true"
"308","239","0","true"
"309","209","0","true"
"310","155","0","true"
"311","233","0","true"
"312","99","0","true"
"313","205","0","true"
"314","196","0","true"
"315","163","0","true"
"316","167","0","true"
"317","185","0","true"
"318","131","0","true"
"319","197","0","true"
