"export-plot data (NetLogo 6.1.1)"
"!compile fix.nlogo"
"10/26/2020 16:08:36:903 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","qty-lb-ub","order-due-date","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","type-of-item","service-time-alpha","num-arrival","layout-file","service-time-beta"
"30","50","20","12","5","3","""AGV set 1.csv""","80","2","10","20","8000","4","30","""layout set 3.csv""","1.5"

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","255","0","1150","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","245"

"""default"""
"x","y","color","pen down?"
"0","428","0","true"
"1","451","0","true"
"2","415","0","true"
"3","418","0","true"
"4","480","0","true"
"5","413","0","true"
"6","480","0","true"
"7","498","0","true"
"8","560","0","true"
"9","422","0","true"
"10","434","0","true"
"11","420","0","true"
"12","352","0","true"
"13","425","0","true"
"14","327","0","true"
"15","518","0","true"
"16","417","0","true"
"17","427","0","true"
"18","346","0","true"
"19","504","0","true"
"20","542","0","true"
"21","448","0","true"
"22","385","0","true"
"23","395","0","true"
"24","466","0","true"
"25","413","0","true"
"26","429","0","true"
"27","361","0","true"
"28","469","0","true"
"29","526","0","true"
"30","470","0","true"
"31","568","0","true"
"32","542","0","true"
"33","480","0","true"
"34","404","0","true"
"35","486","0","true"
"36","558","0","true"
"37","425","0","true"
"38","535","0","true"
"39","443","0","true"
"40","536","0","true"
"41","508","0","true"
"42","382","0","true"
"43","516","0","true"
"44","471","0","true"
"45","371","0","true"
"46","428","0","true"
"47","549","0","true"
"48","550","0","true"
"49","582","0","true"
"50","782","0","true"
"51","1045","0","true"
"52","1063","0","true"
"53","776","0","true"
"54","901","0","true"
"55","866","0","true"
"56","1028","0","true"
"57","1037","0","true"
"58","742","0","true"
"59","844","0","true"
"60","823","0","true"
"61","941","0","true"
"62","847","0","true"
"63","923","0","true"
"64","824","0","true"
"65","856","0","true"
"66","1041","0","true"
"67","829","0","true"
"68","1087","0","true"
"69","761","0","true"
"70","1063","0","true"
"71","936","0","true"
"72","1131","0","true"
"73","1051","0","true"
"74","967","0","true"
"75","764","0","true"
"76","730","0","true"
