"export-plot data (NetLogo 6.1.0-RC2)"
"+traffic-radius.nlogo"
"12/24/2020 14:46:05:478 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","order-due-date","qty-lb-ub","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","traffic-radius","type-of-item","service-time-alpha","num-arrival","layout-file","service-time-beta"
"15","10","20","1","3","5","""AGV set 1.csv""","80","2","10","2","3","800","12","30","""layout set 3.csv""","1.5"

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","255","0","347","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","235"

"""default"""
"x","y","color","pen down?"
"0","64","0","true"
"1","67","0","true"
"2","68","0","true"
"3","69","0","true"
"4","69","0","true"
"5","83","0","true"
"6","88","0","true"
"7","94","0","true"
"8","102","0","true"
"9","111","0","true"
"10","60","0","true"
"11","83","0","true"
"12","111","0","true"
"13","104","0","true"
"14","121","0","true"
"15","90","0","true"
"16","129","0","true"
"17","130","0","true"
"18","114","0","true"
"19","142","0","true"
"20","127","0","true"
"21","87","0","true"
"22","128","0","true"
"23","92","0","true"
"24","110","0","true"
"25","101","0","true"
"26","110","0","true"
"27","88","0","true"
"28","147","0","true"
"29","117","0","true"
"30","76","0","true"
"31","95","0","true"
"32","120","0","true"
"33","127","0","true"
"34","110","0","true"
"35","147","0","true"
"36","151","0","true"
"37","117","0","true"
"38","158","0","true"
"39","131","0","true"
"40","137","0","true"
"41","117","0","true"
"42","118","0","true"
"43","109","0","true"
"44","127","0","true"
"45","77","0","true"
"46","110","0","true"
"47","157","0","true"
"48","146","0","true"
"49","115","0","true"
"50","106","0","true"
"51","134","0","true"
"52","89","0","true"
"53","118","0","true"
"54","94","0","true"
"55","92","0","true"
"56","118","0","true"
"57","132","0","true"
"58","92","0","true"
"59","116","0","true"
"60","89","0","true"
"61","104","0","true"
"62","97","0","true"
"63","87","0","true"
"64","137","0","true"
"65","114","0","true"
"66","112","0","true"
"67","102","0","true"
"68","142","0","true"
"69","78","0","true"
"70","119","0","true"
"71","87","0","true"
"72","126","0","true"
"73","123","0","true"
"74","134","0","true"
"75","166","0","true"
"76","80","0","true"
"77","45","0","true"
"78","137","0","true"
"79","124","0","true"
"80","131","0","true"
"81","95","0","true"
"82","120","0","true"
"83","135","0","true"
"84","103","0","true"
"85","113","0","true"
"86","98","0","true"
"87","156","0","true"
"88","115","0","true"
"89","119","0","true"
"90","92","0","true"
"91","166","0","true"
"92","130","0","true"
"93","128","0","true"
"94","237","0","true"
"95","97","0","true"
"96","145","0","true"
"97","107","0","true"
"98","75","0","true"
"99","118","0","true"
"100","76","0","true"
"101","101","0","true"
"102","130","0","true"
"103","150","0","true"
"104","168","0","true"
"105","139","0","true"
"106","152","0","true"
"107","156","0","true"
"108","166","0","true"
"109","150","0","true"
"110","196","0","true"
"111","135","0","true"
"112","158","0","true"
"113","196","0","true"
"114","85","0","true"
"115","113","0","true"
"116","142","0","true"
"117","136","0","true"
"118","237","0","true"
"119","144","0","true"
"120","153","0","true"
"121","135","0","true"
"122","151","0","true"
"123","147","0","true"
"124","136","0","true"
"125","180","0","true"
"126","119","0","true"
"127","187","0","true"
"128","109","0","true"
"129","136","0","true"
"130","116","0","true"
"131","130","0","true"
"132","154","0","true"
"133","96","0","true"
"134","119","0","true"
"135","132","0","true"
"136","80","0","true"
"137","240","0","true"
"138","188","0","true"
"139","233","0","true"
"140","90","0","true"
"141","169","0","true"
"142","191","0","true"
"143","151","0","true"
"144","129","0","true"
"145","176","0","true"
"146","171","0","true"
"147","136","0","true"
"148","186","0","true"
"149","177","0","true"
"150","107","0","true"
"151","218","0","true"
"152","150","0","true"
"153","162","0","true"
"154","160","0","true"
"155","182","0","true"
"156","104","0","true"
"157","168","0","true"
"158","143","0","true"
"159","131","0","true"
"160","170","0","true"
"161","209","0","true"
"162","148","0","true"
"163","126","0","true"
"164","116","0","true"
"165","108","0","true"
"166","149","0","true"
"167","193","0","true"
"168","181","0","true"
"169","155","0","true"
"170","143","0","true"
"171","171","0","true"
"172","155","0","true"
"173","89","0","true"
"174","193","0","true"
"175","180","0","true"
"176","180","0","true"
"177","213","0","true"
"178","157","0","true"
"179","184","0","true"
"180","282","0","true"
"181","169","0","true"
"182","213","0","true"
"183","164","0","true"
"184","133","0","true"
"185","264","0","true"
"186","211","0","true"
"187","87","0","true"
"188","189","0","true"
"189","174","0","true"
"190","159","0","true"
"191","190","0","true"
"192","165","0","true"
"193","177","0","true"
"194","132","0","true"
"195","176","0","true"
"196","213","0","true"
"197","182","0","true"
"198","169","0","true"
"199","171","0","true"
"200","165","0","true"
"201","144","0","true"
"202","315","0","true"
"203","137","0","true"
"204","167","0","true"
"205","138","0","true"
"206","182","0","true"
"207","115","0","true"
"208","195","0","true"
"209","184","0","true"
"210","169","0","true"
"211","233","0","true"
"212","250","0","true"
"213","208","0","true"
"214","237","0","true"
"215","140","0","true"
"216","263","0","true"
"217","215","0","true"
"218","233","0","true"
"219","294","0","true"
"220","210","0","true"
"221","198","0","true"
"222","249","0","true"
"223","173","0","true"
"224","144","0","true"
"225","285","0","true"
"226","246","0","true"
"227","223","0","true"
"228","168","0","true"
"229","169","0","true"
"230","310","0","true"
"231","264","0","true"
"232","220","0","true"
"233","138","0","true"
"234","165","0","true"
"235","264","0","true"
