"export-plot data (NetLogo 6.1.0-RC2)"
"+traffic-radius.nlogo"
"12/24/2020 14:23:58:485 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","order-due-date","qty-lb-ub","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","traffic-radius","type-of-item","service-time-alpha","num-arrival","layout-file","service-time-beta"
"15","10","20","1","3","5","""AGV set 1.csv""","80","2","10","2","3","800","12","30","""layout set 3.csv""","1.5"

"""Robot Traveling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","255","0","150","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","215"

"""default"""
"x","y","color","pen down?"
"0","42","0","true"
"1","45","0","true"
"2","43","0","true"
"3","53","0","true"
"4","57","0","true"
"5","61","0","true"
"6","52","0","true"
"7","78","0","true"
"8","64","0","true"
"9","46","0","true"
"10","73","0","true"
"11","39","0","true"
"12","77","0","true"
"13","69","0","true"
"14","55","0","true"
"15","93","0","true"
"16","107","0","true"
"17","74","0","true"
"18","114","0","true"
"19","99","0","true"
"20","89","0","true"
"21","82","0","true"
"22","49","0","true"
"23","98","0","true"
"24","112","0","true"
"25","91","0","true"
"26","93","0","true"
"27","82","0","true"
"28","98","0","true"
"29","55","0","true"
"30","86","0","true"
"31","72","0","true"
"32","76","0","true"
"33","66","0","true"
"34","103","0","true"
"35","72","0","true"
"36","80","0","true"
"37","84","0","true"
"38","93","0","true"
"39","119","0","true"
"40","99","0","true"
"41","81","0","true"
"42","71","0","true"
"43","119","0","true"
"44","115","0","true"
"45","71","0","true"
"46","133","0","true"
"47","74","0","true"
"48","77","0","true"
"49","102","0","true"
"50","88","0","true"
"51","71","0","true"
"52","87","0","true"
"53","120","0","true"
"54","63","0","true"
"55","70","0","true"
"56","108","0","true"
"57","85","0","true"
"58","71","0","true"
"59","68","0","true"
"60","78","0","true"
"61","69","0","true"
"62","57","0","true"
"63","87","0","true"
"64","64","0","true"
"65","63","0","true"
"66","96","0","true"
"67","54","0","true"
"68","90","0","true"
"69","89","0","true"
"70","60","0","true"
"71","80","0","true"
"72","97","0","true"
"73","94","0","true"
"74","67","0","true"
"75","102","0","true"
"76","66","0","true"
"77","84","0","true"
"78","125","0","true"
"79","124","0","true"
"80","92","0","true"
"81","101","0","true"
"82","76","0","true"
"83","95","0","true"
"84","115","0","true"
"85","93","0","true"
"86","96","0","true"
"87","111","0","true"
"88","118","0","true"
"89","112","0","true"
"90","89","0","true"
"91","81","0","true"
"92","87","0","true"
"93","74","0","true"
"94","77","0","true"
"95","70","0","true"
"96","90","0","true"
"97","81","0","true"
"98","102","0","true"
"99","97","0","true"
"100","84","0","true"
"101","86","0","true"
"102","82","0","true"
"103","85","0","true"
"104","95","0","true"
"105","96","0","true"
"106","83","0","true"
"107","76","0","true"
"108","106","0","true"
"109","82","0","true"
"110","71","0","true"
"111","112","0","true"
"112","85","0","true"
"113","68","0","true"
"114","77","0","true"
"115","71","0","true"
"116","90","0","true"
"117","64","0","true"
"118","82","0","true"
"119","64","0","true"
"120","79","0","true"
"121","70","0","true"
"122","114","0","true"
"123","110","0","true"
"124","82","0","true"
"125","102","0","true"
"126","75","0","true"
"127","62","0","true"
"128","91","0","true"
"129","83","0","true"
"130","46","0","true"
"131","68","0","true"
"132","51","0","true"
"133","75","0","true"
"134","96","0","true"
"135","83","0","true"
"136","83","0","true"
"137","117","0","true"
"138","100","0","true"
"139","119","0","true"
"140","101","0","true"
"141","85","0","true"
"142","65","0","true"
"143","123","0","true"
"144","118","0","true"
"145","62","0","true"
"146","102","0","true"
"147","93","0","true"
"148","87","0","true"
"149","52","0","true"
"150","71","0","true"
"151","65","0","true"
"152","70","0","true"
"153","93","0","true"
"154","66","0","true"
"155","73","0","true"
"156","88","0","true"
"157","96","0","true"
"158","63","0","true"
"159","41","0","true"
"160","92","0","true"
"161","44","0","true"
"162","101","0","true"
"163","102","0","true"
"164","76","0","true"
"165","83","0","true"
"166","61","0","true"
"167","99","0","true"
"168","49","0","true"
"169","74","0","true"
"170","115","0","true"
"171","70","0","true"
"172","85","0","true"
"173","86","0","true"
"174","101","0","true"
"175","85","0","true"
"176","82","0","true"
"177","96","0","true"
"178","75","0","true"
"179","117","0","true"
"180","93","0","true"
"181","123","0","true"
"182","98","0","true"
"183","82","0","true"
"184","99","0","true"
"185","115","0","true"
"186","93","0","true"
"187","68","0","true"
"188","67","0","true"
"189","98","0","true"
"190","91","0","true"
"191","78","0","true"
"192","95","0","true"
"193","87","0","true"
"194","68","0","true"
"195","104","0","true"
"196","73","0","true"
"197","64","0","true"
"198","108","0","true"
"199","62","0","true"
"200","113","0","true"
"201","69","0","true"
"202","97","0","true"
"203","72","0","true"
"204","108","0","true"
"205","64","0","true"
"206","105","0","true"
"207","84","0","true"
"208","115","0","true"
"209","86","0","true"
"210","91","0","true"
"211","67","0","true"
"212","90","0","true"
"213","91","0","true"
"214","90","0","true"
"215","89","0","true"
