"export-plot data (NetLogo 6.1.0-RC2)"
"+rep.nlogo"
"09/26/2020 15:51:29:169 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","qty-lb-ub","order-due-date","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","type-of-item","service-time-alpha","num-arrival","layout-file","service-time-beta"
"30","35","20","12","5","3","""AGV set 1.csv""","80","2","10","2","800","12","15","""layout set 4.csv""","1.5"

"""Robot Traveling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","789","0","150","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","654"

"""default"""
"x","y","color","pen down?"
"0","38","0","true"
"1","41","0","true"
"2","47","0","true"
"3","56","0","true"
"4","56","0","true"
"5","42","0","true"
"6","58","0","true"
"7","60","0","true"
"8","60","0","true"
"9","48","0","true"
"10","66","0","true"
"11","60","0","true"
"12","73","0","true"
"13","65","0","true"
"14","73","0","true"
"15","70","0","true"
"16","59","0","true"
"17","69","0","true"
"18","66","0","true"
"19","76","0","true"
"20","68","0","true"
"21","74","0","true"
"22","63","0","true"
"23","76","0","true"
"24","61","0","true"
"25","63","0","true"
"26","75","0","true"
"27","59","0","true"
"28","90","0","true"
"29","62","0","true"
"30","54","0","true"
"31","82","0","true"
"32","76","0","true"
"33","81","0","true"
"34","91","0","true"
"35","73","0","true"
"36","67","0","true"
"37","48","0","true"
"38","98","0","true"
"39","72","0","true"
"40","67","0","true"
"41","113","0","true"
"42","91","0","true"
"43","87","0","true"
"44","89","0","true"
"45","85","0","true"
"46","109","0","true"
"47","88","0","true"
"48","98","0","true"
"49","88","0","true"
"50","70","0","true"
"51","78","0","true"
"52","97","0","true"
"53","59","0","true"
"54","98","0","true"
"55","121","0","true"
"56","115","0","true"
"57","99","0","true"
"58","96","0","true"
"59","73","0","true"
"60","104","0","true"
"61","107","0","true"
"62","91","0","true"
"63","104","0","true"
"64","103","0","true"
"65","93","0","true"
"66","101","0","true"
"67","93","0","true"
"68","60","0","true"
"69","99","0","true"
"70","58","0","true"
"71","115","0","true"
"72","84","0","true"
"73","64","0","true"
"74","125","0","true"
"75","75","0","true"
"76","113","0","true"
"77","68","0","true"
"78","94","0","true"
"79","92","0","true"
"80","88","0","true"
"81","124","0","true"
"82","95","0","true"
"83","69","0","true"
"84","93","0","true"
"85","95","0","true"
"86","98","0","true"
"87","69","0","true"
"88","64","0","true"
"89","90","0","true"
"90","83","0","true"
"91","84","0","true"
"92","105","0","true"
"93","81","0","true"
"94","66","0","true"
"95","107","0","true"
"96","61","0","true"
"97","76","0","true"
"98","86","0","true"
"99","134","0","true"
