"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 16:01:46:216 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","231","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1787"

"""default"""
"x","y","color","pen down?"
"0","45","0","true"
"1","44","0","true"
"2","52","0","true"
"3","50","0","true"
"4","52","0","true"
"5","68","0","true"
"6","65","0","true"
"7","69","0","true"
"8","51","0","true"
"9","68","0","true"
"10","70","0","true"
"11","71","0","true"
"12","66","0","true"
"13","52","0","true"
"14","66","0","true"
"15","55","0","true"
"16","94","0","true"
"17","54","0","true"
"18","66","0","true"
"19","76","0","true"
"20","74","0","true"
"21","73","0","true"
"22","56","0","true"
"23","71","0","true"
"24","106","0","true"
"25","90","0","true"
"26","86","0","true"
"27","125","0","true"
"28","96","0","true"
"29","96","0","true"
"30","104","0","true"
"31","100","0","true"
"32","84","0","true"
"33","54","0","true"
"34","106","0","true"
"35","66","0","true"
"36","99","0","true"
"37","76","0","true"
"38","120","0","true"
"39","62","0","true"
"40","59","0","true"
"41","70","0","true"
"42","95","0","true"
"43","96","0","true"
"44","89","0","true"
"45","68","0","true"
"46","70","0","true"
"47","126","0","true"
"48","52","0","true"
"49","88","0","true"
"50","62","0","true"
"51","89","0","true"
"52","54","0","true"
"53","107","0","true"
"54","95","0","true"
"55","79","0","true"
"56","90","0","true"
"57","69","0","true"
"58","51","0","true"
"59","83","0","true"
"60","70","0","true"
"61","50","0","true"
"62","101","0","true"
"63","81","0","true"
"64","96","0","true"
"65","81","0","true"
"66","76","0","true"
"67","116","0","true"
"68","60","0","true"
"69","89","0","true"
"70","58","0","true"
"71","57","0","true"
"72","77","0","true"
"73","66","0","true"
"74","100","0","true"
"75","38","0","true"
"76","93","0","true"
"77","51","0","true"
"78","113","0","true"
"79","86","0","true"
"80","79","0","true"
"81","62","0","true"
"82","74","0","true"
"83","63","0","true"
"84","105","0","true"
"85","78","0","true"
"86","94","0","true"
"87","53","0","true"
"88","78","0","true"
"89","92","0","true"
"90","69","0","true"
"91","90","0","true"
"92","57","0","true"
"93","56","0","true"
"94","68","0","true"
"95","92","0","true"
"96","61","0","true"
"97","72","0","true"
"98","90","0","true"
"99","81","0","true"
"100","70","0","true"
"101","47","0","true"
"102","117","0","true"
"103","71","0","true"
"104","65","0","true"
"105","69","0","true"
"106","64","0","true"
"107","82","0","true"
"108","71","0","true"
"109","50","0","true"
"110","60","0","true"
"111","128","0","true"
"112","87","0","true"
"113","61","0","true"
"114","71","0","true"
"115","148","0","true"
"116","79","0","true"
"117","41","0","true"
"118","62","0","true"
"119","85","0","true"
"120","68","0","true"
"121","81","0","true"
"122","123","0","true"
"123","83","0","true"
"124","79","0","true"
"125","88","0","true"
"126","84","0","true"
"127","93","0","true"
"128","64","0","true"
"129","85","0","true"
"130","94","0","true"
"131","103","0","true"
"132","79","0","true"
"133","71","0","true"
"134","85","0","true"
"135","43","0","true"
"136","65","0","true"
"137","125","0","true"
"138","64","0","true"
"139","84","0","true"
"140","95","0","true"
"141","102","0","true"
"142","83","0","true"
"143","71","0","true"
"144","61","0","true"
"145","63","0","true"
"146","101","0","true"
