"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:10:15:719 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1733"

"""default"""
"x","y","color","pen down?"
"0","57","0","true"
"1","62","0","true"
"2","65","0","true"
"3","66","0","true"
"4","76","0","true"
"5","79","0","true"
"6","79","0","true"
"7","80","0","true"
"8","89","0","true"
"9","90","0","true"
"10","94","0","true"
"11","104","0","true"
"12","107","0","true"
"13","111","0","true"
"14","112","0","true"
"15","113","0","true"
"16","123","0","true"
"17","127","0","true"
"18","72","0","true"
"19","154","0","true"
"20","96","0","true"
"21","101","0","true"
"22","111","0","true"
"23","170","0","true"
"24","95","0","true"
"25","99","0","true"
"26","86","0","true"
"27","83","0","true"
"28","77","0","true"
"29","116","0","true"
"30","94","0","true"
"31","127","0","true"
"32","121","0","true"
"33","127","0","true"
"34","104","0","true"
"35","124","0","true"
"36","117","0","true"
"37","90","0","true"
"38","123","0","true"
"39","157","0","true"
"40","68","0","true"
"41","125","0","true"
"42","119","0","true"
"43","125","0","true"
"44","118","0","true"
"45","121","0","true"
"46","114","0","true"
"47","123","0","true"
"48","118","0","true"
"49","144","0","true"
"50","96","0","true"
"51","156","0","true"
"52","66","0","true"
"53","125","0","true"
"54","131","0","true"
"55","113","0","true"
"56","151","0","true"
"57","94","0","true"
"58","75","0","true"
"59","119","0","true"
"60","90","0","true"
"61","96","0","true"
"62","120","0","true"
"63","94","0","true"
"64","84","0","true"
"65","173","0","true"
"66","119","0","true"
"67","84","0","true"
"68","106","0","true"
"69","88","0","true"
"70","135","0","true"
"71","86","0","true"
"72","139","0","true"
"73","126","0","true"
"74","89","0","true"
"75","103","0","true"
"76","83","0","true"
"77","121","0","true"
"78","168","0","true"
"79","95","0","true"
"80","85","0","true"
"81","106","0","true"
"82","89","0","true"
"83","158","0","true"
"84","124","0","true"
"85","188","0","true"
"86","99","0","true"
"87","96","0","true"
"88","101","0","true"
"89","89","0","true"
"90","203","0","true"
"91","179","0","true"
"92","152","0","true"
"93","115","0","true"
"94","187","0","true"
"95","208","0","true"
"96","89","0","true"
"97","133","0","true"
"98","89","0","true"
"99","129","0","true"
"100","131","0","true"
"101","89","0","true"
"102","76","0","true"
"103","107","0","true"
"104","92","0","true"
"105","161","0","true"
"106","96","0","true"
"107","141","0","true"
"108","150","0","true"
"109","107","0","true"
"110","145","0","true"
"111","76","0","true"
"112","81","0","true"
"113","137","0","true"
"114","130","0","true"
"115","86","0","true"
"116","74","0","true"
"117","85","0","true"
"118","165","0","true"
"119","161","0","true"
"120","111","0","true"
"121","141","0","true"
"122","115","0","true"
"123","140","0","true"
"124","142","0","true"
"125","92","0","true"
"126","142","0","true"
"127","175","0","true"
"128","150","0","true"
"129","123","0","true"
"130","137","0","true"
"131","137","0","true"
"132","104","0","true"
"133","148","0","true"
"134","122","0","true"
"135","107","0","true"
"136","73","0","true"
"137","118","0","true"
"138","148","0","true"
"139","87","0","true"
"140","114","0","true"
"141","112","0","true"
"142","132","0","true"
"143","123","0","true"
"144","120","0","true"
"145","115","0","true"
"146","111","0","true"
"147","114","0","true"
"148","99","0","true"
"149","105","0","true"
"150","92","0","true"
"151","116","0","true"
"152","133","0","true"
"153","64","0","true"
"154","125","0","true"
"155","131","0","true"
"156","127","0","true"
"157","125","0","true"
"158","139","0","true"
"159","135","0","true"
"160","122","0","true"
"161","101","0","true"
"162","116","0","true"
"163","145","0","true"
"164","151","0","true"
"165","129","0","true"
"166","125","0","true"
"167","135","0","true"
"168","153","0","true"
"169","176","0","true"
"170","116","0","true"
"171","153","0","true"
"172","105","0","true"
"173","108","0","true"
"174","141","0","true"
"175","145","0","true"
"176","103","0","true"
"177","103","0","true"
"178","93","0","true"
"179","167","0","true"
"180","128","0","true"
"181","165","0","true"
"182","94","0","true"
"183","170","0","true"
"184","104","0","true"
"185","200","0","true"
"186","160","0","true"
"187","108","0","true"
"188","93","0","true"
"189","118","0","true"
"190","128","0","true"
"191","85","0","true"
"192","113","0","true"
"193","101","0","true"
"194","111","0","true"
"195","84","0","true"
"196","134","0","true"
"197","106","0","true"
"198","143","0","true"
"199","88","0","true"
"200","120","0","true"
"201","112","0","true"
"202","135","0","true"
"203","143","0","true"
"204","131","0","true"
"205","124","0","true"
"206","128","0","true"
"207","93","0","true"
"208","122","0","true"
"209","78","0","true"
"210","159","0","true"
"211","105","0","true"
"212","127","0","true"
"213","85","0","true"
"214","121","0","true"
"215","173","0","true"
"216","107","0","true"
"217","94","0","true"
"218","106","0","true"
"219","187","0","true"
"220","84","0","true"
"221","175","0","true"
"222","135","0","true"
"223","83","0","true"
"224","120","0","true"
"225","104","0","true"
"226","84","0","true"
"227","104","0","true"
"228","99","0","true"
"229","95","0","true"
"230","98","0","true"
"231","124","0","true"
"232","130","0","true"
"233","113","0","true"
"234","107","0","true"
"235","108","0","true"
"236","103","0","true"
"237","121","0","true"
"238","78","0","true"
"239","120","0","true"
"240","127","0","true"
"241","155","0","true"
"242","103","0","true"
"243","118","0","true"
"244","149","0","true"
"245","145","0","true"
"246","100","0","true"
"247","102","0","true"
"248","133","0","true"
"249","137","0","true"
"250","80","0","true"
"251","140","0","true"
"252","123","0","true"
"253","130","0","true"
"254","116","0","true"
"255","146","0","true"
"256","120","0","true"
"257","87","0","true"
"258","91","0","true"
"259","129","0","true"
"260","137","0","true"
"261","95","0","true"
"262","113","0","true"
"263","185","0","true"
"264","117","0","true"
"265","103","0","true"
"266","77","0","true"
"267","148","0","true"
"268","110","0","true"
