"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 15:19:09:734 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1550","0","422","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1443"

"""default"""
"x","y","color","pen down?"
"0","62","0","true"
"1","64","0","true"
"2","71","0","true"
"3","79","0","true"
"4","89","0","true"
"5","91","0","true"
"6","94","0","true"
"7","94","0","true"
"8","96","0","true"
"9","96","0","true"
"10","97","0","true"
"11","107","0","true"
"12","112","0","true"
"13","113","0","true"
"14","118","0","true"
"15","119","0","true"
"16","125","0","true"
"17","134","0","true"
"18","140","0","true"
"19","89","0","true"
"20","155","0","true"
"21","90","0","true"
"22","78","0","true"
"23","129","0","true"
"24","84","0","true"
"25","114","0","true"
"26","121","0","true"
"27","58","0","true"
"28","134","0","true"
"29","102","0","true"
"30","125","0","true"
"31","135","0","true"
"32","114","0","true"
"33","78","0","true"
"34","148","0","true"
"35","115","0","true"
"36","102","0","true"
"37","120","0","true"
"38","167","0","true"
"39","153","0","true"
"40","102","0","true"
"41","166","0","true"
"42","157","0","true"
"43","106","0","true"
"44","106","0","true"
"45","99","0","true"
"46","87","0","true"
"47","107","0","true"
"48","118","0","true"
"49","95","0","true"
"50","65","0","true"
"51","113","0","true"
"52","133","0","true"
"53","144","0","true"
"54","108","0","true"
"55","109","0","true"
"56","76","0","true"
"57","125","0","true"
"58","157","0","true"
"59","127","0","true"
"60","134","0","true"
"61","62","0","true"
"62","199","0","true"
"63","128","0","true"
"64","93","0","true"
"65","81","0","true"
"66","123","0","true"
"67","154","0","true"
"68","114","0","true"
"69","113","0","true"
"70","193","0","true"
"71","147","0","true"
"72","221","0","true"
"73","163","0","true"
"74","134","0","true"
"75","105","0","true"
"76","106","0","true"
"77","81","0","true"
"78","109","0","true"
"79","115","0","true"
"80","144","0","true"
"81","164","0","true"
"82","106","0","true"
"83","137","0","true"
"84","129","0","true"
"85","90","0","true"
"86","110","0","true"
"87","116","0","true"
"88","127","0","true"
"89","80","0","true"
"90","99","0","true"
"91","110","0","true"
"92","117","0","true"
"93","124","0","true"
"94","92","0","true"
"95","138","0","true"
"96","151","0","true"
"97","93","0","true"
"98","159","0","true"
"99","145","0","true"
"100","126","0","true"
"101","139","0","true"
"102","142","0","true"
"103","125","0","true"
"104","69","0","true"
"105","148","0","true"
"106","68","0","true"
"107","164","0","true"
"108","226","0","true"
"109","74","0","true"
"110","215","0","true"
"111","112","0","true"
"112","190","0","true"
"113","206","0","true"
"114","202","0","true"
"115","199","0","true"
"116","106","0","true"
"117","211","0","true"
"118","87","0","true"
"119","251","0","true"
"120","107","0","true"
"121","206","0","true"
"122","234","0","true"
"123","90","0","true"
"124","85","0","true"
"125","243","0","true"
"126","214","0","true"
"127","231","0","true"
"128","119","0","true"
"129","93","0","true"
"130","93","0","true"
"131","265","0","true"
"132","270","0","true"
"133","113","0","true"
"134","246","0","true"
"135","97","0","true"
"136","266","0","true"
"137","106","0","true"
"138","260","0","true"
"139","113","0","true"
"140","239","0","true"
"141","129","0","true"
"142","96","0","true"
"143","79","0","true"
"144","248","0","true"
"145","250","0","true"
"146","90","0","true"
"147","244","0","true"
"148","111","0","true"
"149","208","0","true"
"150","101","0","true"
"151","111","0","true"
"152","224","0","true"
"153","184","0","true"
"154","123","0","true"
"155","85","0","true"
"156","105","0","true"
"157","94","0","true"
"158","104","0","true"
"159","228","0","true"
"160","131","0","true"
"161","98","0","true"
"162","113","0","true"
"163","200","0","true"
"164","149","0","true"
"165","121","0","true"
"166","205","0","true"
"167","106","0","true"
"168","105","0","true"
"169","113","0","true"
"170","95","0","true"
"171","110","0","true"
"172","181","0","true"
"173","102","0","true"
"174","170","0","true"
"175","88","0","true"
"176","237","0","true"
"177","166","0","true"
"178","103","0","true"
"179","175","0","true"
"180","137","0","true"
"181","171","0","true"
"182","105","0","true"
"183","133","0","true"
"184","106","0","true"
"185","96","0","true"
"186","189","0","true"
"187","168","0","true"
"188","63","0","true"
"189","88","0","true"
"190","111","0","true"
"191","162","0","true"
"192","182","0","true"
"193","72","0","true"
"194","166","0","true"
"195","132","0","true"
"196","199","0","true"
"197","220","0","true"
"198","83","0","true"
"199","203","0","true"
"200","228","0","true"
"201","108","0","true"
"202","102","0","true"
"203","105","0","true"
"204","220","0","true"
"205","206","0","true"
"206","89","0","true"
"207","124","0","true"
"208","100","0","true"
"209","113","0","true"
"210","108","0","true"
"211","242","0","true"
"212","226","0","true"
"213","248","0","true"
"214","76","0","true"
"215","103","0","true"
"216","244","0","true"
"217","101","0","true"
"218","91","0","true"
"219","203","0","true"
"220","157","0","true"
"221","135","0","true"
"222","93","0","true"
"223","253","0","true"
"224","180","0","true"
"225","119","0","true"
"226","166","0","true"
"227","109","0","true"
"228","160","0","true"
"229","184","0","true"
"230","153","0","true"
"231","114","0","true"
"232","176","0","true"
"233","135","0","true"
"234","173","0","true"
"235","175","0","true"
"236","183","0","true"
"237","101","0","true"
"238","114","0","true"
"239","196","0","true"
"240","205","0","true"
"241","123","0","true"
"242","137","0","true"
"243","98","0","true"
"244","188","0","true"
"245","218","0","true"
"246","101","0","true"
"247","143","0","true"
"248","94","0","true"
"249","206","0","true"
"250","97","0","true"
"251","223","0","true"
"252","185","0","true"
"253","89","0","true"
"254","138","0","true"
"255","171","0","true"
"256","245","0","true"
"257","111","0","true"
"258","111","0","true"
"259","144","0","true"
"260","89","0","true"
"261","133","0","true"
"262","94","0","true"
"263","126","0","true"
"264","131","0","true"
"265","139","0","true"
"266","114","0","true"
"267","135","0","true"
"268","218","0","true"
"269","105","0","true"
"270","168","0","true"
"271","191","0","true"
"272","152","0","true"
"273","106","0","true"
"274","104","0","true"
"275","132","0","true"
"276","173","0","true"
"277","117","0","true"
"278","159","0","true"
"279","177","0","true"
"280","98","0","true"
"281","171","0","true"
"282","174","0","true"
"283","122","0","true"
"284","94","0","true"
"285","134","0","true"
"286","211","0","true"
"287","87","0","true"
"288","168","0","true"
"289","60","0","true"
"290","80","0","true"
"291","182","0","true"
"292","148","0","true"
"293","158","0","true"
"294","83","0","true"
"295","79","0","true"
"296","69","0","true"
"297","215","0","true"
"298","62","0","true"
"299","157","0","true"
"300","209","0","true"
"301","140","0","true"
"302","199","0","true"
"303","198","0","true"
"304","212","0","true"
"305","202","0","true"
"306","78","0","true"
"307","207","0","true"
"308","266","0","true"
"309","228","0","true"
"310","224","0","true"
"311","233","0","true"
"312","199","0","true"
