"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/23/2020 17:00:01:363 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1767"

"""default"""
"x","y","color","pen down?"
"0","53","0","true"
"1","64","0","true"
"2","65","0","true"
"3","65","0","true"
"4","75","0","true"
"5","76","0","true"
"6","83","0","true"
"7","83","0","true"
"8","92","0","true"
"9","93","0","true"
"10","100","0","true"
"11","101","0","true"
"12","104","0","true"
"13","112","0","true"
"14","120","0","true"
"15","123","0","true"
"16","131","0","true"
"17","74","0","true"
"18","143","0","true"
"19","154","0","true"
"20","72","0","true"
"21","92","0","true"
"22","107","0","true"
"23","164","0","true"
"24","72","0","true"
"25","79","0","true"
"26","103","0","true"
"27","110","0","true"
"28","89","0","true"
"29","127","0","true"
"30","112","0","true"
"31","88","0","true"
"32","137","0","true"
"33","84","0","true"
"34","131","0","true"
"35","139","0","true"
"36","153","0","true"
"37","101","0","true"
"38","126","0","true"
"39","131","0","true"
"40","118","0","true"
"41","168","0","true"
"42","107","0","true"
"43","83","0","true"
"44","148","0","true"
"45","140","0","true"
"46","76","0","true"
"47","171","0","true"
"48","171","0","true"
"49","84","0","true"
"50","83","0","true"
"51","160","0","true"
"52","74","0","true"
"53","73","0","true"
"54","113","0","true"
"55","189","0","true"
"56","76","0","true"
"57","72","0","true"
"58","175","0","true"
"59","205","0","true"
"60","88","0","true"
"61","87","0","true"
"62","215","0","true"
"63","97","0","true"
"64","136","0","true"
"65","106","0","true"
"66","185","0","true"
"67","123","0","true"
"68","185","0","true"
"69","94","0","true"
"70","203","0","true"
"71","175","0","true"
"72","104","0","true"
"73","123","0","true"
"74","127","0","true"
"75","129","0","true"
"76","107","0","true"
"77","130","0","true"
"78","73","0","true"
"79","98","0","true"
"80","166","0","true"
"81","88","0","true"
"82","122","0","true"
"83","88","0","true"
"84","80","0","true"
"85","99","0","true"
"86","104","0","true"
"87","148","0","true"
"88","123","0","true"
"89","90","0","true"
"90","91","0","true"
"91","98","0","true"
"92","80","0","true"
"93","74","0","true"
"94","148","0","true"
"95","115","0","true"
"96","91","0","true"
"97","123","0","true"
"98","117","0","true"
"99","114","0","true"
"100","119","0","true"
"101","126","0","true"
"102","152","0","true"
"103","116","0","true"
"104","89","0","true"
"105","105","0","true"
"106","101","0","true"
"107","123","0","true"
"108","126","0","true"
"109","69","0","true"
"110","87","0","true"
"111","122","0","true"
"112","117","0","true"
"113","83","0","true"
"114","124","0","true"
"115","137","0","true"
"116","90","0","true"
"117","132","0","true"
"118","109","0","true"
"119","125","0","true"
"120","92","0","true"
"121","152","0","true"
"122","103","0","true"
"123","95","0","true"
"124","115","0","true"
"125","93","0","true"
"126","97","0","true"
"127","105","0","true"
"128","134","0","true"
"129","134","0","true"
"130","89","0","true"
"131","89","0","true"
"132","135","0","true"
