"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 16:32:13:877 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","206","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1572"

"""default"""
"x","y","color","pen down?"
"0","44","0","true"
"1","46","0","true"
"2","40","0","true"
"3","49","0","true"
"4","41","0","true"
"5","61","0","true"
"6","59","0","true"
"7","55","0","true"
"8","50","0","true"
"9","49","0","true"
"10","67","0","true"
"11","57","0","true"
"12","78","0","true"
"13","75","0","true"
"14","58","0","true"
"15","72","0","true"
"16","51","0","true"
"17","35","0","true"
"18","50","0","true"
"19","81","0","true"
"20","82","0","true"
"21","94","0","true"
"22","65","0","true"
"23","46","0","true"
"24","85","0","true"
"25","52","0","true"
"26","61","0","true"
"27","62","0","true"
"28","57","0","true"
"29","67","0","true"
"30","60","0","true"
"31","94","0","true"
"32","61","0","true"
"33","91","0","true"
"34","68","0","true"
"35","111","0","true"
"36","55","0","true"
"37","60","0","true"
"38","30","0","true"
"39","90","0","true"
"40","82","0","true"
"41","102","0","true"
"42","79","0","true"
"43","63","0","true"
"44","55","0","true"
"45","105","0","true"
"46","79","0","true"
"47","98","0","true"
"48","93","0","true"
"49","120","0","true"
"50","104","0","true"
"51","95","0","true"
"52","60","0","true"
"53","53","0","true"
"54","55","0","true"
"55","108","0","true"
"56","82","0","true"
"57","64","0","true"
"58","61","0","true"
"59","94","0","true"
"60","77","0","true"
"61","89","0","true"
"62","67","0","true"
"63","70","0","true"
"64","69","0","true"
"65","54","0","true"
"66","108","0","true"
"67","57","0","true"
"68","69","0","true"
"69","110","0","true"
"70","112","0","true"
"71","84","0","true"
"72","56","0","true"
"73","89","0","true"
"74","59","0","true"
"75","61","0","true"
"76","66","0","true"
"77","126","0","true"
"78","153","0","true"
"79","70","0","true"
"80","81","0","true"
"81","118","0","true"
"82","67","0","true"
"83","77","0","true"
"84","83","0","true"
"85","61","0","true"
"86","74","0","true"
"87","79","0","true"
"88","61","0","true"
"89","95","0","true"
"90","114","0","true"
"91","59","0","true"
"92","74","0","true"
"93","103","0","true"
"94","109","0","true"
"95","49","0","true"
"96","72","0","true"
"97","90","0","true"
"98","82","0","true"
"99","98","0","true"
"100","69","0","true"
"101","95","0","true"
"102","67","0","true"
"103","82","0","true"
"104","73","0","true"
"105","101","0","true"
"106","75","0","true"
"107","87","0","true"
"108","73","0","true"
"109","101","0","true"
"110","86","0","true"
"111","67","0","true"
"112","74","0","true"
"113","54","0","true"
"114","108","0","true"
"115","55","0","true"
"116","67","0","true"
"117","57","0","true"
"118","84","0","true"
"119","89","0","true"
"120","55","0","true"
"121","124","0","true"
"122","79","0","true"
"123","58","0","true"
"124","66","0","true"
"125","56","0","true"
"126","95","0","true"
"127","88","0","true"
"128","115","0","true"
"129","65","0","true"
"130","64","0","true"
