"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:46:47:597 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1680"

"""default"""
"x","y","color","pen down?"
"0","67","0","true"
"1","70","0","true"
"2","73","0","true"
"3","82","0","true"
"4","88","0","true"
"5","93","0","true"
"6","95","0","true"
"7","98","0","true"
"8","99","0","true"
"9","102","0","true"
"10","109","0","true"
"11","114","0","true"
"12","118","0","true"
"13","127","0","true"
"14","136","0","true"
"15","139","0","true"
"16","145","0","true"
"17","168","0","true"
"18","90","0","true"
"19","73","0","true"
"20","106","0","true"
"21","195","0","true"
"22","103","0","true"
"23","211","0","true"
"24","120","0","true"
"25","84","0","true"
"26","55","0","true"
"27","159","0","true"
"28","138","0","true"
"29","166","0","true"
"30","175","0","true"
"31","153","0","true"
"32","92","0","true"
"33","117","0","true"
"34","99","0","true"
"35","198","0","true"
"36","80","0","true"
"37","86","0","true"
"38","187","0","true"
"39","95","0","true"
"40","66","0","true"
"41","208","0","true"
"42","124","0","true"
"43","204","0","true"
"44","241","0","true"
"45","244","0","true"
"46","168","0","true"
"47","155","0","true"
"48","108","0","true"
"49","134","0","true"
"50","91","0","true"
"51","92","0","true"
"52","81","0","true"
"53","166","0","true"
"54","213","0","true"
"55","114","0","true"
"56","78","0","true"
"57","91","0","true"
"58","75","0","true"
"59","210","0","true"
"60","161","0","true"
"61","126","0","true"
"62","93","0","true"
"63","115","0","true"
"64","131","0","true"
"65","119","0","true"
"66","125","0","true"
"67","84","0","true"
"68","119","0","true"
"69","108","0","true"
"70","129","0","true"
"71","109","0","true"
"72","65","0","true"
"73","95","0","true"
"74","60","0","true"
"75","103","0","true"
"76","154","0","true"
"77","94","0","true"
"78","149","0","true"
"79","125","0","true"
"80","159","0","true"
"81","86","0","true"
"82","89","0","true"
"83","121","0","true"
"84","205","0","true"
"85","99","0","true"
"86","85","0","true"
"87","146","0","true"
"88","109","0","true"
"89","148","0","true"
"90","171","0","true"
"91","186","0","true"
"92","77","0","true"
"93","110","0","true"
"94","214","0","true"
"95","97","0","true"
"96","175","0","true"
"97","109","0","true"
"98","199","0","true"
"99","210","0","true"
"100","86","0","true"
"101","101","0","true"
"102","75","0","true"
"103","194","0","true"
"104","108","0","true"
"105","101","0","true"
"106","215","0","true"
"107","100","0","true"
"108","223","0","true"
"109","196","0","true"
"110","104","0","true"
"111","82","0","true"
"112","218","0","true"
"113","228","0","true"
"114","200","0","true"
"115","89","0","true"
"116","74","0","true"
"117","66","0","true"
"118","223","0","true"
"119","148","0","true"
"120","89","0","true"
"121","207","0","true"
"122","259","0","true"
"123","237","0","true"
"124","241","0","true"
"125","95","0","true"
"126","102","0","true"
"127","76","0","true"
"128","240","0","true"
"129","73","0","true"
"130","249","0","true"
"131","238","0","true"
"132","129","0","true"
"133","178","0","true"
"134","55","0","true"
"135","219","0","true"
"136","200","0","true"
"137","88","0","true"
"138","112","0","true"
"139","96","0","true"
"140","240","0","true"
"141","134","0","true"
"142","87","0","true"
"143","81","0","true"
"144","228","0","true"
"145","268","0","true"
"146","114","0","true"
"147","70","0","true"
"148","289","0","true"
"149","101","0","true"
"150","276","0","true"
"151","248","0","true"
"152","230","0","true"
"153","76","0","true"
"154","207","0","true"
"155","272","0","true"
"156","132","0","true"
"157","125","0","true"
"158","216","0","true"
"159","216","0","true"
"160","182","0","true"
"161","175","0","true"
"162","94","0","true"
"163","98","0","true"
"164","205","0","true"
"165","210","0","true"
"166","202","0","true"
"167","201","0","true"
"168","238","0","true"
"169","240","0","true"
"170","241","0","true"
"171","107","0","true"
"172","101","0","true"
"173","258","0","true"
"174","286","0","true"
"175","269","0","true"
"176","99","0","true"
"177","266","0","true"
"178","232","0","true"
"179","274","0","true"
"180","91","0","true"
"181","73","0","true"
"182","301","0","true"
"183","80","0","true"
"184","344","0","true"
"185","84","0","true"
"186","241","0","true"
"187","84","0","true"
"188","284","0","true"
"189","102","0","true"
"190","271","0","true"
"191","94","0","true"
"192","255","0","true"
"193","122","0","true"
"194","390","0","true"
"195","70","0","true"
"196","64","0","true"
"197","79","0","true"
"198","313","0","true"
"199","104","0","true"
"200","78","0","true"
"201","288","0","true"
"202","85","0","true"
"203","277","0","true"
"204","109","0","true"
"205","106","0","true"
"206","83","0","true"
"207","97","0","true"
"208","261","0","true"
"209","303","0","true"
"210","92","0","true"
"211","96","0","true"
"212","250","0","true"
"213","242","0","true"
"214","62","0","true"
"215","118","0","true"
"216","116","0","true"
"217","177","0","true"
"218","115","0","true"
"219","76","0","true"
"220","120","0","true"
"221","63","0","true"
"222","141","0","true"
"223","60","0","true"
"224","107","0","true"
"225","114","0","true"
"226","84","0","true"
"227","86","0","true"
"228","103","0","true"
"229","96","0","true"
"230","79","0","true"
"231","116","0","true"
"232","122","0","true"
"233","54","0","true"
"234","106","0","true"
"235","58","0","true"
"236","75","0","true"
"237","96","0","true"
"238","136","0","true"
"239","113","0","true"
"240","93","0","true"
"241","150","0","true"
"242","163","0","true"
"243","137","0","true"
"244","129","0","true"
"245","117","0","true"
"246","124","0","true"
"247","100","0","true"
"248","110","0","true"
"249","141","0","true"
"250","161","0","true"
"251","79","0","true"
"252","109","0","true"
"253","117","0","true"
"254","89","0","true"
"255","74","0","true"
"256","120","0","true"
"257","117","0","true"
"258","99","0","true"
"259","122","0","true"
"260","83","0","true"
"261","91","0","true"
"262","142","0","true"
"263","90","0","true"
"264","138","0","true"
"265","111","0","true"
"266","174","0","true"
"267","84","0","true"
"268","96","0","true"
"269","81","0","true"
"270","142","0","true"
"271","100","0","true"
"272","111","0","true"
"273","140","0","true"
"274","146","0","true"
"275","135","0","true"
"276","133","0","true"
"277","82","0","true"
"278","108","0","true"
"279","156","0","true"
"280","112","0","true"
"281","81","0","true"
"282","98","0","true"
"283","93","0","true"
"284","82","0","true"
"285","70","0","true"
"286","98","0","true"
"287","78","0","true"
"288","105","0","true"
"289","119","0","true"
"290","109","0","true"
"291","85","0","true"
"292","107","0","true"
"293","105","0","true"
"294","124","0","true"
"295","141","0","true"
"296","119","0","true"
"297","93","0","true"
"298","110","0","true"
"299","104","0","true"
"300","110","0","true"
"301","101","0","true"
"302","139","0","true"
"303","89","0","true"
"304","106","0","true"
"305","118","0","true"
"306","85","0","true"
"307","85","0","true"
"308","85","0","true"
"309","104","0","true"
"310","141","0","true"
"311","118","0","true"
"312","118","0","true"
"313","92","0","true"
"314","104","0","true"
"315","99","0","true"
"316","105","0","true"
"317","121","0","true"
"318","98","0","true"
"319","117","0","true"
"320","82","0","true"
"321","145","0","true"
"322","130","0","true"
"323","98","0","true"
"324","139","0","true"
"325","83","0","true"
"326","150","0","true"
"327","121","0","true"
"328","122","0","true"
"329","165","0","true"
"330","141","0","true"
"331","95","0","true"
"332","88","0","true"
"333","118","0","true"
"334","168","0","true"
"335","194","0","true"
"336","99","0","true"
"337","103","0","true"
"338","139","0","true"
"339","164","0","true"
"340","86","0","true"
"341","185","0","true"
"342","155","0","true"
