"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 16:07:57:885 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","387","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1779"

"""default"""
"x","y","color","pen down?"
"0","61","0","true"
"1","66","0","true"
"2","69","0","true"
"3","69","0","true"
"4","72","0","true"
"5","86","0","true"
"6","86","0","true"
"7","89","0","true"
"8","90","0","true"
"9","90","0","true"
"10","103","0","true"
"11","104","0","true"
"12","106","0","true"
"13","117","0","true"
"14","120","0","true"
"15","121","0","true"
"16","133","0","true"
"17","133","0","true"
"18","142","0","true"
"19","85","0","true"
"20","158","0","true"
"21","106","0","true"
"22","86","0","true"
"23","123","0","true"
"24","110","0","true"
"25","147","0","true"
"26","110","0","true"
"27","184","0","true"
"28","78","0","true"
"29","189","0","true"
"30","170","0","true"
"31","195","0","true"
"32","116","0","true"
"33","69","0","true"
"34","197","0","true"
"35","227","0","true"
"36","179","0","true"
"37","125","0","true"
"38","254","0","true"
"39","266","0","true"
"40","59","0","true"
"41","96","0","true"
"42","263","0","true"
"43","279","0","true"
"44","271","0","true"
"45","250","0","true"
"46","249","0","true"
"47","123","0","true"
"48","94","0","true"
"49","273","0","true"
"50","209","0","true"
"51","352","0","true"
"52","234","0","true"
"53","68","0","true"
"54","106","0","true"
"55","269","0","true"
"56","264","0","true"
"57","98","0","true"
"58","72","0","true"
"59","261","0","true"
"60","284","0","true"
"61","229","0","true"
"62","269","0","true"
"63","90","0","true"
"64","112","0","true"
"65","107","0","true"
"66","106","0","true"
"67","136","0","true"
"68","291","0","true"
"69","92","0","true"
"70","238","0","true"
"71","278","0","true"
"72","126","0","true"
"73","246","0","true"
"74","109","0","true"
"75","281","0","true"
"76","97","0","true"
"77","282","0","true"
"78","86","0","true"
"79","81","0","true"
"80","219","0","true"
"81","81","0","true"
"82","96","0","true"
"83","161","0","true"
"84","93","0","true"
"85","196","0","true"
"86","173","0","true"
"87","114","0","true"
"88","165","0","true"
"89","118","0","true"
"90","110","0","true"
"91","118","0","true"
"92","121","0","true"
"93","110","0","true"
"94","87","0","true"
"95","160","0","true"
"96","157","0","true"
"97","116","0","true"
"98","86","0","true"
"99","117","0","true"
"100","70","0","true"
"101","89","0","true"
"102","96","0","true"
"103","155","0","true"
"104","82","0","true"
"105","119","0","true"
"106","134","0","true"
"107","94","0","true"
"108","107","0","true"
"109","90","0","true"
"110","135","0","true"
"111","108","0","true"
"112","90","0","true"
"113","89","0","true"
"114","95","0","true"
"115","118","0","true"
"116","113","0","true"
"117","103","0","true"
"118","91","0","true"
"119","148","0","true"
"120","145","0","true"
"121","125","0","true"
"122","139","0","true"
"123","100","0","true"
"124","130","0","true"
"125","116","0","true"
"126","87","0","true"
"127","111","0","true"
"128","171","0","true"
"129","77","0","true"
"130","92","0","true"
"131","140","0","true"
"132","75","0","true"
"133","97","0","true"
"134","134","0","true"
"135","107","0","true"
"136","139","0","true"
"137","96","0","true"
"138","135","0","true"
"139","68","0","true"
"140","105","0","true"
"141","87","0","true"
"142","89","0","true"
"143","80","0","true"
"144","75","0","true"
"145","91","0","true"
"146","82","0","true"
"147","78","0","true"
"148","87","0","true"
"149","89","0","true"
"150","139","0","true"
"151","86","0","true"
"152","91","0","true"
"153","105","0","true"
"154","102","0","true"
"155","114","0","true"
"156","113","0","true"
"157","115","0","true"
"158","134","0","true"
"159","99","0","true"
"160","91","0","true"
"161","135","0","true"
"162","104","0","true"
"163","103","0","true"
"164","74","0","true"
"165","121","0","true"
"166","72","0","true"
"167","123","0","true"
"168","126","0","true"
"169","83","0","true"
"170","174","0","true"
"171","87","0","true"
"172","130","0","true"
"173","98","0","true"
"174","96","0","true"
"175","104","0","true"
"176","112","0","true"
"177","139","0","true"
"178","165","0","true"
"179","158","0","true"
"180","94","0","true"
"181","153","0","true"
"182","123","0","true"
"183","85","0","true"
"184","96","0","true"
"185","164","0","true"
"186","114","0","true"
"187","118","0","true"
