"export-plot data (NetLogo 6.1.0-RC2)"
"!compile fix.nlogo"
"09/14/2020 17:53:10:969 +0800"

"MODEL SETTINGS"
"simulation-replication","agv-number","time-arrival","simulation-run-hours","order-due-date","qty-lb-ub","agv-location-file","initial-order","due-date-lb-ub","qty-per-sku","sku-per-pod","type-of-item","qty-arrival","layout-file"
"30","25","20","12","3","5","""AGV set 1.csv""","80","2","10","2","800","30","""layout set 3.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2430","0","846","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","2028"

"""default"""
"x","y","color","pen down?"
"0","50","0","true"
"1","54","0","true"
"2","55","0","true"
"3","66","0","true"
"4","68","0","true"
"5","69","0","true"
"6","70","0","true"
"7","74","0","true"
"8","74","0","true"
"9","74","0","true"
"10","77","0","true"
"11","82","0","true"
"12","86","0","true"
"13","89","0","true"
"14","91","0","true"
"15","94","0","true"
"16","94","0","true"
"17","94","0","true"
"18","96","0","true"
"19","102","0","true"
"20","106","0","true"
"21","114","0","true"
"22","117","0","true"
"23","126","0","true"
"24","66","0","true"
"25","145","0","true"
"26","104","0","true"
"27","88","0","true"
"28","91","0","true"
"29","121","0","true"
"30","108","0","true"
"31","104","0","true"
"32","123","0","true"
"33","138","0","true"
"34","101","0","true"
"35","116","0","true"
"36","107","0","true"
"37","86","0","true"
"38","114","0","true"
"39","138","0","true"
"40","124","0","true"
"41","77","0","true"
"42","124","0","true"
"43","149","0","true"
"44","114","0","true"
"45","129","0","true"
"46","134","0","true"
"47","115","0","true"
"48","127","0","true"
"49","113","0","true"
"50","76","0","true"
"51","73","0","true"
"52","99","0","true"
"53","127","0","true"
"54","81","0","true"
"55","104","0","true"
"56","116","0","true"
"57","69","0","true"
"58","117","0","true"
"59","109","0","true"
"60","85","0","true"
"61","116","0","true"
"62","109","0","true"
"63","95","0","true"
"64","112","0","true"
"65","79","0","true"
"66","134","0","true"
"67","119","0","true"
"68","103","0","true"
"69","113","0","true"
"70","118","0","true"
"71","142","0","true"
"72","133","0","true"
"73","116","0","true"
"74","90","0","true"
"75","108","0","true"
"76","79","0","true"
"77","122","0","true"
"78","94","0","true"
"79","108","0","true"
"80","116","0","true"
"81","115","0","true"
"82","99","0","true"
"83","93","0","true"
"84","54","0","true"
"85","82","0","true"
"86","111","0","true"
"87","108","0","true"
"88","90","0","true"
"89","109","0","true"
"90","102","0","true"
"91","123","0","true"
"92","117","0","true"
"93","110","0","true"
"94","135","0","true"
"95","123","0","true"
"96","93","0","true"
"97","153","0","true"
"98","80","0","true"
"99","126","0","true"
"100","88","0","true"
"101","87","0","true"
"102","96","0","true"
"103","77","0","true"
"104","81","0","true"
"105","94","0","true"
"106","101","0","true"
"107","127","0","true"
"108","97","0","true"
"109","136","0","true"
"110","131","0","true"
"111","116","0","true"
"112","83","0","true"
"113","100","0","true"
"114","124","0","true"
"115","100","0","true"
"116","108","0","true"
"117","112","0","true"
"118","119","0","true"
"119","88","0","true"
"120","138","0","true"
"121","131","0","true"
"122","128","0","true"
"123","102","0","true"
"124","101","0","true"
"125","117","0","true"
"126","94","0","true"
"127","105","0","true"
"128","151","0","true"
"129","127","0","true"
"130","86","0","true"
"131","99","0","true"
"132","152","0","true"
"133","105","0","true"
"134","120","0","true"
"135","93","0","true"
"136","113","0","true"
"137","119","0","true"
"138","137","0","true"
"139","131","0","true"
"140","145","0","true"
"141","136","0","true"
"142","116","0","true"
"143","132","0","true"
"144","120","0","true"
"145","122","0","true"
"146","139","0","true"
"147","124","0","true"
"148","151","0","true"
"149","115","0","true"
"150","142","0","true"
"151","115","0","true"
"152","137","0","true"
"153","119","0","true"
"154","158","0","true"
"155","81","0","true"
"156","96","0","true"
"157","109","0","true"
"158","136","0","true"
"159","102","0","true"
"160","137","0","true"
"161","104","0","true"
"162","111","0","true"
"163","134","0","true"
"164","108","0","true"
"165","145","0","true"
"166","125","0","true"
"167","108","0","true"
"168","137","0","true"
"169","98","0","true"
"170","138","0","true"
"171","136","0","true"
"172","143","0","true"
"173","111","0","true"
"174","138","0","true"
"175","179","0","true"
"176","92","0","true"
"177","107","0","true"
"178","118","0","true"
"179","158","0","true"
"180","127","0","true"
"181","183","0","true"
"182","165","0","true"
"183","125","0","true"
"184","114","0","true"
"185","117","0","true"
"186","102","0","true"
"187","180","0","true"
"188","179","0","true"
"189","151","0","true"
"190","149","0","true"
"191","113","0","true"
"192","109","0","true"
"193","130","0","true"
"194","139","0","true"
"195","97","0","true"
"196","136","0","true"
"197","151","0","true"
"198","57","0","true"
"199","166","0","true"
"200","122","0","true"
"201","151","0","true"
"202","133","0","true"
"203","178","0","true"
