"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 16:44:49:139 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","226","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1692"

"""default"""
"x","y","color","pen down?"
"0","46","0","true"
"1","49","0","true"
"2","51","0","true"
"3","54","0","true"
"4","50","0","true"
"5","62","0","true"
"6","46","0","true"
"7","50","0","true"
"8","39","0","true"
"9","79","0","true"
"10","70","0","true"
"11","85","0","true"
"12","78","0","true"
"13","70","0","true"
"14","67","0","true"
"15","64","0","true"
"16","72","0","true"
"17","62","0","true"
"18","65","0","true"
"19","74","0","true"
"20","81","0","true"
"21","73","0","true"
"22","80","0","true"
"23","60","0","true"
"24","68","0","true"
"25","83","0","true"
"26","84","0","true"
"27","103","0","true"
"28","91","0","true"
"29","59","0","true"
"30","76","0","true"
"31","71","0","true"
"32","61","0","true"
"33","83","0","true"
"34","80","0","true"
"35","52","0","true"
"36","80","0","true"
"37","116","0","true"
"38","66","0","true"
"39","84","0","true"
"40","106","0","true"
"41","48","0","true"
"42","68","0","true"
"43","49","0","true"
"44","56","0","true"
"45","107","0","true"
"46","72","0","true"
"47","54","0","true"
"48","75","0","true"
"49","73","0","true"
"50","58","0","true"
"51","79","0","true"
"52","81","0","true"
"53","61","0","true"
"54","101","0","true"
"55","86","0","true"
"56","84","0","true"
"57","74","0","true"
"58","78","0","true"
"59","76","0","true"
"60","85","0","true"
"61","66","0","true"
"62","59","0","true"
"63","78","0","true"
"64","76","0","true"
"65","83","0","true"
"66","74","0","true"
"67","82","0","true"
"68","84","0","true"
"69","93","0","true"
"70","53","0","true"
"71","89","0","true"
"72","104","0","true"
"73","74","0","true"
"74","70","0","true"
"75","150","0","true"
"76","94","0","true"
"77","89","0","true"
"78","54","0","true"
"79","88","0","true"
"80","84","0","true"
"81","55","0","true"
"82","49","0","true"
"83","139","0","true"
"84","83","0","true"
"85","85","0","true"
"86","91","0","true"
"87","59","0","true"
"88","68","0","true"
"89","90","0","true"
"90","88","0","true"
"91","65","0","true"
"92","58","0","true"
"93","92","0","true"
"94","58","0","true"
"95","56","0","true"
"96","70","0","true"
"97","38","0","true"
"98","63","0","true"
"99","67","0","true"
"100","67","0","true"
"101","94","0","true"
"102","76","0","true"
"103","86","0","true"
"104","75","0","true"
"105","68","0","true"
"106","57","0","true"
"107","80","0","true"
"108","87","0","true"
"109","85","0","true"
"110","72","0","true"
"111","74","0","true"
"112","71","0","true"
"113","83","0","true"
"114","62","0","true"
"115","91","0","true"
"116","63","0","true"
"117","91","0","true"
"118","83","0","true"
"119","118","0","true"
"120","69","0","true"
"121","73","0","true"
"122","105","0","true"
"123","64","0","true"
"124","63","0","true"
"125","94","0","true"
"126","63","0","true"
"127","80","0","true"
"128","71","0","true"
"129","68","0","true"
"130","97","0","true"
"131","76","0","true"
"132","63","0","true"
"133","62","0","true"
"134","43","0","true"
"135","74","0","true"
"136","79","0","true"
"137","93","0","true"
"138","71","0","true"
"139","82","0","true"
"140","110","0","true"
"141","77","0","true"
"142","84","0","true"
"143","88","0","true"
"144","66","0","true"
"145","79","0","true"
"146","66","0","true"
"147","94","0","true"
"148","74","0","true"
"149","91","0","true"
"150","96","0","true"
"151","86","0","true"
"152","50","0","true"
"153","58","0","true"
"154","94","0","true"
"155","86","0","true"
"156","56","0","true"
"157","63","0","true"
"158","63","0","true"
"159","66","0","true"
"160","55","0","true"
"161","64","0","true"
"162","86","0","true"
"163","55","0","true"
"164","100","0","true"
"165","74","0","true"
"166","72","0","true"
"167","86","0","true"
"168","71","0","true"
"169","75","0","true"
"170","82","0","true"
"171","83","0","true"
"172","88","0","true"
