"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:34:39:498 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1696"

"""default"""
"x","y","color","pen down?"
"0","60","0","true"
"1","63","0","true"
"2","65","0","true"
"3","67","0","true"
"4","75","0","true"
"5","78","0","true"
"6","83","0","true"
"7","84","0","true"
"8","88","0","true"
"9","94","0","true"
"10","98","0","true"
"11","99","0","true"
"12","99","0","true"
"13","110","0","true"
"14","111","0","true"
"15","112","0","true"
"16","131","0","true"
"17","134","0","true"
"18","75","0","true"
"19","136","0","true"
"20","86","0","true"
"21","73","0","true"
"22","152","0","true"
"23","90","0","true"
"24","76","0","true"
"25","87","0","true"
"26","97","0","true"
"27","106","0","true"
"28","92","0","true"
"29","94","0","true"
"30","100","0","true"
"31","103","0","true"
"32","125","0","true"
"33","65","0","true"
"34","113","0","true"
"35","96","0","true"
"36","81","0","true"
"37","112","0","true"
"38","162","0","true"
"39","87","0","true"
"40","97","0","true"
"41","121","0","true"
"42","82","0","true"
"43","147","0","true"
"44","85","0","true"
"45","122","0","true"
"46","162","0","true"
"47","180","0","true"
"48","101","0","true"
"49","230","0","true"
"50","192","0","true"
"51","114","0","true"
"52","74","0","true"
"53","88","0","true"
"54","195","0","true"
"55","88","0","true"
"56","115","0","true"
"57","157","0","true"
"58","171","0","true"
"59","81","0","true"
"60","112","0","true"
"61","187","0","true"
"62","104","0","true"
"63","74","0","true"
"64","109","0","true"
"65","182","0","true"
"66","198","0","true"
"67","130","0","true"
"68","190","0","true"
"69","109","0","true"
"70","137","0","true"
"71","145","0","true"
"72","127","0","true"
"73","98","0","true"
"74","253","0","true"
"75","139","0","true"
"76","130","0","true"
"77","182","0","true"
"78","153","0","true"
"79","126","0","true"
"80","120","0","true"
"81","124","0","true"
"82","177","0","true"
"83","100","0","true"
"84","149","0","true"
"85","180","0","true"
"86","105","0","true"
"87","98","0","true"
"88","129","0","true"
"89","66","0","true"
"90","108","0","true"
"91","183","0","true"
"92","164","0","true"
"93","105","0","true"
"94","131","0","true"
"95","128","0","true"
"96","119","0","true"
"97","115","0","true"
"98","98","0","true"
"99","127","0","true"
"100","127","0","true"
"101","101","0","true"
"102","84","0","true"
"103","98","0","true"
"104","99","0","true"
"105","149","0","true"
"106","118","0","true"
"107","101","0","true"
"108","157","0","true"
"109","107","0","true"
"110","92","0","true"
"111","111","0","true"
"112","154","0","true"
