export-plot data (NetLogo 6.1.0-RC2),,,,,,,
00baseline.nlogo,,,,,,,
07/09/2020 14:18:46:678 +0800,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
agv-number,item-in-pod,sku-per-pod,type-of-item,order-set,agv-location-file,layout-file,
20,"""pod set 1.csv""",2,50,"""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv""",
,,,,,,,
"""Robot Travelling Time""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,1940,0,210,TRUE,"""default""",FALSE,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",TRUE,0,1,0,1809,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,,,
0,36,0,TRUE,81.72265193,,,
1,43,0,TRUE,,,,
2,42,0,TRUE,,,,
3,47,0,TRUE,,,,
4,49,0,TRUE,,,,
5,49,0,TRUE,,,,
6,42,0,TRUE,,,,
7,51,0,TRUE,,,,
8,52,0,TRUE,,,,
9,70,0,TRUE,,,,
10,46,0,TRUE,,,,
11,75,0,TRUE,,,,
12,68,0,TRUE,,,,
13,72,0,TRUE,,,,
14,77,0,TRUE,,,,
15,67,0,TRUE,,,,
16,86,0,TRUE,,,,
17,70,0,TRUE,,,,
18,88,0,TRUE,,,,
19,91,0,TRUE,,,,
20,70,0,TRUE,,,,
21,84,0,TRUE,,,,
22,93,0,TRUE,,,,
23,83,0,TRUE,,,,
24,75,0,TRUE,,,,
25,83,0,TRUE,,,,
26,58,0,TRUE,,,,
27,69,0,TRUE,,,,
28,99,0,TRUE,,,,
29,76,0,TRUE,,,,
30,82,0,TRUE,,,,
31,88,0,TRUE,,,,
32,118,0,TRUE,,,,
33,119,0,TRUE,,,,
34,81,0,TRUE,,,,
35,96,0,TRUE,,,,
36,61,0,TRUE,,,,
37,106,0,TRUE,,,,
38,93,0,TRUE,,,,
39,70,0,TRUE,,,,
40,95,0,TRUE,,,,
41,81,0,TRUE,,,,
42,45,0,TRUE,,,,
43,74,0,TRUE,,,,
44,68,0,TRUE,,,,
45,77,0,TRUE,,,,
46,62,0,TRUE,,,,
47,140,0,TRUE,,,,
