"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 15:01:41:365 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","201","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1798"

"""default"""
"x","y","color","pen down?"
"0","37","0","true"
"1","45","0","true"
"2","42","0","true"
"3","45","0","true"
"4","57","0","true"
"5","56","0","true"
"6","49","0","true"
"7","55","0","true"
"8","55","0","true"
"9","69","0","true"
"10","73","0","true"
"11","76","0","true"
"12","68","0","true"
"13","74","0","true"
"14","62","0","true"
"15","69","0","true"
"16","75","0","true"
"17","75","0","true"
"18","84","0","true"
"19","78","0","true"
"20","65","0","true"
"21","63","0","true"
"22","48","0","true"
"23","58","0","true"
"24","94","0","true"
"25","106","0","true"
"26","56","0","true"
"27","94","0","true"
"28","89","0","true"
"29","83","0","true"
"30","79","0","true"
"31","87","0","true"
"32","90","0","true"
"33","65","0","true"
"34","104","0","true"
"35","107","0","true"
"36","145","0","true"
"37","93","0","true"
"38","98","0","true"
"39","84","0","true"
"40","60","0","true"
"41","94","0","true"
"42","50","0","true"
"43","70","0","true"
"44","52","0","true"
"45","63","0","true"
"46","91","0","true"
"47","91","0","true"
"48","91","0","true"
"49","86","0","true"
"50","88","0","true"
"51","77","0","true"
"52","82","0","true"
"53","76","0","true"
"54","68","0","true"
"55","123","0","true"
"56","79","0","true"
"57","101","0","true"
"58","55","0","true"
"59","85","0","true"
"60","82","0","true"
"61","85","0","true"
"62","75","0","true"
"63","97","0","true"
"64","101","0","true"
"65","63","0","true"
"66","56","0","true"
"67","118","0","true"
"68","105","0","true"
"69","108","0","true"
"70","52","0","true"
"71","75","0","true"
"72","87","0","true"
"73","55","0","true"
"74","88","0","true"
"75","69","0","true"
"76","54","0","true"
"77","81","0","true"
"78","118","0","true"
"79","85","0","true"
"80","75","0","true"
"81","93","0","true"
"82","91","0","true"
"83","54","0","true"
"84","106","0","true"
"85","70","0","true"
"86","50","0","true"
"87","67","0","true"
"88","88","0","true"
"89","73","0","true"
"90","59","0","true"
"91","95","0","true"
"92","68","0","true"
"93","58","0","true"
"94","92","0","true"
"95","74","0","true"
"96","78","0","true"
"97","69","0","true"
"98","96","0","true"
"99","91","0","true"
"100","56","0","true"
"101","76","0","true"
"102","97","0","true"
"103","76","0","true"
"104","86","0","true"
"105","61","0","true"
"106","51","0","true"
"107","66","0","true"
"108","87","0","true"
"109","65","0","true"
"110","66","0","true"
"111","39","0","true"
"112","60","0","true"
"113","54","0","true"
"114","89","0","true"
"115","91","0","true"
"116","80","0","true"
"117","84","0","true"
"118","80","0","true"
"119","80","0","true"
"120","101","0","true"
"121","57","0","true"
"122","150","0","true"
"123","71","0","true"
"124","52","0","true"
"125","44","0","true"
"126","79","0","true"
"127","85","0","true"
"128","90","0","true"
"129","57","0","true"
"130","90","0","true"
"131","98","0","true"
"132","63","0","true"
"133","110","0","true"
"134","72","0","true"
"135","60","0","true"
"136","85","0","true"
"137","74","0","true"
"138","61","0","true"
"139","81","0","true"
"140","69","0","true"
"141","87","0","true"
"142","78","0","true"
"143","75","0","true"
"144","59","0","true"
"145","69","0","true"
"146","77","0","true"
"147","70","0","true"
"148","68","0","true"
"149","81","0","true"
"150","96","0","true"
"151","54","0","true"
"152","110","0","true"
"153","79","0","true"
"154","93","0","true"
"155","69","0","true"
"156","80","0","true"
"157","62","0","true"
"158","73","0","true"
