export-plot data (NetLogo 6.1.0-RC2),,,,,,,
00baseline.nlogo,,,,,,,
07/09/2020 14:25:12:562 +0800,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
agv-number,item-in-pod,sku-per-pod,type-of-item,order-set,agv-location-file,layout-file,
20,"""pod set 1.csv""",2,50,"""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv""",
,,,,,,,
"""Robot Travelling Time""",,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens
0,1940,0,278,TRUE,"""default""",FALSE,1
,,,,,,,
pen name,pen down?,mode,interval,color,x,,
"""default""",TRUE,0,1,0,1767,,
,,,,,,,
"""default""",,,,,,,
x,y,color,pen down?,,,,
0,36,0,TRUE,82.76979638,,,
1,45,0,TRUE,,,,
2,49,0,TRUE,,,,
3,39,0,TRUE,,,,
4,39,0,TRUE,,,,
5,48,0,TRUE,,,,
6,50,0,TRUE,,,,
7,59,0,TRUE,,,,
8,69,0,TRUE,,,,
9,60,0,TRUE,,,,
10,51,0,TRUE,,,,
11,49,0,TRUE,,,,
12,83,0,TRUE,,,,
13,63,0,TRUE,,,,
14,74,0,TRUE,,,,
15,60,0,TRUE,,,,
16,85,0,TRUE,,,,
17,82,0,TRUE,,,,
18,60,0,TRUE,,,,
19,84,0,TRUE,,,,
20,81,0,TRUE,,,,
21,96,0,TRUE,,,,
22,61,0,TRUE,,,,
23,89,0,TRUE,,,,
24,103,0,TRUE,,,,
25,99,0,TRUE,,,,
26,57,0,TRUE,,,,
27,126,0,TRUE,,,,
28,91,0,TRUE,,,,
29,113,0,TRUE,,,,
30,71,0,TRUE,,,,
31,81,0,TRUE,,,,
32,42,0,TRUE,,,,
33,94,0,TRUE,,,,
34,60,0,TRUE,,,,
35,88,0,TRUE,,,,
36,80,0,TRUE,,,,
37,74,0,TRUE,,,,
38,48,0,TRUE,,,,
39,95,0,TRUE,,,,
40,59,0,TRUE,,,,
41,73,0,TRUE,,,,
42,71,0,TRUE,,,,
43,56,0,TRUE,,,,
44,45,0,TRUE,,,,
45,62,0,TRUE,,,,
46,115,0,TRUE,,,,
47,112,0,TRUE,,,,
