"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"07/09/2020 17:17:00:501 +0800"

"MODEL SETTINGS"
"agv-number","item-in-pod","sku-per-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","""pod set 1.csv""","2","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","169","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1798"

"""default"""
"x","y","color","pen down?"
"0","44","0","true"
"1","42","0","true"
"2","42","0","true"
"3","51","0","true"
"4","62","0","true"
"5","45","0","true"
"6","68","0","true"
"7","57","0","true"
"8","81","0","true"
"9","60","0","true"
"10","57","0","true"
"11","54","0","true"
"12","65","0","true"
"13","79","0","true"
"14","68","0","true"
"15","71","0","true"
"16","67","0","true"
"17","64","0","true"
"18","84","0","true"
"19","80","0","true"
"20","88","0","true"
"21","66","0","true"
"22","89","0","true"
"23","89","0","true"
"24","87","0","true"
"25","90","0","true"
"26","65","0","true"
"27","90","0","true"
"28","77","0","true"
"29","79","0","true"
"30","66","0","true"
"31","102","0","true"
"32","86","0","true"
"33","110","0","true"
"34","82","0","true"
"35","76","0","true"
"36","121","0","true"
"37","75","0","true"
"38","91","0","true"
"39","97","0","true"
"40","60","0","true"
"41","62","0","true"
"42","60","0","true"
"43","70","0","true"
"44","56","0","true"
"45","97","0","true"
"46","80","0","true"
"47","102","0","true"
"48","130","0","true"
"49","72","0","true"
"50","120","0","true"
"51","100","0","true"
"52","85","0","true"
"53","102","0","true"
"54","47","0","true"
"55","60","0","true"
"56","57","0","true"
"57","65","0","true"
"58","91","0","true"
"59","154","0","true"
"60","89","0","true"
"61","74","0","true"
"62","75","0","true"
"63","61","0","true"
"64","110","0","true"
"65","111","0","true"
"66","66","0","true"
"67","116","0","true"
"68","84","0","true"
"69","115","0","true"
"70","70","0","true"
"71","166","0","true"
"72","88","0","true"
"73","82","0","true"
"74","118","0","true"
"75","93","0","true"
"76","88","0","true"
"77","98","0","true"
"78","81","0","true"
"79","58","0","true"
"80","111","0","true"
"81","71","0","true"
"82","102","0","true"
"83","54","0","true"
"84","73","0","true"
"85","87","0","true"
"86","104","0","true"
"87","75","0","true"
"88","72","0","true"
"89","98","0","true"
"90","94","0","true"
"91","75","0","true"
