"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"06/09/2020 19:14:01:768 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1757"

"""default"""
"x","y","color","pen down?"
"0","63","0","true"
"1","63","0","true"
"2","64","0","true"
"3","70","0","true"
"4","82","0","true"
"5","83","0","true"
"6","83","0","true"
"7","86","0","true"
"8","90","0","true"
"9","100","0","true"
"10","101","0","true"
"11","101","0","true"
"12","119","0","true"
"13","122","0","true"
"14","122","0","true"
"15","66","0","true"
"16","132","0","true"
"17","132","0","true"
"18","148","0","true"
"19","95","0","true"
"20","162","0","true"
"21","87","0","true"
"22","89","0","true"
"23","175","0","true"
"24","122","0","true"
"25","88","0","true"
"26","110","0","true"
"27","122","0","true"
"28","123","0","true"
"29","91","0","true"
"30","109","0","true"
"31","106","0","true"
"32","163","0","true"
"33","139","0","true"
"34","114","0","true"
"35","86","0","true"
"36","97","0","true"
"37","127","0","true"
"38","164","0","true"
"39","125","0","true"
"40","107","0","true"
"41","172","0","true"
"42","132","0","true"
"43","164","0","true"
"44","109","0","true"
"45","116","0","true"
"46","102","0","true"
"47","151","0","true"
"48","135","0","true"
"49","113","0","true"
"50","178","0","true"
"51","212","0","true"
"52","138","0","true"
"53","137","0","true"
"54","162","0","true"
"55","167","0","true"
"56","179","0","true"
"57","183","0","true"
"58","103","0","true"
"59","107","0","true"
"60","120","0","true"
"61","168","0","true"
"62","91","0","true"
"63","171","0","true"
"64","176","0","true"
"65","92","0","true"
"66","188","0","true"
"67","165","0","true"
"68","210","0","true"
"69","116","0","true"
"70","92","0","true"
"71","197","0","true"
"72","316","0","true"
"73","109","0","true"
"74","124","0","true"
"75","226","0","true"
"76","171","0","true"
"77","81","0","true"
"78","100","0","true"
"79","73","0","true"
"80","182","0","true"
"81","239","0","true"
