"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"07/09/2020 18:58:43:400 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","495","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1692"

"""default"""
"x","y","color","pen down?"
"0","64","0","true"
"1","65","0","true"
"2","68","0","true"
"3","69","0","true"
"4","70","0","true"
"5","76","0","true"
"6","85","0","true"
"7","86","0","true"
"8","90","0","true"
"9","97","0","true"
"10","107","0","true"
"11","108","0","true"
"12","111","0","true"
"13","112","0","true"
"14","114","0","true"
"15","121","0","true"
"16","133","0","true"
"17","137","0","true"
"18","140","0","true"
"19","95","0","true"
"20","164","0","true"
"21","112","0","true"
"22","125","0","true"
"23","109","0","true"
"24","95","0","true"
"25","142","0","true"
"26","90","0","true"
"27","138","0","true"
"28","144","0","true"
"29","165","0","true"
"30","155","0","true"
"31","108","0","true"
"32","106","0","true"
"33","133","0","true"
"34","147","0","true"
"35","145","0","true"
"36","147","0","true"
"37","75","0","true"
"38","85","0","true"
"39","168","0","true"
"40","108","0","true"
"41","120","0","true"
"42","214","0","true"
"43","136","0","true"
"44","94","0","true"
"45","91","0","true"
"46","86","0","true"
"47","89","0","true"
"48","78","0","true"
"49","112","0","true"
"50","102","0","true"
"51","102","0","true"
"52","105","0","true"
"53","109","0","true"
"54","78","0","true"
"55","117","0","true"
"56","131","0","true"
"57","98","0","true"
"58","117","0","true"
"59","104","0","true"
"60","129","0","true"
"61","73","0","true"
"62","126","0","true"
"63","88","0","true"
"64","146","0","true"
"65","74","0","true"
"66","87","0","true"
"67","150","0","true"
"68","135","0","true"
"69","144","0","true"
"70","115","0","true"
"71","147","0","true"
"72","118","0","true"
"73","117","0","true"
"74","118","0","true"
"75","100","0","true"
"76","98","0","true"
"77","133","0","true"
"78","121","0","true"
"79","123","0","true"
"80","102","0","true"
"81","133","0","true"
"82","118","0","true"
"83","114","0","true"
"84","113","0","true"
"85","114","0","true"
"86","173","0","true"
"87","145","0","true"
"88","115","0","true"
"89","135","0","true"
"90","109","0","true"
"91","114","0","true"
"92","148","0","true"
"93","164","0","true"
"94","93","0","true"
"95","85","0","true"
"96","145","0","true"
"97","107","0","true"
