"export-plot data (NetLogo 6.1.0-RC2)"
"00traffic.nlogo"
"07/09/2020 17:16:47:290 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Travelling Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","251","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1729"

"""default"""
"x","y","color","pen down?"
"0","49","0","true"
"1","52","0","true"
"2","56","0","true"
"3","58","0","true"
"4","61","0","true"
"5","58","0","true"
"6","67","0","true"
"7","59","0","true"
"8","58","0","true"
"9","48","0","true"
"10","68","0","true"
"11","73","0","true"
"12","51","0","true"
"13","71","0","true"
"14","73","0","true"
"15","71","0","true"
"16","66","0","true"
"17","92","0","true"
"18","86","0","true"
"19","91","0","true"
"20","66","0","true"
"21","43","0","true"
"22","72","0","true"
"23","87","0","true"
"24","113","0","true"
"25","74","0","true"
"26","96","0","true"
"27","44","0","true"
"28","87","0","true"
"29","57","0","true"
"30","86","0","true"
"31","53","0","true"
"32","75","0","true"
"33","68","0","true"
"34","74","0","true"
"35","84","0","true"
"36","53","0","true"
"37","132","0","true"
"38","73","0","true"
"39","97","0","true"
"40","89","0","true"
"41","97","0","true"
"42","89","0","true"
"43","46","0","true"
"44","64","0","true"
"45","73","0","true"
"46","99","0","true"
"47","73","0","true"
"48","88","0","true"
"49","52","0","true"
"50","67","0","true"
"51","83","0","true"
"52","70","0","true"
"53","114","0","true"
"54","84","0","true"
"55","90","0","true"
"56","64","0","true"
"57","97","0","true"
"58","63","0","true"
"59","75","0","true"
"60","48","0","true"
"61","68","0","true"
"62","67","0","true"
"63","83","0","true"
"64","78","0","true"
"65","48","0","true"
"66","58","0","true"
"67","74","0","true"
"68","85","0","true"
"69","71","0","true"
"70","76","0","true"
"71","114","0","true"
"72","73","0","true"
"73","82","0","true"
"74","66","0","true"
"75","82","0","true"
"76","101","0","true"
"77","66","0","true"
"78","91","0","true"
"79","68","0","true"
"80","75","0","true"
"81","42","0","true"
"82","66","0","true"
"83","83","0","true"
"84","100","0","true"
"85","58","0","true"
"86","83","0","true"
"87","74","0","true"
"88","92","0","true"
"89","67","0","true"
"90","67","0","true"
"91","85","0","true"
"92","140","0","true"
"93","95","0","true"
"94","76","0","true"
"95","68","0","true"
"96","64","0","true"
"97","67","0","true"
"98","73","0","true"
"99","77","0","true"
"100","88","0","true"
"101","85","0","true"
"102","123","0","true"
"103","42","0","true"
"104","62","0","true"
"105","77","0","true"
"106","79","0","true"
"107","60","0","true"
"108","88","0","true"
"109","66","0","true"
"110","66","0","true"
"111","82","0","true"
"112","59","0","true"
"113","52","0","true"
"114","83","0","true"
"115","66","0","true"
"116","48","0","true"
"117","58","0","true"
"118","96","0","true"
"119","70","0","true"
"120","87","0","true"
"121","78","0","true"
"122","81","0","true"
"123","55","0","true"
"124","122","0","true"
"125","95","0","true"
"126","86","0","true"
"127","128","0","true"
"128","117","0","true"
"129","77","0","true"
"130","85","0","true"
"131","84","0","true"
"132","144","0","true"
"133","69","0","true"
"134","92","0","true"
"135","89","0","true"
"136","108","0","true"
"137","98","0","true"
"138","110","0","true"
"139","74","0","true"
"140","105","0","true"
"141","87","0","true"
"142","74","0","true"
"143","107","0","true"
"144","69","0","true"
"145","91","0","true"
"146","118","0","true"
"147","100","0","true"
"148","75","0","true"
"149","87","0","true"
"150","90","0","true"
"151","86","0","true"
"152","81","0","true"
"153","93","0","true"
"154","87","0","true"
"155","110","0","true"
"156","80","0","true"
"157","56","0","true"
"158","101","0","true"
"159","86","0","true"
"160","79","0","true"
"161","99","0","true"
"162","75","0","true"
"163","120","0","true"
"164","84","0","true"
"165","76","0","true"
"166","117","0","true"
"167","120","0","true"
"168","97","0","true"
"169","49","0","true"
"170","108","0","true"
"171","68","0","true"
"172","79","0","true"
"173","63","0","true"
"174","78","0","true"
"175","63","0","true"
"176","74","0","true"
"177","69","0","true"
"178","94","0","true"
"179","77","0","true"
"180","55","0","true"
"181","89","0","true"
"182","59","0","true"
"183","85","0","true"
"184","90","0","true"
"185","93","0","true"
"186","92","0","true"
"187","115","0","true"
"188","93","0","true"
"189","87","0","true"
"190","68","0","true"
"191","61","0","true"
"192","72","0","true"
"193","54","0","true"
"194","87","0","true"
"195","74","0","true"
"196","58","0","true"
"197","56","0","true"
"198","129","0","true"
"199","75","0","true"
"200","72","0","true"
"201","80","0","true"
"202","97","0","true"
"203","38","0","true"
"204","72","0","true"
"205","79","0","true"
"206","58","0","true"
"207","70","0","true"
"208","59","0","true"
"209","48","0","true"
"210","64","0","true"
"211","70","0","true"
"212","74","0","true"
"213","69","0","true"
"214","68","0","true"
"215","80","0","true"
"216","80","0","true"
"217","114","0","true"
"218","106","0","true"
"219","96","0","true"
"220","103","0","true"
"221","66","0","true"
"222","77","0","true"
"223","84","0","true"
"224","77","0","true"
"225","79","0","true"
"226","98","0","true"
"227","80","0","true"
"228","45","0","true"
"229","76","0","true"
"230","75","0","true"
"231","65","0","true"
"232","68","0","true"
"233","97","0","true"
"234","80","0","true"
"235","107","0","true"
"236","49","0","true"
"237","37","0","true"
"238","95","0","true"
"239","81","0","true"
"240","83","0","true"
"241","58","0","true"
"242","99","0","true"
"243","80","0","true"
"244","63","0","true"
"245","53","0","true"
"246","69","0","true"
"247","76","0","true"
"248","46","0","true"
"249","83","0","true"
"250","79","0","true"
"251","50","0","true"
"252","71","0","true"
"253","86","0","true"
"254","65","0","true"
"255","43","0","true"
"256","52","0","true"
"257","112","0","true"
"258","49","0","true"
"259","61","0","true"
"260","86","0","true"
"261","79","0","true"
"262","139","0","true"
"263","86","0","true"
"264","115","0","true"
"265","65","0","true"
"266","66","0","true"
"267","101","0","true"
"268","106","0","true"
"269","58","0","true"
"270","123","0","true"
"271","99","0","true"
"272","81","0","true"
"273","59","0","true"
"274","95","0","true"
"275","57","0","true"
"276","71","0","true"
"277","70","0","true"
"278","63","0","true"
"279","49","0","true"
"280","106","0","true"
"281","95","0","true"
"282","79","0","true"
"283","76","0","true"
"284","92","0","true"
"285","64","0","true"
"286","90","0","true"
"287","89","0","true"
"288","49","0","true"
"289","75","0","true"
