"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/09/2020 18:59:02:529 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1759"

"""default"""
"x","y","color","pen down?"
"0","56","0","true"
"1","62","0","true"
"2","75","0","true"
"3","80","0","true"
"4","80","0","true"
"5","88","0","true"
"6","93","0","true"
"7","94","0","true"
"8","95","0","true"
"9","97","0","true"
"10","103","0","true"
"11","103","0","true"
"12","109","0","true"
"13","120","0","true"
"14","123","0","true"
"15","124","0","true"
"16","132","0","true"
"17","143","0","true"
"18","147","0","true"
"19","160","0","true"
"20","51","0","true"
"21","83","0","true"
"22","122","0","true"
"23","138","0","true"
"24","125","0","true"
"25","65","0","true"
"26","121","0","true"
"27","114","0","true"
"28","145","0","true"
"29","102","0","true"
"30","81","0","true"
"31","141","0","true"
"32","138","0","true"
"33","155","0","true"
"34","95","0","true"
"35","173","0","true"
"36","152","0","true"
"37","109","0","true"
"38","217","0","true"
"39","102","0","true"
"40","94","0","true"
"41","193","0","true"
"42","197","0","true"
"43","90","0","true"
"44","161","0","true"
"45","119","0","true"
"46","78","0","true"
"47","74","0","true"
"48","109","0","true"
"49","158","0","true"
"50","161","0","true"
"51","207","0","true"
"52","85","0","true"
"53","129","0","true"
"54","171","0","true"
"55","108","0","true"
"56","108","0","true"
"57","184","0","true"
"58","102","0","true"
"59","99","0","true"
"60","202","0","true"
"61","85","0","true"
"62","122","0","true"
"63","127","0","true"
"64","134","0","true"
"65","84","0","true"
"66","130","0","true"
"67","148","0","true"
"68","170","0","true"
"69","101","0","true"
"70","82","0","true"
"71","128","0","true"
"72","81","0","true"
"73","134","0","true"
"74","176","0","true"
"75","178","0","true"
"76","110","0","true"
"77","98","0","true"
"78","141","0","true"
"79","198","0","true"
"80","191","0","true"
"81","121","0","true"
"82","87","0","true"
"83","159","0","true"
"84","174","0","true"
"85","100","0","true"
"86","76","0","true"
"87","95","0","true"
"88","181","0","true"
"89","199","0","true"
"90","116","0","true"
"91","96","0","true"
"92","79","0","true"
"93","164","0","true"
"94","209","0","true"
"95","89","0","true"
"96","195","0","true"
"97","86","0","true"
"98","171","0","true"
"99","90","0","true"
"100","123","0","true"
"101","182","0","true"
