"export-plot data (NetLogo 6.1.1)"
"00baseline v1.nlogo"
"08/06/2020 18:02:38:376 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"35","5","""pod set 1.csv""","800","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3800","0","3090","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","3065"

"""default"""
"x","y","color","pen down?"
"0","67","0","true"
"1","82","0","true"
"2","82","0","true"
"3","87","0","true"
"4","90","0","true"
"5","93","0","true"
"6","94","0","true"
"7","95","0","true"
"8","98","0","true"
"9","98","0","true"
"10","101","0","true"
"11","102","0","true"
"12","102","0","true"
"13","108","0","true"
"14","109","0","true"
"15","109","0","true"
"16","111","0","true"
"17","115","0","true"
"18","116","0","true"
"19","122","0","true"
"20","129","0","true"
"21","129","0","true"
"22","131","0","true"
"23","134","0","true"
"24","134","0","true"
"25","137","0","true"
"26","138","0","true"
"27","141","0","true"
"28","144","0","true"
"29","146","0","true"
"30","150","0","true"
"31","62","0","true"
"32","164","0","true"
"33","168","0","true"
"34","119","0","true"
"35","186","0","true"
"36","194","0","true"
"37","99","0","true"
"38","96","0","true"
"39","111","0","true"
"40","76","0","true"
"41","114","0","true"
"42","116","0","true"
"43","129","0","true"
"44","106","0","true"
"45","129","0","true"
"46","101","0","true"
"47","111","0","true"
"48","116","0","true"
"49","126","0","true"
"50","147","0","true"
"51","95","0","true"
"52","109","0","true"
"53","124","0","true"
"54","110","0","true"
"55","111","0","true"
"56","116","0","true"
"57","102","0","true"
"58","147","0","true"
"59","130","0","true"
"60","140","0","true"
"61","135","0","true"
"62","169","0","true"
"63","162","0","true"
"64","81","0","true"
"65","84","0","true"
"66","186","0","true"
"67","71","0","true"
"68","149","0","true"
"69","131","0","true"
"70","105","0","true"
"71","133","0","true"
"72","121","0","true"
"73","92","0","true"
"74","100","0","true"
"75","113","0","true"
"76","85","0","true"
"77","96","0","true"
"78","88","0","true"
"79","112","0","true"
"80","79","0","true"
"81","85","0","true"
"82","108","0","true"
"83","126","0","true"
"84","129","0","true"
"85","194","0","true"
"86","106","0","true"
"87","131","0","true"
"88","89","0","true"
"89","94","0","true"
"90","84","0","true"
"91","123","0","true"
"92","116","0","true"
"93","109","0","true"
"94","97","0","true"
"95","110","0","true"
"96","123","0","true"
"97","129","0","true"
"98","86","0","true"
"99","206","0","true"
"100","125","0","true"
"101","138","0","true"
"102","129","0","true"
"103","102","0","true"
"104","118","0","true"
"105","125","0","true"
"106","137","0","true"
"107","114","0","true"
"108","136","0","true"
"109","85","0","true"
"110","125","0","true"
"111","116","0","true"
"112","135","0","true"
"113","132","0","true"
"114","125","0","true"
"115","144","0","true"
"116","142","0","true"
"117","127","0","true"
"118","138","0","true"
"119","85","0","true"
"120","120","0","true"
"121","87","0","true"
"122","125","0","true"
"123","143","0","true"
"124","141","0","true"
"125","101","0","true"
"126","141","0","true"
"127","137","0","true"
"128","161","0","true"
"129","110","0","true"
"130","134","0","true"
"131","144","0","true"
"132","104","0","true"
"133","144","0","true"
"134","163","0","true"
"135","140","0","true"
"136","105","0","true"
"137","109","0","true"
"138","111","0","true"
"139","105","0","true"
"140","142","0","true"
"141","161","0","true"
"142","94","0","true"
"143","138","0","true"
"144","125","0","true"
"145","119","0","true"
"146","151","0","true"
"147","102","0","true"
"148","149","0","true"
"149","127","0","true"
"150","126","0","true"
"151","106","0","true"
"152","137","0","true"
"153","146","0","true"
"154","120","0","true"
"155","143","0","true"
"156","89","0","true"
"157","90","0","true"
"158","78","0","true"
"159","137","0","true"
"160","129","0","true"
"161","138","0","true"
"162","155","0","true"
"163","141","0","true"
"164","92","0","true"
"165","161","0","true"
"166","101","0","true"
"167","81","0","true"
"168","74","0","true"
"169","130","0","true"
"170","93","0","true"
"171","128","0","true"
"172","90","0","true"
"173","149","0","true"
"174","92","0","true"
"175","140","0","true"
"176","98","0","true"
"177","87","0","true"
"178","135","0","true"
"179","132","0","true"
"180","128","0","true"
"181","110","0","true"
"182","180","0","true"
"183","110","0","true"
"184","80","0","true"
"185","152","0","true"
"186","127","0","true"
"187","172","0","true"
"188","98","0","true"
"189","161","0","true"
"190","119","0","true"
"191","118","0","true"
"192","131","0","true"
"193","128","0","true"
"194","102","0","true"
"195","127","0","true"
"196","123","0","true"
"197","141","0","true"
"198","130","0","true"
"199","91","0","true"
"200","111","0","true"
"201","98","0","true"
"202","117","0","true"
"203","142","0","true"
"204","163","0","true"
"205","113","0","true"
"206","146","0","true"
"207","87","0","true"
"208","145","0","true"
"209","129","0","true"
"210","115","0","true"
"211","119","0","true"
"212","132","0","true"
"213","142","0","true"
"214","112","0","true"
"215","112","0","true"
"216","148","0","true"
"217","105","0","true"
"218","137","0","true"
"219","111","0","true"
"220","117","0","true"
"221","151","0","true"
"222","154","0","true"
"223","101","0","true"
"224","105","0","true"
"225","166","0","true"
"226","144","0","true"
"227","178","0","true"
"228","177","0","true"
"229","151","0","true"
"230","154","0","true"
"231","122","0","true"
"232","101","0","true"
"233","115","0","true"
"234","137","0","true"
"235","147","0","true"
