"export-plot data (NetLogo 6.1.0-RC2)"
"00baseline.nlogo"
"06/23/2020 18:41:34:022 +0800"

"MODEL SETTINGS"
"agv-number","sku-per-pod","item-in-pod","type-of-item","order-set","agv-location-file","layout-file"
"20","2","""pod set 1.csv""","50","""order set 1.csv""","""AGV set 1.csv""","""layout set 2.csv"""

"""Robot Cycle Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1940","0","500","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1704"

"""default"""
"x","y","color","pen down?"
"0","57","0","true"
"1","63","0","true"
"2","68","0","true"
"3","69","0","true"
"4","78","0","true"
"5","81","0","true"
"6","82","0","true"
"7","84","0","true"
"8","87","0","true"
"9","97","0","true"
"10","103","0","true"
"11","107","0","true"
"12","110","0","true"
"13","114","0","true"
"14","116","0","true"
"15","120","0","true"
"16","136","0","true"
"17","58","0","true"
"18","147","0","true"
"19","148","0","true"
"20","99","0","true"
"21","100","0","true"
"22","95","0","true"
"23","166","0","true"
"24","83","0","true"
"25","71","0","true"
"26","88","0","true"
"27","128","0","true"
"28","87","0","true"
"29","132","0","true"
"30","92","0","true"
"31","80","0","true"
"32","136","0","true"
"33","136","0","true"
"34","126","0","true"
"35","131","0","true"
"36","95","0","true"
"37","83","0","true"
"38","137","0","true"
"39","104","0","true"
"40","150","0","true"
"41","74","0","true"
"42","138","0","true"
"43","145","0","true"
"44","166","0","true"
"45","112","0","true"
"46","153","0","true"
"47","161","0","true"
"48","100","0","true"
"49","106","0","true"
"50","98","0","true"
"51","171","0","true"
"52","190","0","true"
"53","167","0","true"
"54","189","0","true"
"55","91","0","true"
"56","109","0","true"
"57","202","0","true"
"58","203","0","true"
"59","81","0","true"
"60","232","0","true"
"61","99","0","true"
"62","133","0","true"
"63","100","0","true"
"64","221","0","true"
"65","80","0","true"
"66","110","0","true"
"67","92","0","true"
"68","229","0","true"
"69","205","0","true"
"70","105","0","true"
"71","204","0","true"
"72","94","0","true"
"73","207","0","true"
"74","96","0","true"
"75","79","0","true"
"76","104","0","true"
"77","230","0","true"
"78","95","0","true"
"79","188","0","true"
"80","252","0","true"
"81","164","0","true"
"82","85","0","true"
"83","117","0","true"
"84","118","0","true"
"85","102","0","true"
"86","99","0","true"
"87","197","0","true"
"88","177","0","true"
"89","79","0","true"
"90","251","0","true"
"91","99","0","true"
"92","128","0","true"
"93","95","0","true"
"94","111","0","true"
"95","115","0","true"
"96","73","0","true"
"97","219","0","true"
"98","182","0","true"
"99","85","0","true"
"100","90","0","true"
"101","100","0","true"
"102","103","0","true"
"103","106","0","true"
"104","105","0","true"
"105","106","0","true"
"106","110","0","true"
"107","98","0","true"
"108","131","0","true"
"109","124","0","true"
"110","122","0","true"
"111","129","0","true"
"112","92","0","true"
"113","109","0","true"
"114","106","0","true"
"115","128","0","true"
"116","103","0","true"
"117","136","0","true"
"118","108","0","true"
"119","128","0","true"
"120","116","0","true"
"121","144","0","true"
"122","141","0","true"
"123","127","0","true"
"124","82","0","true"
"125","117","0","true"
"126","72","0","true"
"127","102","0","true"
"128","114","0","true"
"129","109","0","true"
"130","116","0","true"
"131","102","0","true"
"132","90","0","true"
"133","103","0","true"
"134","98","0","true"
"135","111","0","true"
"136","131","0","true"
"137","118","0","true"
"138","109","0","true"
"139","113","0","true"
"140","142","0","true"
"141","91","0","true"
"142","105","0","true"
"143","89","0","true"
"144","109","0","true"
"145","112","0","true"
"146","115","0","true"
"147","92","0","true"
"148","114","0","true"
"149","117","0","true"
"150","81","0","true"
"151","78","0","true"
"152","104","0","true"
"153","126","0","true"
"154","101","0","true"
"155","82","0","true"
"156","96","0","true"
"157","91","0","true"
"158","121","0","true"
"159","102","0","true"
"160","73","0","true"
"161","128","0","true"
"162","98","0","true"
"163","149","0","true"
"164","127","0","true"
"165","93","0","true"
"166","121","0","true"
"167","104","0","true"
"168","143","0","true"
"169","105","0","true"
"170","97","0","true"
"171","109","0","true"
"172","64","0","true"
"173","106","0","true"
"174","130","0","true"
"175","119","0","true"
"176","97","0","true"
"177","89","0","true"
"178","108","0","true"
"179","98","0","true"
"180","83","0","true"
"181","75","0","true"
"182","146","0","true"
"183","108","0","true"
"184","130","0","true"
"185","132","0","true"
"186","96","0","true"
"187","129","0","true"
"188","104","0","true"
"189","114","0","true"
"190","109","0","true"
"191","114","0","true"
"192","127","0","true"
"193","95","0","true"
"194","133","0","true"
"195","78","0","true"
"196","85","0","true"
"197","105","0","true"
"198","123","0","true"
"199","69","0","true"
"200","124","0","true"
"201","120","0","true"
"202","112","0","true"
"203","128","0","true"
"204","149","0","true"
"205","148","0","true"
"206","109","0","true"
"207","142","0","true"
"208","154","0","true"
"209","118","0","true"
"210","131","0","true"
"211","120","0","true"
"212","101","0","true"
"213","113","0","true"
"214","117","0","true"
"215","104","0","true"
"216","83","0","true"
"217","112","0","true"
"218","124","0","true"
"219","148","0","true"
"220","91","0","true"
"221","113","0","true"
"222","120","0","true"
"223","92","0","true"
"224","69","0","true"
"225","126","0","true"
"226","189","0","true"
"227","95","0","true"
"228","114","0","true"
"229","153","0","true"
"230","189","0","true"
"231","85","0","true"
"232","116","0","true"
"233","119","0","true"
"234","124","0","true"
"235","85","0","true"
"236","105","0","true"
"237","106","0","true"
"238","102","0","true"
"239","109","0","true"
"240","73","0","true"
"241","80","0","true"
"242","86","0","true"
"243","126","0","true"
"244","114","0","true"
"245","122","0","true"
"246","77","0","true"
"247","96","0","true"
"248","104","0","true"
"249","104","0","true"
"250","102","0","true"
"251","109","0","true"
"252","95","0","true"
"253","116","0","true"
"254","149","0","true"
"255","146","0","true"
"256","96","0","true"
"257","149","0","true"
"258","139","0","true"
"259","99","0","true"
"260","132","0","true"
"261","62","0","true"
"262","93","0","true"
"263","121","0","true"
"264","123","0","true"
"265","79","0","true"
"266","126","0","true"
"267","166","0","true"
"268","63","0","true"
"269","104","0","true"
"270","110","0","true"
"271","131","0","true"
"272","153","0","true"
"273","144","0","true"
"274","95","0","true"
"275","100","0","true"
"276","92","0","true"
"277","64","0","true"
"278","105","0","true"
"279","82","0","true"
"280","83","0","true"
"281","107","0","true"
"282","109","0","true"
"283","113","0","true"
"284","117","0","true"
"285","118","0","true"
"286","111","0","true"
"287","99","0","true"
"288","134","0","true"
"289","113","0","true"
"290","87","0","true"
"291","120","0","true"
"292","148","0","true"
"293","106","0","true"
"294","168","0","true"
"295","107","0","true"
"296","95","0","true"
"297","132","0","true"
"298","149","0","true"
"299","138","0","true"
"300","100","0","true"
"301","108","0","true"
"302","146","0","true"
"303","113","0","true"
"304","90","0","true"
"305","115","0","true"
"306","77","0","true"
"307","99","0","true"
"308","146","0","true"
"309","110","0","true"
"310","85","0","true"
"311","115","0","true"
"312","103","0","true"
"313","128","0","true"
"314","115","0","true"
"315","124","0","true"
"316","86","0","true"
"317","82","0","true"
"318","134","0","true"
"319","143","0","true"
"320","122","0","true"
"321","151","0","true"
"322","162","0","true"
"323","129","0","true"
"324","119","0","true"
"325","111","0","true"
"326","180","0","true"
